"","point_id","statename","STATE_ABBR","state_fips","long","lat"
"1",26718,"washington","WA",53,-122.25,48.75
"2",26719,"washington","WA",53,-121.5,48.75
"3",26720,"washington","WA",53,-120.75,48.75
"4",26721,"washington","WA",53,-120,48.75
"5",26722,"washington","WA",53,-119.25,48.75
"6",26723,"washington","WA",53,-118.5,48.75
"7",26724,"washington","WA",53,-117.75,48.75
"8",26725,"idaho","ID",16,-117,48.75
"9",26726,"idaho","ID",16,-116.25,48.75
"10",26727,"montana","MT",30,-115.5,48.75
"11",26728,"montana","MT",30,-114.75,48.75
"12",26729,"montana","MT",30,-114,48.75
"13",26730,"montana","MT",30,-113.25,48.75
"14",26731,"montana","MT",30,-112.5,48.75
"15",26732,"montana","MT",30,-111.75,48.75
"16",26733,"montana","MT",30,-111,48.75
"17",26734,"montana","MT",30,-110.25,48.75
"18",26735,"montana","MT",30,-109.5,48.75
"19",26736,"montana","MT",30,-108.75,48.75
"20",26737,"montana","MT",30,-108,48.75
"21",26738,"montana","MT",30,-107.25,48.75
"22",26739,"montana","MT",30,-106.5,48.75
"23",26740,"montana","MT",30,-105.75,48.75
"24",26741,"montana","MT",30,-105,48.75
"25",26742,"montana","MT",30,-104.25,48.75
"26",26743,"north dakota","ND",38,-103.5,48.75
"27",26744,"north dakota","ND",38,-102.75,48.75
"28",26745,"north dakota","ND",38,-102,48.75
"29",26746,"north dakota","ND",38,-101.25,48.75
"30",26747,"north dakota","ND",38,-100.5,48.75
"31",26748,"north dakota","ND",38,-99.75,48.75
"32",26749,"north dakota","ND",38,-99,48.75
"33",26750,"north dakota","ND",38,-98.25,48.75
"34",26751,"north dakota","ND",38,-97.5,48.75
"35",26752,"minnesota","MN",27,-96.75,48.75
"36",26753,"minnesota","MN",27,-96,48.75
"37",26754,"minnesota","MN",27,-95.25,48.75
"38",27195,"washington","WA",53,-124.5,48
"39",27196,"washington","WA",53,-123.75,48
"40",27197,"washington","WA",53,-123,48
"41",27199,"washington","WA",53,-121.5,48
"42",27200,"washington","WA",53,-120.75,48
"43",27201,"washington","WA",53,-120,48
"44",27202,"washington","WA",53,-119.25,48
"45",27203,"washington","WA",53,-118.5,48
"46",27204,"washington","WA",53,-117.75,48
"47",27205,"idaho","ID",16,-117,48
"48",27206,"idaho","ID",16,-116.25,48
"49",27207,"montana","MT",30,-115.5,48
"50",27208,"montana","MT",30,-114.75,48
"51",27209,"montana","MT",30,-114,48
"52",27210,"montana","MT",30,-113.25,48
"53",27211,"montana","MT",30,-112.5,48
"54",27212,"montana","MT",30,-111.75,48
"55",27213,"montana","MT",30,-111,48
"56",27214,"montana","MT",30,-110.25,48
"57",27215,"montana","MT",30,-109.5,48
"58",27216,"montana","MT",30,-108.75,48
"59",27217,"montana","MT",30,-108,48
"60",27218,"montana","MT",30,-107.25,48
"61",27219,"montana","MT",30,-106.5,48
"62",27220,"montana","MT",30,-105.75,48
"63",27221,"montana","MT",30,-105,48
"64",27222,"montana","MT",30,-104.25,48
"65",27223,"north dakota","ND",38,-103.5,48
"66",27224,"north dakota","ND",38,-102.75,48
"67",27225,"north dakota","ND",38,-102,48
"68",27226,"north dakota","ND",38,-101.25,48
"69",27227,"north dakota","ND",38,-100.5,48
"70",27228,"north dakota","ND",38,-99.75,48
"71",27229,"north dakota","ND",38,-99,48
"72",27230,"north dakota","ND",38,-98.25,48
"73",27231,"north dakota","ND",38,-97.5,48
"74",27232,"minnesota","MN",27,-96.75,48
"75",27233,"minnesota","MN",27,-96,48
"76",27234,"minnesota","MN",27,-95.25,48
"77",27235,"minnesota","MN",27,-94.5,48
"78",27236,"minnesota","MN",27,-93.75,48
"79",27237,"minnesota","MN",27,-93,48
"80",27238,"minnesota","MN",27,-92.25,48
"81",27239,"minnesota","MN",27,-91.5,48
"82",27240,"minnesota","MN",27,-90.75,48
"83",27241,"minnesota","MN",27,-90,48
"84",27676,"washington","WA",53,-123.75,47.25
"85",27677,"washington","WA",53,-123,47.25
"86",27678,"washington","WA",53,-122.25,47.25
"87",27679,"washington","WA",53,-121.5,47.25
"88",27680,"washington","WA",53,-120.75,47.25
"89",27681,"washington","WA",53,-120,47.25
"90",27682,"washington","WA",53,-119.25,47.25
"91",27683,"washington","WA",53,-118.5,47.25
"92",27684,"washington","WA",53,-117.75,47.25
"93",27685,"idaho","ID",16,-117,47.25
"94",27686,"idaho","ID",16,-116.25,47.25
"95",27687,"idaho","ID",16,-115.5,47.25
"96",27688,"montana","MT",30,-114.75,47.25
"97",27689,"montana","MT",30,-114,47.25
"98",27690,"montana","MT",30,-113.25,47.25
"99",27691,"montana","MT",30,-112.5,47.25
"100",27692,"montana","MT",30,-111.75,47.25
"101",27693,"montana","MT",30,-111,47.25
"102",27694,"montana","MT",30,-110.25,47.25
"103",27695,"montana","MT",30,-109.5,47.25
"104",27696,"montana","MT",30,-108.75,47.25
"105",27697,"montana","MT",30,-108,47.25
"106",27698,"montana","MT",30,-107.25,47.25
"107",27699,"montana","MT",30,-106.5,47.25
"108",27700,"montana","MT",30,-105.75,47.25
"109",27701,"montana","MT",30,-105,47.25
"110",27702,"montana","MT",30,-104.25,47.25
"111",27703,"north dakota","ND",38,-103.5,47.25
"112",27704,"north dakota","ND",38,-102.75,47.25
"113",27705,"north dakota","ND",38,-102,47.25
"114",27706,"north dakota","ND",38,-101.25,47.25
"115",27707,"north dakota","ND",38,-100.5,47.25
"116",27708,"north dakota","ND",38,-99.75,47.25
"117",27709,"north dakota","ND",38,-99,47.25
"118",27710,"north dakota","ND",38,-98.25,47.25
"119",27711,"north dakota","ND",38,-97.5,47.25
"120",27712,"minnesota","MN",27,-96.75,47.25
"121",27713,"minnesota","MN",27,-96,47.25
"122",27714,"minnesota","MN",27,-95.25,47.25
"123",27715,"minnesota","MN",27,-94.5,47.25
"124",27716,"minnesota","MN",27,-93.75,47.25
"125",27717,"minnesota","MN",27,-93,47.25
"126",27718,"minnesota","MN",27,-92.25,47.25
"127",27719,"minnesota","MN",27,-91.5,47.25
"128",27723,"michigan","MI",26,-88.5,47.25
"130",28156,"washington","WA",53,-123.75,46.5
"131",28157,"washington","WA",53,-123,46.5
"132",28158,"washington","WA",53,-122.25,46.5
"133",28159,"washington","WA",53,-121.5,46.5
"134",28160,"washington","WA",53,-120.75,46.5
"135",28161,"washington","WA",53,-120,46.5
"136",28162,"washington","WA",53,-119.25,46.5
"137",28163,"washington","WA",53,-118.5,46.5
"138",28164,"washington","WA",53,-117.75,46.5
"139",28165,"idaho","ID",16,-117,46.5
"140",28166,"idaho","ID",16,-116.25,46.5
"141",28167,"idaho","ID",16,-115.5,46.5
"142",28168,"idaho","ID",16,-114.75,46.5
"143",28169,"montana","MT",30,-114,46.5
"144",28170,"montana","MT",30,-113.25,46.5
"145",28171,"montana","MT",30,-112.5,46.5
"146",28172,"montana","MT",30,-111.75,46.5
"147",28173,"montana","MT",30,-111,46.5
"148",28174,"montana","MT",30,-110.25,46.5
"149",28175,"montana","MT",30,-109.5,46.5
"150",28176,"montana","MT",30,-108.75,46.5
"151",28177,"montana","MT",30,-108,46.5
"152",28178,"montana","MT",30,-107.25,46.5
"153",28179,"montana","MT",30,-106.5,46.5
"154",28180,"montana","MT",30,-105.75,46.5
"155",28181,"montana","MT",30,-105,46.5
"156",28182,"montana","MT",30,-104.25,46.5
"157",28183,"north dakota","ND",38,-103.5,46.5
