Merged_county_ID,Fips_codes
1,01003
2,01009
3,01015
4,01043
5,01049
6,01051
7,01055
8,01071
9,01073
10,01077
11,01083
12,01089
13,01095
14,01097
15,01101
16,01103
17,01115
18,01117
19,01121
20,01125
21,01127
22,"01063, 01065, 01007, 01021"
23,"01085, 01001 "
24,"01035, 01013, 01041, 01099"
25,"01023, 01129, 01025 "
26,"01075, 01057, 01107, 01093"
27,"01037, 01027, 01029, 01111, 01019"
28,"01133, 01059 "
29,"01067, 01069, 01061 "
30,"01109, 01031 "
31,"01079, 01033 "
32,"01017, 01123 "
33,"01039, 01053 "
34,"01105, 01091, 01131, 01119, 01047"
35,"01113, 01081 "
36,"01011, 01087, 01005, 01045"
37,04001
38,04005
39,04013
40,04015
41,04017
42,04019
43,04021
44,04025
45,"04011, 04009, 04007 "
46,"04023, 04003 "
47,"04012, 04027 "
48,05007
49,05031
50,05045
51,05051
52,05085
53,05115
54,05119
55,05131
56,05143
57,05145
58,"05025, 05079, 05053, 05069"
59,"05105, 05125 "
60,"05013, 05039, 05011, 05043, 05017, 05041, 05001, 05107"
61,"05081, 05133, 05113, 05057"
62,"05087, 05047, 05033 "
63,"05141, 05029, 05149 "
64,"05003, 05139 "
65,"05019, 05103, 05027 "
66,"05129, 05101, 05137, 05065, 05049, 05083, 05071 "
67,"05023, 05063 "
68,"05111, 05035 "
69,"05147, 05095, 05117, 05077, 05037, 05067, 05123 "
70,"05073, 05099, 05109, 05097, 05127, 05061, 05059 "
71,"05021, 05121, 05135, 05075, 05055"
72,"05089, 05009, 05015, 05005"
73,05091
74,05093
75,06001
76,06007
77,06013
78,06017
79,06019
80,06023
81,06025
82,06029
83,06031
84,06033
85,06037
86,06039
87,06041
88,06045
89,06047
90,06053
91,06055
92,06057
93,06059
94,06061
95,06065
96,06067
97,06069
98,06071
99,06073
100,06075
101,06077
102,06079
103,06081
104,06083
105,06085
106,06087
107,06089
108,06095
109,06097
110,06099
111,06101
112,06107
113,06111
114,06113
115,06115
116,"06091, 06063, 06035, 06049"
117,"06043, 06109 "
118,"06011, 06021, 06103 "
119,"06105, 06093, 06015 "
120,"06003, 06051, 06027, 06005, 06009"
121,08041
122,08069
123,08077
124,08101
125,"08057, 08049, 08107, 08103, 08081, 08117 "
126,"08047, 08019, 08093, 08119, 08035, 08039 "
127,"08061, 08017, 08025, 08011, 08009, 08073, 08121, 08063, 08125, 08095, 08115, 08099, 08071, 08089, 08075, 08087"
128,"08083, 08067 "
129,"08065, 08097, 08051, 08015, 08029, 08085 "
130,"08037, 08045 "
131,"08111, 08053, 08079, 08033, 08091, 08109, 08027, 08113, 08055, 08023, 08021, 08007, 08105, 08003, 08043 "
132,"08001, 08013, 08005, 08059, 08014, 08123, 08031"
133,09001
134,09003
135,09005
136,09007
137,09009
138,09011
139,09013
140,09015
141,10001
142,10003
143,10005
144,11001
145,12005
146,12009
147,12011
148,12015
149,12019
150,12021
151,12031
152,12033
153,12053
154,12055
155,12057
156,12061
157,12069
158,12071
159,12081
160,12083
161,12085
162,12087
163,12091
164,12095
165,12097
166,12099
167,12101
168,12103
169,12105
170,12109
171,12111
172,12113
173,12115
174,12117
175,12127
176,"12077, 12013, 12037, 12045, 12063"
177,"12043, 12027, 12049 "
178,"12041, 12001 "
179,"12059, 12133, 12131 "
180,"12003, 12089 "
181,"12051, 12093 "
182,"12067, 12029, 12079, 12047, 12123, 12075 "
183,"12125, 12007, 12023, 12121"
184,"12065, 12129, 12073, 12039"
185,"12035, 12107 "
186,"12119, 12017 "
187,"12025, 12086 "
188,13021
189,13031
190,13047
191,13051
192,13057
193,13059
194,13063
195,13067
196,13077
197,13089
198,13097
199,13113
200,13115
201,13117
202,13121
203,13135
204,13139
205,13151
206,13153
207,13217
208,13247
209,13285
210,"13239, 13061, 13259, 13307, 13037, 13243, 13099, 13201, 13253"
211,"13007, 13095 "
212,"13065, 13003, 13019, 13155, 13287, 13075 "
213,"13197, 13053, 13215 "
214,"13289, 13169, 13159, 13035"
215,"13281, 13241, 13291, 13111"
216,"13273, 13177, 13321 "
217,"13183, 13191, 13179 "
218,"13149, 13045 "
219,"13221, 13195, 13219 "
220,"13079, 13207, 13171, 13231"
221,"13025, 13127 "
222,"13083, 13295 "
223,"13211, 13237, 13009 "
224,"13101, 13173, 13185, 13027"
225,"13085, 13227, 13015 "
226,"13309, 13283, 13209, 13167, 13319, 13023, 13163, 13303"
227,"13017, 13069 "
228,"13265, 13301, 13125, 13141, 13317, 13181, 13133, 13105"
229,"13311, 13187, 13137 "
230,"13189, 13073 "
231,"13199, 13145, 13255 "
232,"13081, 13261 "
233,"13033, 13245 "
234,"13123, 13129 "
235,"13029, 13103 "
236,13055
237,"13143, 13223 "
238,"13235, 13091, 13271, 13161, 13279"
239,"13249, 13269, 13263, 13193, 13093, 13315, 13225, 13293"
240,"13109, 13267, 13001, 13229, 13305"
241,"13213, 13313 "
242,"13277, 13071 "
243,13233
244,"13205, 13131, 13087, 13275"
245,"13011, 13119, 13147, 13257, 13157"
246,"13049, 13299, 13005, 13039"
247,"13165, 13251, 13107, 13043, 13175"
248,"13013, 13297 "
249,16001
250,16055
251,"16025, 16063, 16047, 16053, 16013, 16071, 16031, 16067"
252,"16007, 16029, 16011 "
253,"16061, 16035, 16079, 16009, 16049, 16057, 16021, 16017"
254,"16015, 16045, 16027, 16073"
255,"16077, 16005, 16041 "
256,"16051, 16019 "
257,"16039, 16083 "
258,"16033, 16023, 16037, 16085, 16003, 16059, 16087, 16043, 16081, 16075, 16065 "
259,16069
260,17001
261,17019
262,17029
263,17031
264,17043
265,17089
266,17091
267,17097
268,17111
269,17113
270,17119
271,17141
272,17143
273,17161
274,17179
275,17195
276,17197
277,17199
278,17201
279,"17013, 17083, 17117 "
280,"17171, 17061, 17137 "
281,"17155, 17011, 17103 "
282,"17175, 17123, 17203 "
283,"17047, 17185, 17101, 17159, 17079"
284,"17071, 17187, 17067, 17109"
285,"17035, 17023, 17045, 17033"
286,"17129, 17167 "
287,"17053, 17183 "
288,"17139, 17041, 17173 "
289,"17151, 17069, 17059, 17065, 17087, 17153, 17003, 17193, 17127"
290,"17189, 17145, 17157 "
291,"17015, 17085, 17177 "
292,"17131, 17073 "
293,"17147, 17115 "
294,"17005, 17027 "
295,"17009, 17169, 17017, 17125, 17149, 17039, 17107 "
296,"17181, 17077 "
297,"17165, 17055 "
298,"17133, 17163 "
299,"17135, 17021 "
300,17075
301,"17025, 17191, 17051, 17049"
302,"17057, 17095 "
303,"17105, 17099 "
304,"17063, 17093 "
305,"17081, 17121 "
306,"17007, 17037 "
307,18005
308,18019
309,18035
310,18039
311,18043
312,18057
313,18081
314,18085
315,18089
316,18091
317,18095
318,18097
319,18105
320,18127
321,18141
322,18157
323,18163
324,18173
325,"18161, 18041, 18139, 18031"
326,"18007, 18111, 18073 "
327,"18155, 18137, 18079 "
328,"18101, 18117, 18025, 18123"
329,"18125, 18027, 18083 "
330,"18165, 18167 "
331,"18159, 18067, 18015 "
332,"18147, 18037 "
333,"18115, 18029, 18047 "
334,"18143, 18077 "
335,"18181, 18017 "
336,"18129, 18051 "
337,"18175, 18061 "
338,"18179, 18003, 18183 "
339,"18169, 18103 "
340,"18171, 18045, 18121, 18107, 18023"
341,"18153, 18021, 18119, 18055"
342,"18151, 18087 "
343,"18009, 18075, 18135, 18001"
344,"18013, 18109, 18133 "
345,"18069, 18053 "
346,"18033, 18113 "
347,"18071, 18093 "
348,"18145, 18059 "
349,"18011, 18063 "
350,"18131, 18049, 18149, 18099"
351,"18065, 18177 "
352,19113
353,19153
354,19163
355,19169
356,19193
357,"19071, 19137, 19029, 19165, 19145"
358,"19133, 19047, 19161, 19021"
359,"19107, 19095, 19101, 19171"
360,"19197, 19079, 19109, 19015"
361,"19085, 19155, 19129 "
362,"19143, 19119, 19141, 19035, 19093, 19059, 19041 "
