"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","AR",5,"01",276.661644553621,295.251425419759,260.348344903997
"2","1982","AR",5,"02",278.288508685486,298.02913867773,265.966279735166
"3","1982","AR",5,"03",286.995163942214,302.31486504059,274.977244052337
"4","1982","AR",5,"04",288.610642934758,303.232955920509,277.831139319492
"5","1982","AR",5,"05",295.248739515589,307.227627940586,284.88871878577
"6","1982","AR",5,"06",297.014076890349,309.70647331637,291.037974296382
"7","1982","AR",5,"07",300.152233289406,310.302255695892,296.108961369301
"8","1982","AR",5,"08",299.714849942257,309.636151461738,295.567873765604
"9","1982","AR",5,"09",295.886220150395,307.483521356053,285.84978413241
"10","1982","AR",5,"10",290.384842743072,304.207694961105,278.983636381519
"11","1982","AR",5,"11",284.555424123407,299.164055276099,274.268165351463
"12","1982","AR",5,"12",282.144469845854,297.868961119956,270.097688694806
"13","1983","AR",5,"01",277.280683421005,289.950003944192,271.154072763151
"14","1983","AR",5,"02",280.564017845869,292.756298921168,272.298348101932
"15","1983","AR",5,"03",284.01473523323,298.610637186131,273.436579732939
"16","1983","AR",5,"04",287.07564674482,301.892370508094,277.937127456245
"17","1983","AR",5,"05",292.741686795434,303.651089470694,285.499820452346
"18","1983","AR",5,"06",296.988650396717,307.446537953553,288.60225711031
"19","1983","AR",5,"07",300.475121034797,310.744387829584,293.326422021301
"20","1983","AR",5,"08",301.300020535362,310.484508395248,296.342232201153
"21","1983","AR",5,"09",297.566583310341,309.02998939067,282.971536033032
"22","1983","AR",5,"10",292.106033331561,304.237329124893,283.271706852536
"23","1983","AR",5,"11",285.261839385849,299.335882119162,274.226290882239
"24","1983","AR",5,"12",273.586180996208,293.606447148221,258.349470556645
"25","1984","AR",5,"01",275.590166722773,290.813772111923,265.658796161319
"26","1984","AR",5,"02",281.547799910063,296.159278307201,268.557886966048
"27","1984","AR",5,"03",283.486369782987,298.576171388129,272.145831661921
"28","1984","AR",5,"04",288.97485204759,304.860487029337,279.638593843593
"29","1984","AR",5,"05",293.894414010271,307.844208454978,285.582418847178
"30","1984","AR",5,"06",298.682456623147,311.150707132469,290.260720845033
"31","1984","AR",5,"07",298.922929961273,309.623419648104,293.405830896599
"32","1984","AR",5,"08",298.396902718232,310.182375376918,293.189333959383
"33","1984","AR",5,"09",296.144876340491,309.349846245621,285.112030047226
"34","1984","AR",5,"10",291.463612112182,302.980899983501,281.594938894442
"35","1984","AR",5,"11",283.451247599142,298.625375237496,272.885857556407
"36","1984","AR",5,"12",284.460755199231,296.03331645282,270.46502816753
"37","1985","AR",5,"01",273.994794325353,287.659809826615,263.093651255031
"38","1985","AR",5,"02",277.313093203075,296.679593762516,260.191186805688
"39","1985","AR",5,"03",287.136609804261,303.372265534332,278.8318099858
"40","1985","AR",5,"04",291.058308020653,302.905656808143,281.162876461124
"41","1985","AR",5,"05",295.291474258593,308.540550323557,287.062708829543
"42","1985","AR",5,"06",299.116149728285,310.97838320233,290.038328036805
"43","1985","AR",5,"07",299.843816076589,311.381722948697,293.581390906848
"44","1985","AR",5,"08",299.61722766468,310.614586568353,293.172119693623
"45","1985","AR",5,"09",296.258771017584,311.984755412627,284.605104394575
"46","1985","AR",5,"10",291.844977901277,302.496385594918,282.416393123851
"47","1985","AR",5,"11",287.092006980564,298.211889367584,277.372669138651
