"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","AZ",4,"01",277.491963404744,297.825986653237,276.651294869553
"2","1982","AZ",4,"02",279.943501381376,303.86780599705,279.872426488676
"3","1982","AZ",4,"03",282.509596115923,303.356019166116,279.07153869981
"4","1982","AZ",4,"04",287.675193549322,307.401479192316,284.878951861516
"5","1982","AZ",4,"05",291.80454132346,310.62456419629,288.822835875469
"6","1982","AZ",4,"06",297.426241125806,314.795040852947,294.284499918567
"7","1982","AZ",4,"07",300.081591399663,317.199657604397,296.970404088545
"8","1982","AZ",4,"08",298.737096128286,317.334441159109,298.591713514787
"9","1982","AZ",4,"09",296.624344726461,319.410889255608,291.778307154871
"10","1982","AZ",4,"10",289.41005536207,308.403565620824,286.883124718532
"11","1982","AZ",4,"11",282.707338812919,301.754243588383,281.19291464788
"12","1982","AZ",4,"12",278.104978299961,294.934977073914,276.860307048598
"13","1983","AZ",4,"01",278.986043225015,299.112264931478,277.17964941508
"14","1983","AZ",4,"02",279.981529409917,300.163870084372,277.997564533997
"15","1983","AZ",4,"03",281.91608969163,302.925844537663,282.397383794382
"16","1983","AZ",4,"04",283.939859156125,305.760343484257,282.203985145574
"17","1983","AZ",4,"05",292.082061072344,317.910210681777,287.687642666988
"18","1983","AZ",4,"06",297.54831202303,313.540609960268,293.272028651323
"19","1983","AZ",4,"07",299.838131055219,318.055259668383,298.713380218311
"20","1983","AZ",4,"08",297.719736937107,316.735716804119,295.272495924933
"21","1983","AZ",4,"09",297.668184819109,316.75989163522,293.654796810423
"22","1983","AZ",4,"10",289.810895452135,308.675425201188,292.290933422474
"23","1983","AZ",4,"11",282.976583648229,304.35618871114,279.919463606528
"24","1983","AZ",4,"12",280.058819300632,296.19315407603,277.918996332919
"25","1984","AZ",4,"01",278.553340235006,300.467567357813,277.914490961758
"26","1984","AZ",4,"02",280.196543538327,300.455758433965,281.165881327958
"27","1984","AZ",4,"03",284.820135757933,304.671544247766,281.96298368771
"28","1984","AZ",4,"04",286.629965584273,311.634873010244,284.383813076588
"29","1984","AZ",4,"05",296.520795576518,317.564920936007,289.414414635914
"30","1984","AZ",4,"06",298.17757840106,316.216735463339,295.257863786789
"31","1984","AZ",4,"07",298.803486325371,317.364169230588,297.224049607512
"32","1984","AZ",4,"08",297.241796605022,316.236417003086,296.25965415991
"33","1984","AZ",4,"09",296.594570934022,315.313352788953,294.866201145825
"34","1984","AZ",4,"10",287.105420834985,308.145336013106,286.7396933843
"35","1984","AZ",4,"11",283.192570517338,303.93151835328,278.030612046265
"36","1984","AZ",4,"12",278.373051542235,296.417106477886,277.823955878922
"37","1985","AZ",4,"01",277.265184239433,294.880382148822,277.890683910945
"38","1985","AZ",4,"02",278.112796160979,301.824152684307,274.191425746966
"39","1985","AZ",4,"03",282.876802760599,303.601615586187,280.625090132635
"40","1985","AZ",4,"04",289.533168652813,311.753428205152,288.049309483645
"41","1985","AZ",4,"05",293.975305085913,311.502329441483,289.965173278886
"42","1985","AZ",4,"06",299.911307605097,318.875142746387,293.18200547172
"43","1985","AZ",4,"07",300.697684214933,319.725319662748,298.793173119701
"44","1985","AZ",4,"08",299.954424396046,318.396671086482,299.15103828682
"45","1985","AZ",4,"09",293.42657574507,313.809670049373,290.1292771953
"46","1985","AZ",4,"10",289.277084980849,310.925000000605,287.667718449093
"47","1985","AZ",4,"11",282.255426811257,304.192785116401,279.377504936767
"48","1985","AZ",4,"12",278.975053722385,297.743303485776,274.919019014922
"49","1986","AZ",4,"01",281.632944449699,300.64652482,281.991496859168
"50","1986","AZ",4,"02",281.246278725825,306.691878964878,277.019727886808
"51","1986","AZ",4,"03",285.469736188782,309.080705012952,283.312680088078
"52","1986","AZ",4,"04",288.566788522547,308.944030885823,287.260383499199
"53","1986","AZ",4,"05",293.834406007203,313.535489243564,288.452815738785
"54","1986","AZ",4,"06",299.637700941992,318.071485636674,297.104882221363
"55","1986","AZ",4,"07",298.723200658097,317.31680676079,296.334357069869
"56","1986","AZ",4,"08",301.247048300288,318.400295855563,300.123597724899
"57","1986","AZ",4,"09",294.172983335152,316.492800429116,288.429046325372
"58","1986","AZ",4,"10",288.150325772742,306.228375403311,286.527493252278
"59","1986","AZ",4,"11",283.494824870034,301.751802543736,282.690713770421
"60","1986","AZ",4,"12",278.756651587069,297.481231267079,276.976150628883
"61","1987","AZ",4,"01",276.984051414768,299.978084047825,274.214536423464
"62","1987","AZ",4,"02",279.728451454188,301.031362090036,277.946848557564
"63","1987","AZ",4,"03",281.014403576122,303.783738560106,280.866282666824
"64","1987","AZ",4,"04",289.513279813195,310.747189910736,285.73540166273
"65","1987","AZ",4,"05",292.277232272981,311.883996772542,289.261947680267
"66","1987","AZ",4,"06",299.345750377452,316.08692249997,297.2440431723
"67","1987","AZ",4,"07",299.554304890069,317.093342911676,297.136066893311
"68","1987","AZ",4,"08",298.636110271892,315.074390223416,298.784233114101
"69","1987","AZ",4,"09",296.520632728978,315.57148856442,296.347636327865
"70","1987","AZ",4,"10",292.402825103592,313.629952830907,292.24861230286
"71","1987","AZ",4,"11",282.314288642731,300.843931568018,280.945736909854
"72","1987","AZ",4,"12",277.465882936772,298.285097484814,273.50759738933
"73","1988","AZ",4,"01",277.299182046824,298.649624190832,275.700207603028
"74","1988","AZ",4,"02",280.7198820081,302.157029171985,281.494790974274
"75","1988","AZ",4,"03",284.002722484295,310.081534977869,280.736379341006
"76","1988","AZ",4,"04",287.219104859444,309.329095089745,285.338604265197
"77","1988","AZ",4,"05",292.884615626155,315.354585939886,285.593398724668
