"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","CO",8,"01",269.372000434892,295.132268943855,262.735381191789
"2","1982","CO",8,"02",269.960683552402,296.898128849062,259.440020948331
"3","1982","CO",8,"03",274.704412199703,297.665809095463,267.482106379459
"4","1982","CO",8,"04",277.994128304499,301.084232584527,274.736977715677
"5","1982","CO",8,"05",282.759068607532,303.985009088103,276.606367017982
"6","1982","CO",8,"06",287.82344945891,308.792289206152,282.552470504102
"7","1982","CO",8,"07",292.992830137086,312.148204379987,289.908917852566
"8","1982","CO",8,"08",291.649966969615,307.799969701898,291.215732317814
"9","1982","CO",8,"09",287.653844287066,308.616484569571,284.728541227997
"10","1982","CO",8,"10",280.512309856862,302.437928286196,275.516378271184
"11","1982","CO",8,"11",274.053035460455,296.632468509341,269.724592188285
"12","1982","CO",8,"12",270.193633497606,293.243345793041,261.039843141213
"13","1983","CO",8,"01",271.192454038208,290.997579958569,267.157167354449
"14","1983","CO",8,"02",272.044940871055,289.780780126485,265.875901306095
"15","1983","CO",8,"03",273.720540851625,295.786211085829,266.921462751215
"16","1983","CO",8,"04",275.460834592669,300.351225025405,267.952922211525
"17","1983","CO",8,"05",281.485381792486,302.857349182877,277.042658705507
"18","1983","CO",8,"06",287.418996871831,312.577645854744,281.974324250115
"19","1983","CO",8,"07",292.859792903896,311.513953286299,291.17486205331
"20","1983","CO",8,"08",292.481930473664,311.661016842164,293.326422021301
"21","1983","CO",8,"09",289.4610157556,309.120645007299,277.211882523214
"22","1983","CO",8,"10",282.349899169446,302.539047240047,277.256203046899
"23","1983","CO",8,"11",274.652361088343,298.501850446177,263.788807554374
"24","1983","CO",8,"12",267.476657820935,288.52570347849,257.91029445831
"25","1984","CO",8,"01",268.126418046472,288.733433360668,258.168002133622
"26","1984","CO",8,"02",270.838263307084,291.099154438254,263.265520928087
"27","1984","CO",8,"03",273.154399821203,294.992163000205,268.235109714198
"28","1984","CO",8,"04",275.962598312568,296.405297554038,271.285748374978
"29","1984","CO",8,"05",285.064567908311,308.420877569564,275.20827924655
"30","1984","CO",8,"06",289.192767695796,309.751349656459,286.592081836198
"31","1984","CO",8,"07",293.234945045957,311.473484384319,291.333364761243
"32","1984","CO",8,"08",291.251043017736,309.731668116712,291.764390481702
"33","1984","CO",8,"09",287.741125844976,310.093808448057,274.769380910192
"34","1984","CO",8,"10",277.776653872965,298.674579086864,272.553239534683
"35","1984","CO",8,"11",274.828961304682,295.87389598087,270.020225369248
"36","1984","CO",8,"12",270.426169471581,290.534294247516,266.98336378629
"37","1985","CO",8,"01",268.050234669283,286.196714668227,257.792897039303
"38","1985","CO",8,"02",268.440755647494,291.718910313332,257.786965572445
"39","1985","CO",8,"03",274.891024192129,299.07986068452,266.061361839815
"40","1985","CO",8,"04",279.796359496507,303.568003940656,275.089054398194
"41","1985","CO",8,"05",284.515591685701,307.743756608921,280.982955299755
"42","1985","CO",8,"06",290.458620794189,311.531986775774,285.639156783544
"43","1985","CO",8,"07",292.508477134417,311.413357438608,290.336878535341
"44","1985","CO",8,"08",292.504345658696,311.130624185028,290.759989837902
"45","1985","CO",8,"09",286.174405030041,310.798462040961,272.961634951673
"46","1985","CO",8,"10",280.460913224455,299.645327191681,275.363879029296
"47","1985","CO",8,"11",273.012041435771,295.659381462883,267.170546142323
"48","1985","CO",8,"12",269.042981253755,286.888719135032,260.576732151479
"49","1986","CO",8,"01",272.907840187028,296.950381034174,266.398761659798
"50","1986","CO",8,"02",272.642651716675,296.720610037841,263.667259901677
"51","1986","CO",8,"03",277.023231532423,302.377730430296,271.834034193725
"52","1986","CO",8,"04",279.445775075591,303.855395630846,277.100940049305
"53","1986","CO",8,"05",284.016966813583,306.166971085326,278.69150996357
"54","1986","CO",8,"06",290.530737125785,310.691082771728,285.099347663006
"55","1986","CO",8,"07",292.734321797563,311.958784820457,291.97266970846
"56","1986","CO",8,"08",292.587537860189,311.437838509808,289.488766006731
"57","1986","CO",8,"09",287.132146046585,306.450223261839,282.532251014329
"58","1986","CO",8,"10",280.14552431379,301.048624063581,271.701321635499
"59","1986","CO",8,"11",273.941779591944,292.430230916673,267.781349206694
"60","1986","CO",8,"12",269.867710888996,285.642082602618,265.972893002803
"61","1987","CO",8,"01",269.696311661325,290.9997545855,261.129033783002
"62","1987","CO",8,"02",272.198366412294,292.256761455991,268.210647854035
"63","1987","CO",8,"03",272.696974255608,296.461724471702,265.535688338711
"64","1987","CO",8,"04",279.314537527704,304.706630152217,270.060505614823
"65","1987","CO",8,"05",283.715276986049,303.755216524147,282.877086201954
"66","1987","CO",8,"06",290.607409835241,310.284725470539,285.765960986972
"67","1987","CO",8,"07",292.970029957808,311.721013709918,287.78287638695
"68","1987","CO",8,"08",291.123630475625,312.784478193542,285.509262663339
"69","1987","CO",8,"09",287.009441017817,307.324545595623,283.592174389218
