"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","FL",12,"01",288.165427034894,300.289204950213,277.040018454881
"2","1982","FL",12,"02",292.156544946053,301.443655397091,286.437752972528
"3","1982","FL",12,"03",292.972040362877,303.180214529535,287.537508643581
"4","1982","FL",12,"04",294.796940708777,305.225408468421,291.256753399682
"5","1982","FL",12,"05",296.197407512126,305.772356226671,293.626209223816
"6","1982","FL",12,"06",298.926942665125,309.233754182454,297.732224180394
"7","1982","FL",12,"07",298.611817214697,307.712067383608,297.992024365563
"8","1982","FL",12,"08",298.897334684011,308.018748805198,298.025231908028
"9","1982","FL",12,"09",298.045626378268,306.086851187665,296.661769282104
"10","1982","FL",12,"10",295.595801963598,303.902966924366,289.762413988749
"11","1982","FL",12,"11",293.538186588343,300.933821951008,289.30532193364
"12","1982","FL",12,"12",291.548518686882,301.303011687827,282.85524515599
"13","1983","FL",12,"01",286.911902117546,299.126366916286,281.019418421624
"14","1983","FL",12,"02",288.565990171339,299.458770843925,283.420784977659
"15","1983","FL",12,"03",290.192813224005,301.245693776142,283.587994226108
"16","1983","FL",12,"04",292.856187980232,302.73848959663,287.929390977999
"17","1983","FL",12,"05",297.033582642144,305.677746144662,292.018966572587
"18","1983","FL",12,"06",297.860602832393,306.848210883803,295.969536888345
"19","1983","FL",12,"07",299.48476528597,308.899042388873,297.645658511349
"20","1983","FL",12,"08",298.999785285463,308.67341063193,297.605367126181
"21","1983","FL",12,"09",297.971941360075,308.139549778449,294.136278863185
"22","1983","FL",12,"10",296.028470809232,304.569733052532,292.989988955145
"23","1983","FL",12,"11",291.8135593392,301.132877897671,284.990134429967
"24","1983","FL",12,"12",288.938277655973,301.644578489309,274.81051596718
"25","1984","FL",12,"01",287.613819176552,300.1369,283.8623
"26","1984","FL",12,"02",289.068483932183,300.5699,280.0224
"27","1984","FL",12,"03",291.000582957454,303.3017,281.1797
"28","1984","FL",12,"04",293.813928020856,304.592818088778,287.733611141522
"29","1984","FL",12,"05",297.061863584387,306.013825258509,293.968722933363
"30","1984","FL",12,"06",298.041347171333,308.535030500096,292.701231773658
"31","1984","FL",12,"07",298.001855725857,306.877844853401,297.1867
"32","1984","FL",12,"08",298.76926766231,308.342151410576,297.65901163592
"33","1984","FL",12,"09",298.174964949896,306.862099621604,296.015603067048
"34","1984","FL",12,"10",296.751652963597,303.201333228667,293.825
"35","1984","FL",12,"11",291.350491366565,301.5481,284.9546
"36","1984","FL",12,"12",291.657488624711,299.6961,285.0687
"37","1985","FL",12,"01",285.476233429616,299.787682396281,275.676269617168
"38","1985","FL",12,"02",289.668951464414,301.915101842802,282.295786631065
