"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","ID",16,"01",267.3269462951,281.577731463506,259.418533714972
"2","1982","ID",16,"02",268.836944259646,288.307142274833,259.553317269683
"3","1982","ID",16,"03",273.591047133408,288.273934732368,270.228565479815
"4","1982","ID",16,"04",275.29974410559,293.401569965963,269.990252528006
"5","1982","ID",16,"05",281.794450207391,300.002057377132,274.139241951304
"6","1982","ID",16,"06",287.699772840366,305.821190847943,281.497642684619
"7","1982","ID",16,"07",291.297466746503,309.120457861102,284.740261537102
"8","1982","ID",16,"08",293.484761739915,310.001434428855,287.152691827955
"9","1982","ID",16,"09",286.045095360966,307.354597955894,277.792071622474
"10","1982","ID",16,"10",279.031390999315,294.507185791569,272.49058513715
"11","1982","ID",16,"11",272.056222759021,285.031315879885,265.395891358705
"12","1982","ID",16,"12",269.405253331099,281.946921200325,265.93111880785
"13","1983","ID",16,"01",272.292163842814,284.03119946296,265.591847040659
"14","1983","ID",16,"02",272.781695806458,286.744824254049,266.748209794991
"15","1983","ID",16,"03",274.987547185329,288.715072988782,271.303150888274
"16","1983","ID",16,"04",276.335964207311,292.508506902383,272.076745483506
"17","1983","ID",16,"05",282.350132850748,306.336510292165,275.582095993154
"18","1983","ID",16,"06",286.667510864133,304.749029716531,281.164467408231
"19","1983","ID",16,"07",290.656504919812,309.06826620658,283.112555881121
"20","1983","ID",16,"08",292.754699205069,312.783131919103,286.859654701779
"21","1983","ID",16,"09",286.197413470203,304.608009868442,277.453630834224
"22","1983","ID",16,"10",280.937167926474,296.11660044421,276.35166144987
"23","1983","ID",16,"11",274.257622900093,290.121242331157,268.764793622667
"24","1983","ID",16,"12",266.18565001958,280.04436690055,256.286551636025
"25","1984","ID",16,"01",268.497949811865,281.913779838343,257.426008085161
"26","1984","ID",16,"02",270.586313486042,283.870124889192,267.782434300017
"27","1984","ID",16,"03",274.070205653437,289.670274652624,270.667748026923
"28","1984","ID",16,"04",276.622429154235,297.938489500327,272.759895702026
"29","1984","ID",16,"05",281.488626097147,305.415506450201,275.422808029792
"30","1984","ID",16,"06",285.440132757563,309.452190252305,278.304185448748
"31","1984","ID",16,"07",292.861121767712,309.095954382885,287.38918419595
"32","1984","ID",16,"08",293.113043261746,309.599801800408,289.359306324622
"33","1984","ID",16,"09",285.109665973905,305.948876177344,276.206133311721
"34","1984","ID",16,"10",278.130677837208,299.41460498135,271.604589318879
"35","1984","ID",16,"11",273.221733712094,285.690667315787,270.132410145806
"36","1984","ID",16,"12",267.406290988706,278.754892708954,260.71479337688
"37","1985","ID",16,"01",267.452246370409,280.257339187419,257.278836578248
"38","1985","ID",16,"02",267.581208261536,281.775794703151,258.749840359113
"39","1985","ID",16,"03",272.193454372112,287.339510616265,267.846733364173
"40","1985","ID",16,"04",279.005008051724,297.984516471348,272.01260025434
"41","1985","ID",16,"05",283.964805587855,301.142033995599,276.741956496048
"42","1985","ID",16,"06",288.915812494315,308.236068358162,282.877070383181
"43","1985","ID",16,"07",296.004820807645,310.373373582781,291.355113679355
"44","1985","ID",16,"08",290.845074275227,308.619636548334,285.47505286713
"45","1985","ID",16,"09",283.301958060442,302.302624344213,276.376182706451
"46","1985","ID",16,"10",279.046074770418,296.928715370566,272.139138213984
"47","1985","ID",16,"11",268.707589986236,290.912230820599,258.931738676102
"48","1985","ID",16,"12",266.808036216897,279.199560931017,260.636046820063
"49","1986","ID",16,"01",271.513091067189,283.29881459692,268.474623764592
"50","1986","ID",16,"02",272.449700333596,289.047051074127,266.430454211017
"51","1986","ID",16,"03",277.072626570736,293.798952972411,271.820168702567
"52","1986","ID",16,"04",278.026627417217,296.956323387527,273.507797054938
"53","1986","ID",16,"05",283.147073580113,307.410903720641,275.454908170408
"54","1986","ID",16,"06",291.45373258886,309.231244631238,284.2198793667
"55","1986","ID",16,"07",290.495234088704,309.04307010838,281.2645489656
"56","1986","ID",16,"08",294.226834361993,310.494985111065,286.93157328031
"57","1986","ID",16,"09",283.53826379821,304.762594909468,279.107474698309
"58","1986","ID",16,"10",281.050923665782,294.626920872987,276.401723138053
"59","1986","ID",16,"11",273.603064341833,287.832830205579,268.036870400891
"60","1986","ID",16,"12",270.18296639697,281.238798767735,266.668148345153
"61","1987","ID",16,"01",268.958015215883,283.406781155483,259.947406578975
"62","1987","ID",16,"02",272.370184755759,285.010127034051,267.497596955053
"63","1987","ID",16,"03",274.669181069588,292.552168256998,269.025563167157
"64","1987","ID",16,"04",281.496691519367,303.492406335665,273.917092334174
"65","1987","ID",16,"05",285.21960856533,304.511050477068,278.344119772711
"66","1987","ID",16,"06",289.036669395693,307.479379505116,278.672123186243
"67","1987","ID",16,"07",291.292077179639,308.290220241673,284.60266937749
"68","1987","ID",16,"08",291.093522574526,308.958450798433,285.694655897074
"69","1987","ID",16,"09",289.380813975809,308.17205752127,281.118906413892
"70","1987","ID",16,"10",283.188387061098,302.253735059719,276.954689163837
"71","1987","ID",16,"11",275.42301003332,290.087049434803,269.162061482105
"72","1987","ID",16,"12",270.007627820368,284.997903304354,264.745220484982
"73","1988","ID",16,"01",268.658746992046,282.422402053285,261.409821473803
"74","1988","ID",16,"02",271.828865381103,287.49639484384,265.580090165922
"75","1988","ID",16,"03",273.871687314203,293.916020873476,270.373410934717
"76","1988","ID",16,"04",279.706848163577,297.584662973512,272.517267441358
"77","1988","ID",16,"05",283.345088943846,304.537764902665,273.711616470127
"78","1988","ID",16,"06",290.441235199971,310.425905614498,283.551061885472
