"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","IL",17,"01",266.440529020549,288.650938008591,252.782885376487
"2","1982","IL",17,"02",270.826375991058,294.53062640978,255.879000365153
"3","1982","IL",17,"03",278.39364101714,298.486230732839,269.880862976356
"4","1982","IL",17,"04",282.404153945652,300.441568968583,270.236379019219
"5","1982","IL",17,"05",293.45625911568,305.104298607665,283.910072975472
"6","1982","IL",17,"06",293.240685468911,306.475574772992,285.890805214278
"7","1982","IL",17,"07",297.940434076376,307.639792144125,292.10452242497
"8","1982","IL",17,"08",296.347231562686,309.571689761658,290.35428959857
"9","1982","IL",17,"09",292.29824587937,304.225275424763,283.329917674757
"10","1982","IL",17,"10",287.168829757409,301.146740899755,276.188342659891
"11","1982","IL",17,"11",279.903485307805,297.693156483376,269.331961833255
"12","1982","IL",17,"12",277.81923447403,295.081480937731,267.956778898226
"13","1983","IL",17,"01",272.542766916358,283.24148831366,267.21961900146
"14","1983","IL",17,"02",275.288755180141,291.605979874612,266.496388637688
"15","1983","IL",17,"03",279.069010176875,297.248788367441,270.529556293041
"16","1983","IL",17,"04",282.19916816658,298.231898165549,271.587205153711
"17","1983","IL",17,"05",288.490888333144,299.664256908284,280.008104653899
"18","1983","IL",17,"06",295.27196110476,307.237022750678,284.544914623856
"19","1983","IL",17,"07",300.089532942923,312.906020643866,288.698956434714
"20","1983","IL",17,"08",300.308026672499,311.018369248729,292.286904283957
"21","1983","IL",17,"09",293.844313815963,308.568653030492,281.261166732635
"22","1983","IL",17,"10",287.479265881419,303.697424563637,279.669657018484
"23","1983","IL",17,"11",281.345808620197,294.160453694286,272.810048693571
"24","1983","IL",17,"12",266.730024129755,288.382669061143,252.567656784985
"25","1984","IL",17,"01",269.313708467701,285.63752715847,256.912319897765
"26","1984","IL",17,"02",276.408207219102,291.061759512735,262.614061962463
"27","1984","IL",17,"03",274.796354596463,294.250168951745,267.890682768626
"28","1984","IL",17,"04",283.899744434991,301.138707863185,274.42889027257
"29","1984","IL",17,"05",288.876504323132,304.701066557386,280.429791741421
"30","1984","IL",17,"06",296.899526790529,305.897704174002,289.097541845987
"31","1984","IL",17,"07",297.082214409929,310.896815269733,289.89464420574
"32","1984","IL",17,"08",297.594796077579,311.087726205279,290.343383311971
"33","1984","IL",17,"09",292.591129960057,309.340005475748,282.1893213948
"34","1984","IL",17,"10",288.273418183336,299.526789757908,279.88461309043
"35","1984","IL",17,"11",279.104989812405,294.870137453774,270.559499558315
"36","1984","IL",17,"12",276.415069408582,293.75813045807,265.902847254182
"37","1985","IL",17,"01",267.088360019985,278.999868213453,249.482911970782
"38","1985","IL",17,"02",270.417192026143,294.202217771353,257.549706898111
"39","1985","IL",17,"03",281.142922678605,302.089091537313,271.079382801963
"40","1985","IL",17,"04",287.225018006481,302.314487277929,273.61014199485
"41","1985","IL",17,"05",292.29828752253,306.593052038405,285.152776501161
"42","1985","IL",17,"06",294.631047525792,306.743315865483,284.377731498339
"43","1985","IL",17,"07",297.673229491653,309.643803159206,291.40849688108
"44","1985","IL",17,"08",295.699670564287,307.283079349591,290.348741469058
"45","1985","IL",17,"09",293.749178452481,307.571744070029,282.98779109787
"46","1985","IL",17,"10",287.749616653838,300.25033681123,278.954393634206
"47","1985","IL",17,"11",280.020367671402,295.252087405278,271.083337113201
"48","1985","IL",17,"12",269.084831402029,287.511523155157,259.942065197638
"49","1986","IL",17,"01",272.55328886197,292.164805800221,258.705394851573
"50","1986","IL",17,"02",272.812412860538,292.105382266686,262.312403337098
"51","1986","IL",17,"03",280.324891521493,301.29027976662,267.870484506995
"52","1986","IL",17,"04",287.430192141465,304.514996853075,276.27495293318
"53","1986","IL",17,"05",291.445202554989,305.055751008236,282.318326293606
"54","1986","IL",17,"06",296.344476756146,309.003454419357,290.813910804544
"55","1986","IL",17,"07",299.354365331921,310.760410227518,292.921465460556
"56","1986","IL",17,"08",295.261158698002,308.690490476077,285.582659069084
"57","1986","IL",17,"09",294.859103002773,304.938884725619,285.622274758107
"58","1986","IL",17,"10",287.058482687777,303.025446945818,277.675367540135
"59","1986","IL",17,"11",277.755461974263,294.769537353469,265.455908261056
"60","1986","IL",17,"12",274.005228396259,286.979112107137,269.106494004506
"61","1987","IL",17,"01",271.279429746485,290.523029127324,262.807759328034
"62","1987","IL",17,"02",275.967760715664,288.088469629371,268.956295365542
"63","1987","IL",17,"03",281.161155501144,297.830782197748,270.596312433201
"64","1987","IL",17,"04",285.802187125587,305.397270880088,272.666197328531
"65","1987","IL",17,"05",293.827483730312,304.451969116867,285.435920285158
"66","1987","IL",17,"06",297.20316522544,309.718359327919,288.817818834615
"67","1987","IL",17,"07",298.738679301155,308.561179583286,291.295161386507
"68","1987","IL",17,"08",297.670572241237,310.942769585886,289.836462976018
"69","1987","IL",17,"09",293.28900328401,305.358562402715,286.774418686961
"70","1987","IL",17,"10",283.706706136149,297.74521608987,277.099336631917
"71","1987","IL",17,"11",281.926403814856,297.52722624361,270.533156496434
"72","1987","IL",17,"12",275.098712496882,288.887086636231,268.387891934639
"73","1988","IL",17,"01",269.911909967494,290.317049133451,261.511341141248
"74","1988","IL",17,"02",271.00042333745,291.053564367859,258.891735604814
"75","1988","IL",17,"03",278.986334658995,297.805617543835,269.455752764279
"76","1988","IL",17,"04",285.03385449878,302.473531664608,277.246889595284
"77","1988","IL",17,"05",292.589360079701,305.939134429754,283.059388201962
"78","1988","IL",17,"06",298.021036401198,312.500091761127,286.07312891789
"79","1988","IL",17,"07",299.232483945928,311.498829158676,292.813238603579
"80","1988","IL",17,"08",299.252077874695,311.445083452381,287.926360494197
"81","1988","IL",17,"09",294.314662113839,306.392987060687,285.368462990916
"82","1988","IL",17,"10",283.754215885208,298.39881089479,275.047296800634
"83","1988","IL",17,"11",280.272097483733,293.872228075754,273.235867440334
"84","1988","IL",17,"12",273.681247485846,289.652194840769,267.751814816568
"85","1989","IL",17,"01",275.741832511855,290.587342364063,270.269831962679
"86","1989","IL",17,"02",269.767624797888,292.263316449272,261.421472874223
"87","1989","IL",17,"03",278.800510472671,298.224295622509,265.710398369469
"88","1989","IL",17,"04",285.022318485789,305.445685715968,270.934340985937
"89","1989","IL",17,"05",289.602667504195,306.472832406786,279.970879620803
"90","1989","IL",17,"06",295.003102367078,306.986405752195,288.041037876712
"91","1989","IL",17,"07",297.79420143204,310.15213457981,292.171186879675
"92","1989","IL",17,"08",296.674689179371,307.821452489386,288.944691740198
"93","1989","IL",17,"09",291.811134814018,305.439805105143,281.582166986933
"94","1989","IL",17,"10",287.822054001592,302.601430280135,276.442513125627
"95","1989","IL",17,"11",279.280994128331,296.158241019223,269.289730158464
"96","1989","IL",17,"12",266.962162262482,286.029868974462,250.089535813885
"97","1990","IL",17,"01",276.598390222066,291.427740963943,269.442285610104
"98","1990","IL",17,"02",276.513486485505,292.178240481183,267.330137101373
"99","1990","IL",17,"03",280.801187862627,298.697831778161,270.344079459732
"100","1990","IL",17,"04",284.496550402234,301.554507659432,272.959878838123
"101","1990","IL",17,"05",289.365761681519,302.466255083559,281.583655784232
"102","1990","IL",17,"06",296.513513929564,308.456316217179,284.701115317382
"103","1990","IL",17,"07",297.316600160895,311.153734906463,289.34744389361
"104","1990","IL",17,"08",296.607932031231,309.995138834756,289.442998208802
"105","1990","IL",17,"09",294.162323219539,309.240657887716,281.052134905974
"106","1990","IL",17,"10",285.731684110456,300.678593103502,276.851726467311
"107","1990","IL",17,"11",282.678806113152,296.388602494346,273.604870465671
"108","1990","IL",17,"12",273.579939513691,290.691176451002,259.75745762238
"109","1991","IL",17,"01",270.039853984303,282.272887465278,263.189481519065
"110","1991","IL",17,"02",275.608016877593,292.118212703048,263.097897098249
"111","1991","IL",17,"03",280.909287005392,301.234844505626,272.148827033719
"112","1991","IL",17,"04",287.434884304364,300.737103088145,277.872853334748
"113","1991","IL",17,"05",293.479854309614,307.315253661571,281.96826971778
"114","1991","IL",17,"06",297.393691030024,307.412810979397,289.637469478324
"115","1991","IL",17,"07",298.903342278403,310.243964162028,292.241652574583
"116","1991","IL",17,"08",297.745779240482,310.751660407858,290.977389374182
"117","1991","IL",17,"09",293.185282604829,305.831984237478,281.142018964762
"118","1991","IL",17,"10",287.986335040881,302.019284979576,278.245163915024
"119","1991","IL",17,"11",277.657640611717,294.465561227887,267.20326830963
"120","1991","IL",17,"12",275.215202029677,292.58409866981,267.109692923144
"121","1992","IL",17,"01",273.593052455104,286.760586929385,260.305673726811
"122","1992","IL",17,"02",276.860129504567,292.885587175266,267.450202767613
"123","1992","IL",17,"03",279.948218380636,296.040060145349,268.412982358978
"124","1992","IL",17,"04",284.729780804198,301.286426170654,272.42065025149
"125","1992","IL",17,"05",290.225131217182,303.031953397275,280.359668142077
"126","1992","IL",17,"06",294.341078447752,309.145212428627,285.065938299055
"127","1992","IL",17,"07",297.149231805612,310.567856255705,291.813222914965
"128","1992","IL",17,"08",294.379167506789,307.037664420699,288.433709999746
"129","1992","IL",17,"09",292.557225707079,306.718694759332,281.473126653229
"130","1992","IL",17,"10",286.597083528253,301.951761660622,276.75707215081
"131","1992","IL",17,"11",278.879464408535,293.537224581617,271.373725289335
"132","1992","IL",17,"12",273.883922783951,291.097008828705,267.256472727887
"133","1993","IL",17,"01",272.312648364766,289.086022444698,268.154215201256
"134","1993","IL",17,"02",271.692956059153,289.906877630716,257.986072774463
"135","1993","IL",17,"03",277.020510007368,297.371026503569,266.164446135151
"136","1993","IL",17,"04",283.715405181123,298.515797584069,273.047155917909
"137","1993","IL",17,"05",290.977756585688,304.599783080433,283.402405041514
"138","1993","IL",17,"06",295.137661858875,306.704230444585,284.434509723933
"139","1993","IL",17,"07",298.898137384699,310.092269986872,294.809877847197
"140","1993","IL",17,"08",297.588399778438,307.692073327758,289.677521034622
"141","1993","IL",17,"09",290.865813822595,304.861330075977,280.426804992202
"142","1993","IL",17,"10",285.601354916557,299.777258862581,273.910261003206
"143","1993","IL",17,"11",278.504726779467,294.23849825693,269.387509880248
