"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","IN",18,"01",268.009921818309,286.326410036027,251.034605934937
"2","1982","IN",18,"02",270.716700075847,293.643789687474,256.531430905351
"3","1982","IN",18,"03",278.557424610365,297.486097689181,268.152117383316
"4","1982","IN",18,"04",282.284882824661,300.08605292572,269.109275960254
"5","1982","IN",18,"05",293.052915975045,305.514509426353,284.556643361118
"6","1982","IN",18,"06",293.028002476651,306.127872269533,285.611471180601
"7","1982","IN",18,"07",297.248517781795,306.665053103529,289.83078245853
"8","1982","IN",18,"08",295.734153025519,309.016928464005,288.844323108829
"9","1982","IN",18,"09",291.811616707434,303.772090139356,282.214534924897
"10","1982","IN",18,"10",287.152977484235,300.957262569219,275.461683495359
"11","1982","IN",18,"11",280.684500661455,297.677529404569,268.845569005383
"12","1982","IN",18,"12",278.715627779149,295.503412065524,267.591495931109
"13","1983","IN",18,"01",273.081574576631,283.428843254693,266.031023138994
"14","1983","IN",18,"02",275.350904984377,291.066075313356,266.830807134586
"15","1983","IN",18,"03",279.569556754579,296.970777809779,269.892952407381
"16","1983","IN",18,"04",282.43384973637,298.45954449175,270.835770820321
"17","1983","IN",18,"05",288.079160122039,299.746854247879,278.448828047883
"18","1983","IN",18,"06",294.603197818619,307.430421399486,283.825713398601
"19","1983","IN",18,"07",299.012909841578,311.681162534748,288.148979027166
"20","1983","IN",18,"08",299.235073506711,309.847904509588,291.714766614566
"21","1983","IN",18,"09",293.685156369147,307.859524651529,280.114876824595
"22","1983","IN",18,"10",287.23982125047,303.624900070334,278.22319629094
"23","1983","IN",18,"11",281.218034804812,293.848195459231,273.118277790109
"24","1983","IN",18,"12",268.381403763162,287.707788359573,252.309791919908
"25","1984","IN",18,"01",269.235723568609,284.236201528485,255.312210716336
"26","1984","IN",18,"02",276.681413087413,291.965142187121,261.809086986811
"27","1984","IN",18,"03",274.446133840941,294.511933430379,265.497407535394
"28","1984","IN",18,"04",283.682828796446,300.749013376195,274.318673649987
"29","1984","IN",18,"05",288.432447594278,304.527869007613,280.758473455196
"30","1984","IN",18,"06",296.689632385087,306.444850978968,286.381489360905
"31","1984","IN",18,"07",296.119745924139,308.8381262122,288.505127499604
"32","1984","IN",18,"08",296.520072675182,307.125832254213,289.469522947205
"33","1984","IN",18,"09",292.341107706719,307.141577486011,281.425677652618
"34","1984","IN",18,"10",289.039561722929,299.721637001403,279.731097080404
"35","1984","IN",18,"11",279.068647068249,295.244086708967,270.055652140793
"36","1984","IN",18,"12",277.478068690079,293.521951981107,261.141882789389
"37","1985","IN",18,"01",267.99387987589,278.268320634259,249.868457316574
"38","1985","IN",18,"02",270.964825463869,294.334687197856,257.814645751117
"39","1985","IN",18,"03",280.629677984062,300.440143750697,270.140233882727
"40","1985","IN",18,"04",287.115325334256,302.132588960941,272.678901698092
"41","1985","IN",18,"05",291.726608464405,305.562953960675,282.564679795309
"42","1985","IN",18,"06",293.779161389782,306.217392470711,282.999654031587
"43","1985","IN",18,"07",297.018705714883,308.455532631921,290.437713471933
"44","1985","IN",18,"08",295.189524248752,306.065151488013,288.966709691067
"45","1985","IN",18,"09",293.399980288245,305.369192709969,282.760418201634
"46","1985","IN",18,"10",287.840268859352,300.351171747822,278.551053887839
"47","1985","IN",18,"11",281.930803703716,295.212544292889,271.071474179485
"48","1985","IN",18,"12",270.209451337198,287.240652835293,260.655818376257
"49","1986","IN",18,"01",272.558873652289,290.51283156797,260.947642850262
"50","1986","IN",18,"02",273.938492694994,291.697340669752,260.781256956367
"51","1986","IN",18,"03",279.861065207683,299.769037308145,267.070247588735
"52","1986","IN",18,"04",286.479751945262,303.817760726274,273.672202164382
"53","1986","IN",18,"05",291.111307485938,303.795972097312,280.357349686978
"54","1986","IN",18,"06",295.728765237008,309.001473634906,289.203533045767
"55","1986","IN",18,"07",298.521196350821,310.146367047665,291.99049676852
"56","1986","IN",18,"08",294.977766786426,306.071893431671,284.847788037711
"57","1986","IN",18,"09",294.378708773415,305.111212972868,284.473419776446
"58","1986","IN",18,"10",286.990664553227,302.896695956494,278.338930331267
"59","1986","IN",18,"11",278.660682354895,294.656632639754,266.323491850655
"60","1986","IN",18,"12",274.212023433963,285.968912037056,267.127690337818
"61","1987","IN",18,"01",271.31220421751,286.586988164943,261.758555862389
"62","1987","IN",18,"02",275.141585053809,286.493272903934,268.253430907974
"63","1987","IN",18,"03",280.497182986427,296.899741452506,270.223488677447
"64","1987","IN",18,"04",284.988423122878,303.895789415661,271.183051458649
