"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","LA",22,"01",284.54036379751,298.187362850652,276.123880959812
"2","1982","LA",22,"02",285.11916878219,298.66398875427,284.019462527122
"3","1982","LA",22,"03",290.695556959193,302.541457683293,283.009562559211
"4","1982","LA",22,"04",293.070100904525,304.340525130966,290.168718037735
"5","1982","LA",22,"05",297.048313688096,308.217994059989,293.28632025976
"6","1982","LA",22,"06",299.943664735263,309.477927288815,299.707096264647
"7","1982","LA",22,"07",300.233345757478,309.74944778309,300.199349247072
"8","1982","LA",22,"08",300.215547375886,309.683032698159,299.572312709935
"9","1982","LA",22,"09",297.826180635204,307.93475325661,295.845254414431
"10","1982","LA",22,"10",294.011879332556,304.737062255697,293.11051562318
"11","1982","LA",22,"11",289.665254796693,300.593932986952,287.875444222786
"12","1982","LA",22,"12",287.641679979652,299.095686806317,282.474335110066
"13","1983","LA",22,"01",283.084777209458,294.559338407453,283.189109512941
"14","1983","LA",22,"02",285.126126848523,295.498127681875,283.056147941885
"15","1983","LA",22,"03",287.726934890791,299.956369450755,281.770852755014
"16","1983","LA",22,"04",290.917945714592,302.065623464318,287.60907446591
"17","1983","LA",22,"05",296.349602708574,305.301021693338,293.54399550121
"18","1983","LA",22,"06",297.8889387344,307.484814769463,297.081579118992
"19","1983","LA",22,"07",300.858184339124,310.383779932327,299.944282035204
"20","1983","LA",22,"08",299.954316972935,308.828532464828,299.501076798352
"21","1983","LA",22,"09",297.75949706352,308.99171257476,293.473485577165
"22","1983","LA",22,"10",294.448139058346,304.237329124893,292.260714883598
"23","1983","LA",22,"11",289.644837272728,300.736007753763,285.693219101154
"24","1983","LA",22,"12",281.922864732008,297.281021475575,273.521191641792
"25","1984","LA",22,"01",281.29028653555,293.580996600348,279.06
"26","1984","LA",22,"02",285.683774759393,296.773342347306,279.672052461163
"27","1984","LA",22,"03",288.670522434729,301.243020023843,283.2147
"28","1984","LA",22,"04",293.013965924206,304.890009338957,288.6331
"29","1984","LA",22,"05",296.922600923266,307.897348612295,292.9
"30","1984","LA",22,"06",298.732586201293,310.371318158489,295.8542
"31","1984","LA",22,"07",299.264813746414,308.294915715183,297.4878
"32","1984","LA",22,"08",299.149115742434,308.77120897706,298.9304
"33","1984","LA",22,"09",298.138718868314,307.820590607281,295.5511
"34","1984","LA",22,"10",295.475080250455,303.360753700618,292.286
"35","1984","LA",22,"11",288.590358235634,300.991096315082,286.1256
"36","1984","LA",22,"12",289.905514430366,297.771196412478,281.7701
"37","1985","LA",22,"01",280.689925733681,294.811181702142,272.024463188056
"38","1985","LA",22,"02",283.712576039875,297.83622979989,281.196488106654
"39","1985","LA",22,"03",291.395742367107,303.318882332607,289.571719310617
"40","1985","LA",22,"04",293.951951060674,305.274289240236,291.450017149088
"41","1985","LA",22,"05",297.519601880519,308.471349876876,294.775592900992
"42","1985","LA",22,"06",300.181042998868,310.361510649064,298.721995517401
"43","1985","LA",22,"07",299.555971184791,308.997273271648,298.812944675895
"44","1985","LA",22,"08",300.129404778709,310.337784781631,298.961231347353
"45","1985","LA",22,"09",298.268744948866,311.223550499141,296.402791975794
"46","1985","LA",22,"10",294.933600587579,303.085577969512,293.098964935704
"47","1985","LA",22,"11",292.091752434269,299.674984525972,289.947378878311
"48","1985","LA",22,"12",283.327780811664,297.541633612593,277.783917507495
"49","1986","LA",22,"01",284.417364952024,296.094682151281,280.054289665954
"50","1986","LA",22,"02",288.034935066705,302.793695165035,280.036462605894
"51","1986","LA",22,"03",289.326526714694,300.878276600783,280.610890096724
"52","1986","LA",22,"04",293.714892056721,304.388226648202,292.083593637724
"53","1986","LA",22,"05",297.101439809675,306.74734092951,295.730217812272
"54","1986","LA",22,"06",299.305825362067,308.310179861459,299.261956488653
"55","1986","LA",22,"07",301.095055355017,313.743471610934,299.467958071572
"56","1986","LA",22,"08",300.513829567014,314.345630084081,298.56075879295
"57","1986","LA",22,"09",299.173453938941,306.085758922829,299.390707477977
"58","1986","LA",22,"10",294.064950492972,305.006231396958,293.963358081855
"59","1986","LA",22,"11",290.870547484399,300.860449540723,287.830849421127
"60","1986","LA",22,"12",284.169494493397,296.514608454923,286.020412432786
"61","1987","LA",22,"01",283.126366815541,296.388382093521,280.678852144806
"62","1987","LA",22,"02",286.437227770243,296.359860057562,284.484506657087
"63","1987","LA",22,"03",288.376893789086,300.432399334891,282.43906922115
"64","1987","LA",22,"04",292.202538462431,307.55475917158,284.013893063759
