"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","ME",23,"1",259.596464877333,280.82177152621,255.367213534219
"2","1982","ME",23,"2",264.977943106517,283.300616901994,261.420753187137
"3","1982","ME",23,"3",270.494778610265,283.396332759687,258.926280732547
"4","1982","ME",23,"4",276.031929807467,293.514866287315,267.583682391706
"5","1982","ME",23,"5",284.170087975691,300.279438025959,277.424835270506
"6","1982","ME",23,"6",287.6746037037,298.892534781824,281.3472320511
"7","1982","ME",23,"7",292.141575156823,303.682234436215,284.781282618971
"8","1982","ME",23,"8",288.941774672123,300.713089462857,283.2049010443
"9","1982","ME",23,"9",287.070102124525,298.855420469657,283.079884413843
"10","1982","ME",23,"10",280.411438978994,293.91921695145,276.035978641521
"11","1982","ME",23,"11",275.863485880165,290.993046444812,266.817955530156
"12","1982","ME",23,"12",269.887009550975,287.674245583144,260.74878879843
"13","1983","ME",23,"1",265.886067249906,282.949375771189,259.173429383338
"14","1983","ME",23,"2",267.470364195636,282.699569183145,260.017533902616
"15","1983","ME",23,"3",272.634989419016,283.243502882918,266.448038975486
"16","1983","ME",23,"4",277.974978465471,293.177343896178,273.216991683771
"17","1983","ME",23,"5",282.809129848533,293.554068347502,276.712269347127
"18","1983","ME",23,"6",289.441270263643,305.857042808661,281.168496546747
"19","1983","ME",23,"7",292.18211271251,305.276846862237,287.27868510753
"20","1983","ME",23,"8",291.293528158198,303.608783516267,285.280232403179
"21","1983","ME",23,"9",288.393123454643,302.438318777126,283.144788989256
"22","1983","ME",23,"10",280.659640574165,295.967522319087,275.652605917199
"23","1983","ME",23,"11",274.642064401022,285.890646888479,272.384974580044
"24","1983","ME",23,"12",266.131888958909,283.874063060803,259.890616039335
"25","1984","ME",23,"1",262.968281965084,280.303829887041,256.979237132905
"26","1984","ME",23,"2",270.123163215494,282.752213431564,261.346570802758
"27","1984","ME",23,"3",268.234255500742,284.118112290004,260.557341058904
"28","1984","ME",23,"4",277.511086493104,292.4256902172,271.433359923081
"29","1984","ME",23,"5",283.035298616306,299.479554062515,276.631254570256
"30","1984","ME",23,"6",288.508058856205,304.397970845283,281.64020643586
"31","1984","ME",23,"7",291.931304079452,301.912192375241,287.639139750737
"32","1984","ME",23,"8",292.403710092936,302.986804445425,287.440356199292
"33","1984","ME",23,"9",285.633267297935,296.891431585788,280.843104076108
"34","1984","ME",23,"10",281.119015022167,292.344995904238,276.513165331774
"35","1984","ME",23,"11",274.93140173103,287.731642987548,271.142073134825
"36","1984","ME",23,"12",268.715170461432,285.188788052239,258.89228279631
"37","1985","ME",23,"1",261.284808496918,281.10553894816,260.614298108249
"38","1985","ME",23,"2",267.781214406933,284.259102161172,259.82936732733
"39","1985","ME",23,"3",270.743499720598,288.674090659389,262.124845001503
"40","1985","ME",23,"4",276.301312915817,292.179587572663,269.77248293751
"41","1985","ME",23,"5",283.548429228661,296.122035877833,276.295119326054
"42","1985","ME",23,"6",287.42266948205,298.215843678823,283.323907553176
"43","1985","ME",23,"7",292.13852535537,301.575031076258,286.382567296454
"44","1985","ME",23,"8",290.330603530446,302.249241142488,285.330720506911
"45","1985","ME",23,"9",287.495620533027,300.778237361622,282.649697486945
"46","1985","ME",23,"10",280.92980547197,293.543824950078,274.932859104258
"47","1985","ME",23,"11",273.486730038068,289.919698699639,269.709213957688
"48","1985","ME",23,"12",265.596678086253,282.934407896145,258.848698140086
"49","1986","ME",23,"1",265.149254316728,283.780145218547,257.651617523566
"50","1986","ME",23,"2",265.186024771809,277.285153003261,261.617147994748
"51","1986","ME",23,"3",271.233865218158,291.871649701452,260.993200892639
"52","1986","ME",23,"4",279.235990094331,295.718333105565,274.872557541773
"53","1986","ME",23,"5",284.406884878207,299.919576926432,274.704190863426
"54","1986","ME",23,"6",287.367742016451,299.77696044595,281.302183870172
"55","1986","ME",23,"7",290.690869818491,304.394169001556,284.439746440777
"56","1986","ME",23,"8",289.872633029796,299.636324749919,284.02774327494
"57","1986","ME",23,"9",284.840516157825,296.49281982596,281.506204668639
"58","1986","ME",23,"10",279.801614760264,297.606020687501,275.118174813714
"59","1986","ME",23,"11",272.189272879094,287.196998396763,266.533455002476
"60","1986","ME",23,"12",267.808522548812,284.679421359365,264.641805851638
"61","1987","ME",23,"1",264.107942819519,279.124401185025,262.251579626828
"62","1987","ME",23,"2",264.583348670512,277.066740019392,256.983152127493
"63","1987","ME",23,"3",272.085765831249,287.120757695038,260.774545621794
"64","1987","ME",23,"4",279.436376387332,297.01179230806,273.835600802862
"65","1987","ME",23,"5",284.02651708177,301.049697684581,276.347577255561
"66","1987","ME",23,"6",289.360455198941,302.111124879923,284.590445647793
"67","1987","ME",23,"7",291.844516769411,304.647548792016,286.707188173628
"68","1987","ME",23,"8",289.97421144514,304.957216611002,284.647489719712
"69","1987","ME",23,"9",286.437318472567,298.464378853701,281.290038629648
"70","1987","ME",23,"10",280.270229470019,290.993642720652,277.276580712521
"71","1987","ME",23,"11",273.318145013031,290.649341000858,267.159407100107
"72","1987","ME",23,"12",268.358412492676,283.013584516902,260.691016802199
"73","1988","ME",23,"1",264.570252981933,278.341709538323,257.036513446792
"74","1988","ME",23,"2",266.650325800779,282.293014241835,259.062925632271
"75","1988","ME",23,"3",270.867728998041,284.138283491284,261.640728952698
"76","1988","ME",23,"4",277.262764484459,288.857952736637,273.329424780921
"77","1988","ME",23,"5",284.957759575201,300.152513385367,277.000057462672
"78","1988","ME",23,"6",288.83163634156,307.416146061999,280.728417014147
"79","1988","ME",23,"7",292.361319638901,303.014969890984,284.811100110824
"80","1988","ME",23,"8",292.083715214475,305.431536092527,285.103715622872
"81","1988","ME",23,"9",286.078827712057,298.452556601085,282.10988072409
"82","1988","ME",23,"10",278.915755944927,296.448040814467,274.071911760473
"83","1988","ME",23,"11",275.260261899802,287.040551631193,271.945970489263
"84","1988","ME",23,"12",266.383753967671,280.913541113606,260.878336156
"85","1989","ME",23,"1",265.866834497444,280.529537649205,258.935934698733
"86","1989","ME",23,"2",265.118645994431,283.830520525803,259.004541825028
"87","1989","ME",23,"3",269.614283254303,290.785322928515,257.452060567151
"88","1989","ME",23,"4",275.934052644631,287.89402260608,272.431936542778
"89","1989","ME",23,"5",285.657931836558,299.492547357164,278.673224832022
"90","1989","ME",23,"6",289.2148404675,303.697184097248,283.607057314442
"91","1989","ME",23,"7",291.435791490443,304.74393282415,286.843353471961
"92","1989","ME",23,"8",290.697917104711,300.192340045374,285.751520062065
"93","1989","ME",23,"9",287.130073344768,301.066590854734,279.710172540881
"94","1989","ME",23,"10",280.725839681535,292.245674616796,277.491222056138
"95","1989","ME",23,"11",273.054708079204,288.938811129373,264.565639462146
"96","1989","ME",23,"12",259.04871538699,277.332445563855,259.449508044142
"97","1990","ME",23,"1",268.257808736582,284.287046618215,262.799269989336
"98","1990","ME",23,"2",266.010676076863,284.918103241465,260.466152126723
"99","1990","ME",23,"3",271.363383867186,290.637427148706,263.099867939212
"100","1990","ME",23,"4",277.840422562903,299.060141889932,272.912101680526
"101","1990","ME",23,"5",282.308265791495,296.547859686333,277.825186053333
"102","1990","ME",23,"6",289.561285884904,300.732342405798,281.430370736944
"103","1990","ME",23,"7",292.265798369003,304.102622731228,286.659978778825
"104","1990","ME",23,"8",292.589622299022,303.421798235482,285.47152198362
"105","1990","ME",23,"9",286.568684895142,298.359410245188,281.364677145249
"106","1990","ME",23,"10",281.840520763452,296.366704630448,276.867652186509
"107","1990","ME",23,"11",274.587801028641,290.070073402252,270.075332948254
"108","1990","ME",23,"12",269.771760601775,285.47948484322,265.7495094709
"109","1991","ME",23,"1",263.622023335778,278.366612820889,259.408637711881
"110","1991","ME",23,"2",267.256785208271,282.692981221632,262.070558812569
"111","1991","ME",23,"3",272.437852775876,288.17211874526,267.72091938381
"112","1991","ME",23,"4",278.016350677101,294.855790499192,272.698333558618
"113","1991","ME",23,"5",285.626666216959,303.72952449004,279.557210291503
"114","1991","ME",23,"6",290.119779403555,306.759774239662,284.060774636869
"115","1991","ME",23,"7",292.152428411456,305.710535331613,287.176635910299
"116","1991","ME",23,"8",292.092481953173,304.314868396997,287.817726856014
"117","1991","ME",23,"9",285.758051754176,300.030310275322,279.151053294839
"118","1991","ME",23,"10",281.617313849932,293.482024186945,276.02125526172
