"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","MI",26,"01",263.800212512135,280.425234401479,253.822086117162
"2","1982","MI",26,"02",267.445062993766,282.234068773406,262.731474422087
"3","1982","MI",26,"03",272.621862050992,290.319128671254,262.313450063996
"4","1982","MI",26,"04",277.241145470411,294.800193519203,266.866790151428
"5","1982","MI",26,"05",288.192499588224,303.047384359675,280.458441943944
"6","1982","MI",26,"06",287.83696145601,301.601879570013,283.312337211099
"7","1982","MI",26,"07",293.242766078827,305.92276686019,287.014001503542
"8","1982","MI",26,"08",291.242406523097,305.178527231999,284.236288245572
"9","1982","MI",26,"09",288.259300624194,302.060925009973,282.169607073326
"10","1982","MI",26,"10",283.785896510542,298.734310608902,276.303592366094
"11","1982","MI",26,"11",276.361029477207,292.809694356143,271.1798639022
"12","1982","MI",26,"12",273.944372908703,292.006853182425,266.698799054251
"13","1983","MI",26,"01",269.556720798151,280.684999924727,262.569993153031
"14","1983","MI",26,"02",271.657402100031,287.159825521283,266.101533063038
"15","1983","MI",26,"03",274.499420983406,293.14913992656,264.276333314912
"16","1983","MI",26,"04",277.803919660058,296.350290478186,269.582708741585
"17","1983","MI",26,"05",282.732288603966,298.318524643661,275.042191431898
"18","1983","MI",26,"06",290.596677318529,308.351079550583,281.881654064227
"19","1983","MI",26,"07",295.269892148321,308.562609322717,286.744824254049
"20","1983","MI",26,"08",295.094490318222,307.992486222585,289.895610574215
"21","1983","MI",26,"09",290.102939969445,305.51456603473,280.775655541356
"22","1983","MI",26,"10",283.014130092524,299.2613430566,278.305793630535
"23","1983","MI",26,"11",276.799874010534,289.859348327563,272.113007730158
"24","1983","MI",26,"12",265.794664342301,281.678182569127,259.898674316369
"25","1984","MI",26,"01",265.498065773557,278.111306359228,259.772047623
"26","1984","MI",26,"02",272.807117823943,287.810369146535,264.41885915726
"27","1984","MI",26,"03",270.108226189305,286.100043342524,260.122379030496
"28","1984","MI",26,"04",280.007674104536,298.833999558814,272.128118276149
"29","1984","MI",26,"05",283.324405524931,300.075904716848,276.67061764975
"30","1984","MI",26,"06",290.994871799905,304.153919752421,286.41691613245
"31","1984","MI",26,"07",292.305746046505,305.915417559775,285.556832845507
"32","1984","MI",26,"08",293.738234114422,305.401729372379,287.599776671243
"33","1984","MI",26,"09",288.070363380012,304.134238212674,280.805709150588
"34","1984","MI",26,"10",284.46154669341,295.564895806842,279.39454275073
"35","1984","MI",26,"11",276.140534739744,289.912357591512,270.207199996844
"36","1984","MI",26,"12",271.732926713944,288.808223211707,263.922884355636
"37","1985","MI",26,"01",266.054508798754,275.905619669024,257.935252243903
"38","1985","MI",26,"02",267.741618121041,285.921890037124,261.278622396382
"39","1985","MI",26,"03",274.795504189999,289.763503405703,268.540714986597
"40","1985","MI",26,"04",281.336605830145,301.403018537366,268.874854286283
"41","1985","MI",26,"05",286.852227858011,302.680261067526,280.743719469802
"42","1985","MI",26,"06",288.51806891578,303.158732727432,282.457913391859
"43","1985","MI",26,"07",292.289429197192,305.598542761825,287.645969737279
"44","1985","MI",26,"08",291.937539079393,303.231887485351,287.578746446218
"45","1985","MI",26,"09",289.679925742409,304.188830805162,282.637834553229
"46","1985","MI",26,"10",283.103272930849,294.921902416831,278.756678072261
"47","1985","MI",26,"11",275.541415521305,290.4139876045,270.685928833693
"48","1985","MI",26,"12",266.945460793879,285.040078630852,261.765002678765
"49","1986","MI",26,"01",268.034122612683,283.187890667657,259.464035296359
"50","1986","MI",26,"02",268.316163366578,281.61118624455,263.407777138578
"51","1986","MI",26,"03",274.598145414577,296.272952751884,264.913173321444
"52","1986","MI",26,"04",281.497027034016,302.532231617485,273.151255853733
"53","1986","MI",26,"05",286.528086422675,303.409719129339,274.983481471037
"54","1986","MI",26,"06",289.83830293403,302.684752020222,284.116878575241
"55","1986","MI",26,"07",293.684597813307,307.21678684443,287.559481951321
"56","1986","MI",26,"08",291.138463401801,302.565904953154,283.972281310308
"57","1986","MI",26,"09",289.052288048129,301.270471922109,282.904638491144
"58","1986","MI",26,"10",282.471631555559,294.759633431213,278.467681320591
"59","1986","MI",26,"11",274.397888958517,290.841641786859,266.745398938748
"60","1986","MI",26,"12",271.634048444873,278.772722126067,265.137001964422
"61","1987","MI",26,"01",269.140028209327,280.460862298546,258.409253925457
"62","1987","MI",26,"02",271.37007452301,281.279852188234,263.877335676507
"63","1987","MI",26,"03",275.367287804373,293.195951354365,265.02636626801
"64","1987","MI",26,"04",281.626092727377,300.790962072665,270.233675118861
"65","1987","MI",26,"05",287.758709328524,304.674033539692,278.081309584229
"66","1987","MI",26,"06",292.397740673335,307.947955810161,283.93443882073
"67","1987","MI",26,"07",294.665924950651,306.550376048157,286.747933939285
"68","1987","MI",26,"08",293.088149230665,305.383009862109,287.367269577258
"69","1987","MI",26,"09",289.441395427697,300.754290883574,284.097421883354
"70","1987","MI",26,"10",280.184068207104,292.515497067908,276.449441669702
"71","1987","MI",26,"11",277.514748767395,294.237005666879,268.652739411404
"72","1987","MI",26,"12",272.36499849503,284.256330369413,268.74441738413
"73","1988","MI",26,"01",267.12704973374,285.790466314415,261.234650282916
"74","1988","MI",26,"02",267.096835639611,285.081819224012,260.701174383399
"75","1988","MI",26,"03",273.55168607182,292.508679601243,266.786382684979
"76","1988","MI",26,"04",279.51034025134,297.439350508345,273.180131152325
"77","1988","MI",26,"05",287.341946036685,306.110324457211,279.563926711097
"78","1988","MI",26,"06",292.37386745462,310.636907276247,282.820518396208
"79","1988","MI",26,"07",295.058772097833,310.469698412219,286.437405371665
"80","1988","MI",26,"08",294.584004446229,308.55077763933,286.986805924899
"81","1988","MI",26,"09",289.544644816607,301.143823079245,285.08978155087
"82","1988","MI",26,"10",279.942352348124,296.959620315123,272.535182676789
"83","1988","MI",26,"11",276.99144487912,290.623598717502,272.776043064258
"84","1988","MI",26,"12",269.877438236826,285.422208697211,264.079191553102
