"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","MN",27,"01",255.215823882816,274.98310420689,242.312742575699
"2","1982","MN",27,"02",263.060477750411,284.001882063464,248.958157838438
"3","1982","MN",27,"03",270.230083028799,287.830516371215,257.078378663601
"4","1982","MN",27,"04",277.738258970443,298.607340593594,262.211874051749
"5","1982","MN",27,"05",287.690769088563,299.753977501068,277.747143770904
"6","1982","MN",27,"06",288.521940968923,302.9946429687,282.304390628038
"7","1982","MN",27,"07",294.807250159484,308.886051678995,288.510294299326
"8","1982","MN",27,"08",293.299321821295,308.688759809055,284.302703330502
"9","1982","MN",27,"09",288.364513652996,303.506429799634,278.401527695953
"10","1982","MN",27,"10",282.047913597589,295.58154745956,271.349808384228
"11","1982","MN",27,"11",270.803012555911,286.588163606047,261.758688766342
"12","1982","MN",27,"12",268.225923674443,287.748474207478,257.246369760778
"13","1983","MN",27,"01",265.265070316595,277.171591138046,255.623758350006
"14","1983","MN",27,"02",268.88785365434,285.812078687401,257.98684809013
"15","1983","MN",27,"03",272.651038525383,290.979448835244,264.880704092437
"16","1983","MN",27,"04",277.155954243326,296.257620292299,268.79904130006
"17","1983","MN",27,"05",283.939098679136,297.23670095189,275.890325089692
"18","1983","MN",27,"06",291.676126056985,306.685030773871,283.747145197523
"19","1983","MN",27,"07",297.212203511196,310.295138884956,288.505557785906
"20","1983","MN",27,"08",297.057282052122,309.444990657904,291.388406394702
"21","1983","MN",27,"09",289.155526579845,310.301182592732,275.719086702726
"22","1983","MN",27,"10",281.388660960776,300.045010498125,275.624401947581
"23","1983","MN",27,"11",273.467549738126,290.050732407113,265.698619211355
"24","1983","MN",27,"12",257.470127321872,272.463542781123,242.948088576039
"25","1984","MN",27,"01",261.833701407711,279.988925251089,245.323829294748
"26","1984","MN",27,"02",270.16417450275,284.789252795375,252.899253943357
"27","1984","MN",27,"03",268.807764671426,285.34427221624,256.949714823284
"28","1984","MN",27,"04",280.616616414429,299.585834377149,274.415113194747
"29","1984","MN",27,"05",284.807873920366,300.310115039837,274.704431829027
"30","1984","MN",27,"06",292.068392950458,303.476874785125,285.365921909962
"31","1984","MN",27,"07",294.579781079322,308.353960334424,284.218488142713
"32","1984","MN",27,"08",295.411845381627,309.107763306733,285.791043168496
"33","1984","MN",27,"09",286.212071135372,304.411747923106,275.023272772928
"34","1984","MN",27,"10",282.759397495899,295.434997644512,271.553417315537
"35","1984","MN",27,"11",272.824771367924,287.16284648886,266.343713744514
"36","1984","MN",27,"12",263.948693324059,284.436953233905,254.751286833547
"37","1985","MN",27,"01",260.692343972569,276.919900501798,244.508388432263
"38","1985","MN",27,"02",262.923385539854,284.895746270633,246.028821103615
"39","1985","MN",27,"03",274.098039311384,295.653449996025,263.835084612322
"40","1985","MN",27,"04",281.368803495573,301.822175528688,269.309828522561
"41","1985","MN",27,"05",288.518741199309,303.481009093401,280.158481406447
"42","1985","MN",27,"06",289.040048042008,309.143582787487,280.540072440999
"43","1985","MN",27,"07",294.001273766362,309.09613105262,287.956383169531
"44","1985","MN",27,"08",291.627140377102,303.601615586187,283.968460285114
"45","1985","MN",27,"09",287.213852177037,305.250563372803,277.69494550462
"46","1985","MN",27,"10",280.679303982689,292.630379053896,273.96405285073
"47","1985","MN",27,"11",267.795820822386,287.228789901576,253.50444650073
"48","1985","MN",27,"12",259.431011470935,275.284792804519,251.380981365448
"49","1986","MN",27,"01",264.530210656532,282.395576887201,248.328065112053
"50","1986","MN",27,"02",264.014713243608,279.198590783062,251.865746141788
"51","1986","MN",27,"03",273.388965201268,297.869465019502,256.063028393753
"52","1986","MN",27,"04",281.081558281415,298.737048609101,272.382711486691
"53","1986","MN",27,"05",287.253697971342,305.877776555459,276.015470170081
"54","1986","MN",27,"06",292.512511287928,306.386838159402,284.316937804806
"55","1986","MN",27,"07",294.939283887036,308.662759493761,289.476881300024
"56","1986","MN",27,"08",291.390878172211,304.338707036924,280.765391283913
"57","1986","MN",27,"09",287.478561404313,301.092201321506,282.088555297274
"58","1986","MN",27,"10",281.516690503378,294.914134618402,275.433119541445
"59","1986","MN",27,"11",269.804738602121,286.198683033389,257.58823242113
"60","1986","MN",27,"12",267.846237392876,278.647932705645,256.389857828191
"61","1987","MN",27,"01",265.917220693426,281.226882692881,251.18706696291
"62","1987","MN",27,"02",271.573554233897,285.625388095459,266.603227398901
"63","1987","MN",27,"03",274.403749963914,292.366775023263,265.939071418707
"64","1987","MN",27,"04",283.527359517707,302.718236788199,268.667000429384
"65","1987","MN",27,"05",289.408445450492,305.651931915439,280.381408055517
"66","1987","MN",27,"06",294.245447478089,308.828064348333,286.448452561712
"67","1987","MN",27,"07",295.886394730059,308.832138924899,287.20224922635
"68","1987","MN",27,"08",292.959596965915,309.257932176005,283.881469325377
"69","1987","MN",27,"09",289.046751020918,303.763365677278,283.842760848004
"70","1987","MN",27,"10",278.952705663754,300.02494167833,272.674346481662
"71","1987","MN",27,"11",275.223830058407,292.464564860838,268.296213961913
"72","1987","MN",27,"12",268.807542026146,279.006238464623,263.612488199742
"73","1988","MN",27,"01",260.549393317573,279.719192084837,247.648930080665
"74","1988","MN",27,"02",261.755475038712,282.287042496691,251.263826474407
"75","1988","MN",27,"03",271.880579421279,291.746286804545,264.871443075519
"76","1988","MN",27,"04",279.336000365293,298.044487349589,270.506779909596
"77","1988","MN",27,"05",290.376523495417,304.896069611296,279.918250256299
"78","1988","MN",27,"06",296.239992638841,312.452317799977,287.779057447316
"79","1988","MN",27,"07",297.126861285307,311.697887330137,289.447164924164
"80","1988","MN",27,"08",295.519118734058,313.612826939597,284.544362161065
"81","1988","MN",27,"09",289.150402366876,304.151592050029,281.019041944481
"82","1988","MN",27,"10",279.066124573821,296.221114499001,268.812794870458
"83","1988","MN",27,"11",272.365564576956,288.330448582264,264.953056925818
"84","1988","MN",27,"12",265.235690480866,280.937428094182,255.428123421383
"85","1989","MN",27,"01",265.733268189426,282.340765783395,252.386894442966
"86","1989","MN",27,"02",259.828767438218,282.082018907083,248.164615870406
"87","1989","MN",27,"03",268.869036890715,297.003088774457,256.875760706272
"88","1989","MN",27,"04",278.678994986929,298.594774104503,266.276897212306
"89","1989","MN",27,"05",286.414101250668,304.814500154053,270.871614470467
"90","1989","MN",27,"06",291.07884552813,308.899564474023,282.083979110691
"91","1989","MN",27,"07",296.554689940729,311.86339232997,290.685352544485
"92","1989","MN",27,"08",294.343152699126,308.874081827113,286.941363652382
"93","1989","MN",27,"09",288.621192026829,304.569474703,276.683618169464
"94","1989","MN",27,"10",282.267410206885,300.619664432012,271.883079532418
"95","1989","MN",27,"11",270.222049666148,285.706435379071,261.282298418024
"96","1989","MN",27,"12",259.914775619291,279.028021685148,243.907053632895
"97","1990","MN",27,"01",268.568851548137,284.010337247137,262.588254209953
"98","1990","MN",27,"02",266.308174999478,286.182207202863,256.755459553421
"99","1990","MN",27,"03",273.075983997377,293.559796621672,263.50000163408
"100","1990","MN",27,"04",279.602133721411,303.127172430306,267.74818723034
"101","1990","MN",27,"05",284.864660497032,301.871031328507,273.819867674854
"102","1990","MN",27,"06",292.316277600297,307.07276936179,279.98113028986
"103","1990","MN",27,"07",294.212049313014,312.19288808418,286.582340897731
"104","1990","MN",27,"08",294.217534481757,306.833883573809,287.904175591225
"105","1990","MN",27,"09",290.033644899517,306.304353410451,279.592940884391
"106","1990","MN",27,"10",280.456171130944,299.340832690809,272.906129535827
"107","1990","MN",27,"11",274.502648126985,294.730336982779,266.167559599867
"108","1990","MN",27,"12",264.03638462707,281.657312235526,246.925309378008
"109","1991","MN",27,"01",260.919132011379,277.874844300418,253.284427311198
"110","1991","MN",27,"02",268.017920333223,285.275263695522,253.393930423044
"111","1991","MN",27,"03",272.758748356752,295.745752153648,260.788376921138
"112","1991","MN",27,"04",281.248858764991,300.772940470204,272.150817999389
"113","1991","MN",27,"05",288.468964539596,303.759388975088,276.423430327044
"114","1991","MN",27,"06",294.397050677067,308.505851132185,287.750034023237
"115","1991","MN",27,"07",294.045226628912,308.314718427872,287.001430931346
"116","1991","MN",27,"08",295.085064264351,308.581507827642,286.187125972347
"117","1991","MN",27,"09",287.860558690087,304.414416680493,276.431394189724
"118","1991","MN",27,"10",280.091399225683,298.194639927653,269.457041447983
"119","1991","MN",27,"11",268.734403076638,282.414246027843,258.703835864729
"120","1991","MN",27,"12",266.684705091808,279.467616836357,255.769152467262
"121","1992","MN",27,"01",266.290985357748,281.711864681982,254.053476990202
"122","1992","MN",27,"02",269.486942801085,284.441697059939,261.059068325745
"123","1992","MN",27,"03",272.919343759778,289.498246783694,260.922087489575
"124","1992","MN",27,"04",277.840996692903,297.22787968185,267.550003091108
"125","1992","MN",27,"05",287.893012942759,302.881274477488,276.829476307071
"126","1992","MN",27,"06",290.339722234585,303.243295258794,282.024963736085
"127","1992","MN",27,"07",290.469470069788,304.540699464232,285.341856840483
"128","1992","MN",27,"08",291.4371245497,308.119813026441,285.361425531365
