"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","MO",29,"01",269.836701914015,292.157263815944,257.760109976563
"2","1982","MO",29,"02",273.435651637659,295.933156732721,262.467767467216
"3","1982","MO",29,"03",281.729208333408,299.77937150413,271.146656359735
"4","1982","MO",29,"04",284.838899761343,301.861679755182,272.435890361325
"5","1982","MO",29,"05",293.491668598545,305.143366304683,285.683746420084
"6","1982","MO",29,"06",293.976662744273,308.15353235991,286.898751797339
"7","1982","MO",29,"07",299.088695744746,309.120457861102,293.862568790774
"8","1982","MO",29,"08",298.029802795414,310.58158972957,293.811780784651
"9","1982","MO",29,"09",293.644542768739,307.989448032435,282.970494862193
"10","1982","MO",29,"10",288.207509698109,303.447828254108,277.538131591858
"11","1982","MO",29,"11",281.227990757169,298.066252989896,271.105635277867
"12","1982","MO",29,"12",278.37140693269,296.294532930136,268.792827614409
"13","1983","MO",29,"01",274.084930854691,286.823392455127,268.488797634264
"14","1983","MO",29,"02",277.106786951276,292.591104241978,268.899769762981
"15","1983","MO",29,"03",280.715298841154,297.625512818765,271.905507096541
"16","1983","MO",29,"04",283.191466028823,300.33107933282,276.810983240789
"17","1983","MO",29,"05",289.933068223168,303.544317299997,282.208014284091
"18","1983","MO",29,"06",295.727491693444,307.502945892789,287.145723536474
"19","1983","MO",29,"07",300.656583617273,312.928180905709,293.106833972133
"20","1983","MO",29,"08",301.579186221042,311.665045980681,296.823714253915
"21","1983","MO",29,"09",295.649681606587,308.427633182403,283.005783710425
"22","1983","MO",29,"10",289.119321620861,303.975435121299,281.649978599509
"23","1983","MO",29,"11",282.274895332722,296.326115647085,273.599759842871
"24","1983","MO",29,"12",267.687713061489,290.786050186435,255.033489557289
"25","1984","MO",29,"01",272.0502285826,289.001102301227,260.100729336774
"26","1984","MO",29,"02",278.459833923245,293.110607800395,263.846126350623
"27","1984","MO",29,"03",277.898050694262,295.604258886336,268.967262992785
"28","1984","MO",29,"04",285.199151936721,302.345186249674,275.511374958653
"29","1984","MO",29,"05",290.479533454074,305.165550895415,281.102900400768
"30","1984","MO",29,"06",297.412601347964,307.633615979685,291.490817079219
"31","1984","MO",29,"07",298.665203623342,311.068044665532,292.004505266615
"32","1984","MO",29,"08",299.087127884737,312.284363821894,291.197562136989
"33","1984","MO",29,"09",294.060021970702,310.058381676512,282.28969724751
"34","1984","MO",29,"10",288.518648115937,300.349478119331,279.937753247747
"35","1984","MO",29,"11",280.809589348885,297.507463779868,271.258194219332
"36","1984","MO",29,"12",278.604312222301,294.0513854003,268.809810674809
"37","1985","MO",29,"01",268.963576543185,282.001190443768,255.293772336326
"38","1985","MO",29,"02",272.59581656458,296.116104410974,260.18327818321
"39","1985","MO",29,"03",283.331649174818,302.093045848552,273.550827326267
"40","1985","MO",29,"04",288.586227771443,303.44937460349,274.839932790144
"41","1985","MO",29,"05",293.042566487739,308.943890069923,284.176061625156
"42","1985","MO",29,"06",295.953048040169,308.967615937356,285.409806731688
"43","1985","MO",29,"07",299.483599890171,312.481021473107,291.353136523735
"44","1985","MO",29,"08",297.247582066211,310.221132600084,290.277563866758
"45","1985","MO",29,"09",294.745898278239,311.715862248383,283.047105766453
"46","1985","MO",29,"10",288.941568932134,301.076787860158,280.366082746488
"47","1985","MO",29,"11",280.965028221631,296.657845050702,273.07828713322
"48","1985","MO",29,"12",270.879380419533,290.736263970469,263.868696257852
"49","1986","MO",29,"01",275.638643303553,292.838272513608,263.102736333102
"50","1986","MO",29,"02",276.450836911915,297.23957556404,263.904954035814
"51","1986","MO",29,"03",282.911412336781,302.151921002866,269.847307389232
"52","1986","MO",29,"04",289.0242008142,305.041885517078,280.444504202828
"53","1986","MO",29,"05",292.689501813184,304.742787064956,285.677736722739
"54","1986","MO",29,"06",297.600680388369,308.549854780046,291.257606521599
"55","1986","MO",29,"07",301.293364443255,314.191128896892,294.803210689138
"56","1986","MO",29,"08",296.475411454634,312.705540558537,286.644359534895
"57","1986","MO",29,"09",295.987546906663,305.144886308538,288.458758092139
"58","1986","MO",29,"10",288.093204994273,303.849453277492,279.568997475425
"59","1986","MO",29,"11",279.008384218611,296.128355486951,267.850676662484
"60","1986","MO",29,"12",275.744856844439,290.853526493566,270.861469028216
"61","1987","MO",29,"01",273.557805822931,292.973886931539,265.134342546998
"62","1987","MO",29,"02",278.104314283546,291.466293602263,270.840787027137
"63","1987","MO",29,"03",282.762135064183,298.547907673296,272.484878671362
"64","1987","MO",29,"04",287.581393937065,306.605382831792,273.261085507111
"65","1987","MO",29,"05",295.202704525183,306.497406552804,288.787259510373
"66","1987","MO",29,"06",297.289244165753,309.858932219433,289.691815507939
"67","1987","MO",29,"07",299.280644000019,310.203233939227,292.440117401444
"68","1987","MO",29,"08",299.169538287118,312.330162906476,290.956971531561
"69","1987","MO",29,"09",294.259659776455,305.845474302306,287.424313649176
"70","1987","MO",29,"10",285.836999742069,300.357019668427,278.580445213516
"71","1987","MO",29,"11",282.926220591469,298.289172061379,273.809116055185
"72","1987","MO",29,"12",276.693323928123,291.238117314588,269.39023776978
"73","1988","MO",29,"01",272.482480279771,291.206839159884,262.48274501798
"74","1988","MO",29,"02",273.568840099994,292.128478493751,261.535228121823
"75","1988","MO",29,"03",281.007060433745,298.974089010314,269.869793760919
"76","1988","MO",29,"04",287.174350152653,303.442944959626,280.3541876518
"77","1988","MO",29,"05",293.835948118698,306.082456313207,285.213197617176
"78","1988","MO",29,"06",298.9001485033,312.506063506271,288.475761047431
"79","1988","MO",29,"07",299.036838803762,311.411243563233,292.855040819586
"80","1988","MO",29,"08",299.374506857732,311.658075695845,291.12323472787
"81","1988","MO",29,"09",295.603242300095,308.198444675843,288.471779884002
"82","1988","MO",29,"10",285.717353836447,302.545192606335,278.417351643478
"83","1988","MO",29,"11",282.121904536097,296.682929456791,272.670542233383
"84","1988","MO",29,"12",276.39154694028,290.173727249998,268.938201518479
"85","1989","MO",29,"01",277.776727431183,292.006529776567,271.302859264322
"86","1989","MO",29,"02",271.579724206788,295.78776253723,264.740097583296
"87","1989","MO",29,"03",281.069231789303,300.492251197464,269.276008733205
"88","1989","MO",29,"04",287.894199712195,307.895940226506,272.218274349459
"89","1989","MO",29,"05",291.895067740483,306.945241476418,281.333221128662
"90","1989","MO",29,"06",295.370229711512,307.735203530615,288.152769482392
"91","1989","MO",29,"07",298.286999673846,310.165856005069,292.655357170958
"92","1989","MO",29,"08",297.771075914518,309.293565399318,289.119149861349
"93","1989","MO",29,"09",292.724923765335,306.733539486707,282.575990216407
"94","1989","MO",29,"10",289.219989690528,303.289461746694,276.013228535381
"95","1989","MO",29,"11",281.866430039954,298.265459898286,270.799086936955
"96","1989","MO",29,"12",269.8232167098,290.91665657028,253.535573757506
"97","1990","MO",29,"01",278.653904949966,291.670608181724,269.99968578206
"98","1990","MO",29,"02",278.740594970936,293.573731625971,271.178189002765
"99","1990","MO",29,"03",282.274563132651,298.888940408545,272.320859355274
"100","1990","MO",29,"04",286.195024612832,302.57375368815,274.518608604698
"101","1990","MO",29,"05",290.791190440745,304.249935633816,282.23262884158
"102","1990","MO",29,"06",298.362264476332,309.163020006623,290.253219173037
"103","1990","MO",29,"07",298.736910120013,312.107287343487,289.407165340605
"104","1990","MO",29,"08",298.037093561957,312.057519470991,290.96589510718
"105","1990","MO",29,"09",296.183072531505,311.181604915061,282.47947748916
"106","1990","MO",29,"10",287.479550864366,302.440375789861,279.133085742528
"107","1990","MO",29,"11",284.919865198775,298.576398169271,274.498701455699
