"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","MS",28,"01",281.279897987388,297.640415092402,264.522728330356
"2","1982","MS",28,"02",282.599968515448,298.251824550731,273.71535743866
"3","1982","MS",28,"03",288.932622118911,302.537550913591,275.451916571104
"4","1982","MS",28,"04",291.156685341347,304.158860339833,281.278863581319
"5","1982","MS",28,"05",296.382816187114,309.130224785356,287.635177886126
"6","1982","MS",28,"06",298.785668352273,310.45071294456,293.491425669104
"7","1982","MS",28,"07",299.115491321789,310.073709668338,295.460437598805
"8","1982","MS",28,"08",299.218684175308,309.468160364561,295.628428695982
"9","1982","MS",28,"09",296.365335731796,306.764675730925,287.42616570708
"10","1982","MS",28,"10",292.375140696036,304.369825903729,281.312071123784
"11","1982","MS",28,"11",287.336604491504,300.230603404686,278.530451096112
"12","1982","MS",28,"12",285.595977287124,299.10154696087,272.711317625301
"13","1983","MS",28,"01",280.248612173388,293.090717418066,273.781071076128
"14","1983","MS",28,"02",282.82663094423,294.744678779227,274.260538559632
"15","1983","MS",28,"03",285.596550792846,300.159840945855,274.876996752708
"16","1983","MS",28,"04",289.434667970756,302.396012822699,281.70034283097
"17","1983","MS",28,"05",295.330364574576,304.710752900621,286.370114371983
"18","1983","MS",28,"06",296.783714370813,307.782971019709,291.412581225803
"19","1983","MS",28,"07",300.291586981354,308.524332506807,296.072279920525
"20","1983","MS",28,"08",299.613226569246,308.7620516793,296.00176999648
"21","1983","MS",28,"09",296.578435868136,309.759263462217,286.327808417556
"22","1983","MS",28,"10",292.911615712382,303.040674985393,283.545688271681
"23","1983","MS",28,"11",287.14186075254,299.501076798352,278.110380412469
"24","1983","MS",28,"12",279.368340080399,297.967989592696,262.989023558782
"25","1984","MS",28,"01",278.592323190644,292.356804828086,269.171951006154
"26","1984","MS",28,"02",283.7553133366,296.348221088772,270.966907431077
"27","1984","MS",28,"03",286.756777653406,301.164293864856,273.275552043397
"28","1984","MS",28,"04",291.505703480191,304.691225787513,282.317251403156
"29","1984","MS",28,"05",295.705569756477,307.629679671736,287.29668095914
"30","1984","MS",28,"06",298.589223827443,307.997724465004,286.531069062982
"31","1984","MS",28,"07",298.491774521575,309.082177305062,293.167684265661
"32","1984","MS",28,"08",298.029636384692,308.64131081473,295.031526079699
"33","1984","MS",28,"09",297.34579633213,308.029214928599,289.878898973942
"34","1984","MS",28,"10",294.463818991753,302.788020893981,284.507806776994
"35","1984","MS",28,"11",286.175049392294,303.024199370944,277.414579852185
"36","1984","MS",28,"12",287.572711668234,297.535017935514,271.830927025969
"37","1985","MS",28,"01",277.037228211515,293.029764489023,262.500504569198
"38","1985","MS",28,"02",281.011049525626,297.806572465598,269.388914747338
"39","1985","MS",28,"03",289.601379543963,302.314487277929,280.575661242149
"40","1985","MS",28,"04",292.426552283673,305.131934035636,283.229004083442
"41","1985","MS",28,"05",296.360241093676,307.716076430249,290.445622094411
"42","1985","MS",28,"06",299.494504668356,311.626890245508,293.011970088448
"43","1985","MS",28,"07",298.559155589037,308.285497248648,294.882359304442
"44","1985","MS",28,"08",299.314597180864,309.372932839342,295.675198707838
"45","1985","MS",28,"09",296.795127053724,308.684882683776,287.456162797812
"46","1985","MS",28,"10",293.595104887284,304.398409300823,285.184410991072
"47","1985","MS",28,"11",290.39583821462,299.544492255089,281.722411501426
"48","1985","MS",28,"12",279.961167363642,297.763075041971,268.590143877083
"49","1986","MS",28,"01",280.980285388542,295.286522095216,271.210087091616
"50","1986","MS",28,"02",285.852737099662,300.135482431606,270.66140979865
"51","1986","MS",28,"03",287.773416837361,300.743583258106,273.89405002291
"52","1986","MS",28,"04",292.644743870355,304.039608584802,284.441727225228
"53","1986","MS",28,"05",296.322864453926,306.281856583492,289.025262445165
"54","1986","MS",28,"06",299.080665191763,308.906395981252,294.783402844627
