"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","MT",30,"01",262.04253424556,282.400106485732,256.269677335332
"2","1982","MT",30,"02",266.649040914139,289.807341840319,253.544705468335
"3","1982","MT",30,"03",271.115015290527,289.744833525091,266.087389595922
"4","1982","MT",30,"04",275.294094986035,295.054133549819,269.177644430035
"5","1982","MT",30,"05",281.458792457276,299.978616758921,276.155135117426
"6","1982","MT",30,"06",286.994769397408,304.789803646671,279.923214494799
"7","1982","MT",30,"07",291.764469398104,309.917438880266,286.427986048274
"8","1982","MT",30,"08",292.908539318129,310.810135757125,284.410139497301
"9","1982","MT",30,"09",285.96616497549,306.31735060007,275.041705752417
"10","1982","MT",30,"10",279.262738345085,295.267052498566,270.232472249517
"11","1982","MT",30,"11",271.114108680201,285.197353592211,263.159265704432
"12","1982","MT",30,"12",268.704580264727,282.907986546964,260.375692291909
"13","1983","MT",30,"01",271.082331986425,284.875303982237,267.554037498358
"14","1983","MT",30,"02",272.681132054693,288.662694188063,264.630897504393
"15","1983","MT",30,"03",273.759858660404,290.800152171244,267.741392439391
"16","1983","MT",30,"04",276.900604957544,298.763744449771,269.568606756776
"17","1983","MT",30,"05",281.91338075625,302.53501810153,272.834223524672
"18","1983","MT",30,"06",287.995992146324,310.730285844775,282.723744014246
"19","1983","MT",30,"07",292.584961073761,314.842021701206,286.031666736569
"20","1983","MT",30,"08",295.189275273488,312.503106792183,288.912500776107
"21","1983","MT",30,"09",285.692093071589,312.110265786791,275.985009844838
"22","1983","MT",30,"10",280.579410184139,298.820152389007,276.704211070093
"23","1983","MT",30,"11",274.053271321234,293.797831227771,264.159488297923
"24","1983","MT",30,"12",259.70001020802,278.650284973725,243.929183804889
"25","1984","MT",30,"01",268.661824697414,286.87352785458,253.357833819462
"26","1984","MT",30,"02",272.17304234242,285.283259443024,268.201651096628
"27","1984","MT",30,"03",273.066462008226,290.225294073489,269.573454416992
"28","1984","MT",30,"04",277.785584877041,297.204368067765,270.703174798468
"29","1984","MT",30,"05",282.932068405394,309.436445020508,274.708368136977
"30","1984","MT",30,"06",287.675201371948,312.652408615163,283.124194532782
"31","1984","MT",30,"07",293.858642192378,310.448076163502,288.867267830948
"32","1984","MT",30,"08",294.53035680718,312.254841512274,287.739515603446
"33","1984","MT",30,"09",283.369170898031,307.30887057386,271.128296057002
"34","1984","MT",30,"10",277.998458434016,300.676191679131,267.607268596269
"35","1984","MT",30,"11",272.803657525648,287.678502830231,262.741991970818
"36","1984","MT",30,"12",264.177816041656,283.466653324379,259.488633450644
"37","1985","MT",30,"01",265.64801495336,280.14661847273,254.50093293293
"38","1985","MT",30,"02",265.576552259457,283.114329057515,249.439414547155
"39","1985","MT",30,"03",272.295572291073,291.018997224049,264.222607113733
"40","1985","MT",30,"04",279.375799439114,299.64928150292,270.407149891352
"41","1985","MT",30,"05",285.871726907887,304.19476227202,278.377064193328
"42","1985","MT",30,"06",288.112374318131,307.17829010176,281.133219126832
"43","1985","MT",30,"07",295.448663108229,312.174562352094,288.960778224209
"44","1985","MT",30,"08",289.762758277818,307.990901061351,282.529090994159
"45","1985","MT",30,"09",282.801178952545,302.512202839874,271.650780775982
"46","1985","MT",30,"10",278.595509944158,296.242642370619,267.366284548648
"47","1985","MT",30,"11",264.268355762113,291.863242673552,253.587487036747
"48","1985","MT",30,"12",267.116370367201,281.696708478374,255.042673572657
"49","1986","MT",30,"01",271.493022423137,285.055770405081,264.360534459576
"50","1986","MT",30,"02",267.474990178813,288.181448268979,258.905454081138
"51","1986","MT",30,"03",276.977655308181,295.060712667787,271.89543851171
"52","1986","MT",30,"04",277.566489616274,298.766760375869,270.895142363885
"53","1986","MT",30,"05",283.526862341949,305.004250612507,275.290503060963
"54","1986","MT",30,"06",291.728351219169,310.599966686976,286.674071301662
"55","1986","MT",30,"07",291.036798146335,308.864799507778,286.248202644667
"56","1986","MT",30,"08",292.962326347672,309.152013253193,287.64465568272
"57","1986","MT",30,"09",282.920347883274,298.305237598753,279.069839793738
