"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","ND",38,"01",253.469680531709,278.628120338657,240.703153458562
"2","1982","ND",38,"02",262.294258434937,288.984966818093,245.514340346313
"3","1982","ND",38,"03",268.836977177508,287.637131270977,257.672207658273
"4","1982","ND",38,"04",276.892103226514,298.558505972322,262.321263603399
"5","1982","ND",38,"05",285.744481872514,299.853600128464,274.729164176274
"6","1982","ND",38,"06",288.497492589328,303.105985905201,280.190828219371
"7","1982","ND",38,"07",294.672367727184,309.390024970525,288.219239956543
"8","1982","ND",38,"08",293.818215714606,310.880457611757,281.901993348754
"9","1982","ND",38,"09",288.483287433908,308.972000612434,279.255156875794
"10","1982","ND",38,"10",280.228378509326,294.987718464889,270.644636453056
"11","1982","ND",38,"11",270.02117848177,284.697287070382,259.693960978948
"12","1982","ND",38,"12",267.516699343525,283.603391553882,254.835892854776
"13","1983","ND",38,"01",267.053398888368,282.653234090202,260.54736561758
"14","1983","ND",38,"02",269.194547331676,286.186788569467,260.430520600591
"15","1983","ND",38,"03",271.329876863096,289.045462347162,260.823361605983
"16","1983","ND",38,"04",277.125447519928,293.932807368085,269.058920734396
"17","1983","ND",38,"05",283.224137901786,302.061594325802,273.19281685267
"18","1983","ND",38,"06",290.967653622982,307.809160420069,282.721729444988
"19","1983","ND",38,"07",296.996469276063,311.888663168365,286.567542159308
"20","1983","ND",38,"08",297.428306335474,311.56431751776,290.117213192641
"21","1983","ND",38,"09",287.989021320584,311.239971867155,276.144160816253
"22","1983","ND",38,"10",280.889855448228,295.693540899942,274.218232605205
"23","1983","ND",38,"11",273.359309204851,292.131782451059,263.802909539183
"24","1983","ND",38,"12",256.453234848299,274.234349159272,242.593524386557
"25","1984","ND",38,"01",264.095221059685,279.392574596756,245.839485636119
"26","1984","ND",38,"02",270.58806530475,286.348030743335,258.667913243195
"27","1984","ND",38,"03",269.4971356861,288.875140446847,259.096970809679
"28","1984","ND",38,"04",279.340426495429,292.984645946014,271.025952050318
"29","1984","ND",38,"05",284.366587868501,306.458628056791,271.815181794172
"30","1984","ND",38,"06",291.071067462546,304.933308726401,282.252302321991
"31","1984","ND",38,"07",295.652623653495,309.019196377872,286.493674137463
"32","1984","ND",38,"08",296.614942844506,309.629324110028,287.290776497215
"33","1984","ND",38,"09",285.327873592785,304.813251333944,272.100564120503
"34","1984","ND",38,"10",280.703914236556,297.588158092831,266.951873322695
"35","1984","ND",38,"11",271.75718065116,285.609973002824,264.298801764803
"36","1984","ND",38,"12",261.561287478641,281.222957793224,250.667367336051
"37","1985","ND",38,"01",261.407572129637,276.769636674721,246.839454907586
"38","1985","ND",38,"02",262.559026276237,282.730760867342,245.089672184379
"39","1985","ND",38,"03",273.391902454368,292.519658339207,261.802568635534
"40","1985","ND",38,"04",280.593566078443,301.03329043653,269.377051813622
"41","1985","ND",38,"05",288.384180520524,305.211020260414,279.986468867555
"42","1985","ND",38,"06",288.490999814754,307.741779453301,278.972188034781
"43","1985","ND",38,"07",295.32375110861,311.771222605727,286.934193714279
"44","1985","ND",38,"08",291.285911508912,310.120297663492,283.523600270739
"45","1985","ND",38,"09",285.490501399281,304.139401914676,274.541382291608
"46","1985","ND",38,"10",279.977360506358,294.999011485989,269.873317874102
"47","1985","ND",38,"11",264.83390978806,291.01702006843,248.775090259022
"48","1985","ND",38,"12",261.232002376935,276.828951343304,251.185242959123
"49","1986","ND",38,"01",266.611110675413,280.822834032996,257.960619897944
"50","1986","ND",38,"02",263.392106762746,282.70656004603,253.464239193858
"51","1986","ND",38,"03",275.148256142707,295.042885607726,264.081243851965
"52","1986","ND",38,"04",278.585770871444,298.380507407896,268.916338697197
"53","1986","ND",38,"05",286.270117339248,305.087443559455,275.488581506077
"54","1986","ND",38,"06",293.316756872893,308.290372016947,286.109547733087
"55","1986","ND",38,"07",294.320450172546,308.197275147744,287.759541180886
"56","1986","ND",38,"08",292.513844370172,309.605612892504,282.890772999986
"57","1986","ND",38,"09",285.672686614634,298.535008595085,277.99625462122
"58","1986","ND",38,"10",281.318169163347,294.795287551334,271.671609868732
"59","1986","ND",38,"11",267.923284011806,287.092016820852,253.775222352686
"60","1986","ND",38,"12",268.33474014496,278.990608415692,259.22237959332
"61","1987","ND",38,"01",267.651603101469,282.974876039528,258.639467501414
"62","1987","ND",38,"02",271.331624049713,283.681815073662,269.109091986752
"63","1987","ND",38,"03",271.280627265501,292.788493697804,260.674718495937
