"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","NE",31,"01",265.702792327396,289.946032164733,253.827946271715
"2","1982","NE",31,"02",271.196125115559,294.386075930813,255.503950473781
"3","1982","NE",31,"03",276.620926117148,295.9976184328,266.614803505663
"4","1982","NE",31,"04",281.603376735302,300.824432399358,270.923970486733
"5","1982","NE",31,"05",288.76235688313,302.502389986275,280.21036206788
"6","1982","NE",31,"06",291.10994233688,307.128005313191,281.513269763426
"7","1982","NE",31,"07",298.272077387047,311.161745030286,291.205965393559
"8","1982","NE",31,"08",297.452114609306,310.634331120544,287.658618504337
"9","1982","NE",31,"09",292.187228238689,308.546162714939,282.032870133764
"10","1982","NE",31,"10",284.971319982724,302.199615334387,274.443969988043
"11","1982","NE",31,"11",275.762098224609,295.310026965286,267.005480475841
"12","1982","NE",31,"12",273.038596027933,290.412891144096,264.499287712145
"13","1983","NE",31,"01",272.26737108634,287.468054617821,268.317559247298
"14","1983","NE",31,"02",274.85284405973,290.379107196235,264.993519970908
"15","1983","NE",31,"03",276.619185916263,294.557323838194,266.679714440204
"16","1983","NE",31,"04",279.577159878931,301.467296394568,270.537614570075
"17","1983","NE",31,"05",286.364048169017,303.016500154292,277.570475851213
"18","1983","NE",31,"06",292.576485700949,311.324583776008,282.272480500361
"19","1983","NE",31,"07",299.955958705244,312.64614120953,291.714766614566
"20","1983","NE",31,"08",300.74165071389,314.296073432175,295.379268095629
"21","1983","NE",31,"09",294.394730880499,309.807613124419,279.552812001496
"22","1983","NE",31,"10",286.274932223187,304.83968533316,276.267049541016
"23","1983","NE",31,"11",277.687016960958,297.901508807168,263.861332047677
"24","1983","NE",31,"12",261.79072810355,281.148350854163,247.583612439659
"25","1984","NE",31,"01",269.824687589679,288.294535024311,254.833949300485
"26","1984","NE",31,"02",274.572465451844,289.92810282331,266.863306393834
"27","1984","NE",31,"03",274.06327433433,294.3780989601,266.14099388512
"28","1984","NE",31,"04",280.178423994103,298.889107870106,274.16909394791
"29","1984","NE",31,"05",288.110948909947,304.819155795868,277.198082914968
"30","1984","NE",31,"06",294.863959637131,307.426959812342,287.300617267089
"31","1984","NE",31,"07",298.237884952724,311.603382546649,290.47721778225
"32","1984","NE",31,"08",298.696750528599,311.855306255411,291.232988908534
"33","1984","NE",31,"09",291.862555946102,311.928127952474,274.007705321984
"34","1984","NE",31,"10",284.077748040374,299.424445751223,275.818406978706
"35","1984","NE",31,"11",278.279164660526,293.813238769362,270.096983374261
"36","1984","NE",31,"12",271.423726712869,291.797849099272,263.623724951482
"37","1985","NE",31,"01",268.239149748211,284.520086702939,255.434150385307
"38","1985","NE",31,"02",270.680927100727,291.155420961791,257.300585290061
"39","1985","NE",31,"03",279.432116297193,299.643350036061,266.743480528523
"40","1985","NE",31,"04",285.858822997555,306.456628300663,273.977892940067
"41","1985","NE",31,"05",290.999483237756,307.332508240077,283.347633420609
"42","1985","NE",31,"06",293.743167863186,310.958611646136,285.643111094783
"43","1985","NE",31,"07",298.307285082017,311.553735487588,292.110387125982
"44","1985","NE",31,"08",296.314755401384,310.87161679888,287.881251255993
"45","1985","NE",31,"09",290.926107242282,311.128647029408,277.228336778432
"46","1985","NE",31,"10",284.282832117017,300.198930765125,274.0727964098
"47","1985","NE",31,"11",271.280505155128,293.100942091323,263.625506116661
"48","1985","NE",31,"12",268.115624893052,283.780630501267,255.179097310399
"49","1986","NE",31,"01",274.862803448085,289.9562311372,267.141555828976
"50","1986","NE",31,"02",272.059084501839,294.450631056836,258.447892872924
"51","1986","NE",31,"03",280.545978856392,301.141720932785,270.219694866046
"52","1986","NE",31,"04",284.129167903729,303.797952881763,272.766983670212
"53","1986","NE",31,"05",289.018026601882,305.66979418809,281.339818774743
"54","1986","NE",31,"06",296.397266445442,311.202125160122,287.442615668704
"55","1986","NE",31,"07",299.269130893212,311.935015407044,293.575124329432
"56","1986","NE",31,"08",295.738720931628,310.647505513803,288.349814947326
"57","1986","NE",31,"09",292.018241294662,306.509646795373,282.726367890541
"58","1986","NE",31,"10",284.642957067275,300.058231838011,275.326157181084
"59","1986","NE",31,"11",275.985143005751,291.099143765508,261.65676368377
"60","1986","NE",31,"12",273.120028598449,284.44568879413,261.902380955712
"61","1987","NE",31,"01",273.018769219863,288.640574754011,263.946603478123
"62","1987","NE",31,"02",276.171170851183,291.625202088322,268.834058068574
