"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","NM",35,"01",275.711623085187,295.327607428944,270.761839544109
"2","1982","NM",35,"02",276.679790911402,301.344032769696,272.568720531186
"3","1982","NM",35,"03",281.202093456265,304.248716042974,275.823059692774
"4","1982","NM",35,"04",285.772818484624,305.24494231693,281.632426239331
"5","1982","NM",35,"05",288.985672114944,308.126184971997,282.644279592094
"6","1982","NM",35,"06",295.451441176353,311.767294334062,292.239305979682
"7","1982","NM",35,"07",297.270861099608,310.601123578079,295.298306656181
"8","1982","NM",35,"08",294.849584750137,311.114863793864,295.058040319521
"9","1982","NM",35,"09",292.605467398816,309.239614337006,291.44818511507
"10","1982","NM",35,"10",286.174073654682,303.834598454585,281.73986240613
"11","1982","NM",35,"11",279.831961150509,301.617506648821,273.795446217547
"12","1982","NM",35,"12",274.641506169275,293.944610954512,269.613249251784
"13","1983","NM",35,"01",275.227771549195,290.675248877222,266.985928967484
"14","1983","NM",35,"02",276.359632630864,295.133490646102,273.783085645387
"15","1983","NM",35,"03",279.874341587547,299.88585952671,277.437514280157
"16","1983","NM",35,"04",281.760015903948,303.842473550243,274.361267022553
"17","1983","NM",35,"05",288.870325363944,307.766854465642,283.896223322646
"18","1983","NM",35,"06",294.336413948846,311.975289646477,290.76791906311
"19","1983","NM",35,"07",296.858075942018,312.505121361441,296.152862690861
"20","1983","NM",35,"08",295.476669726011,310.998223556144,294.331692081251
"21","1983","NM",35,"09",293.967585195282,311.022398387245,291.265517669939
"22","1983","NM",35,"10",286.848647537712,305.22245349226,284.166175603274
"23","1983","NM",35,"11",280.54343637856,298.395078275481,272.386989149303
"24","1983","NM",35,"12",276.047441539974,295.96349318057,269.625014696012
"25","1984","NM",35,"01",274.071421717239,294.57491435757,270.598862637809
"26","1984","NM",35,"02",276.854400724576,297.700342869389,272.193067357314
"27","1984","NM",35,"03",280.261473921452,302.152307160154,272.177322125516
"28","1984","NM",35,"04",284.078625481532,304.691225787513,281.083218861021
"29","1984","NM",35,"05",292.50406718758,310.312273539248,287.694248062028
"30","1984","NM",35,"06",293.942259894657,309.393145633064,290.3177973103
"31","1984","NM",35,"07",295.491538353094,310.119394449728,292.472925912593
"32","1984","NM",35,"08",292.899751345197,309.924547206233,292.287919438971
"33","1984","NM",35,"09",291.843921742272,310.877133729986,287.093961099746
"34","1984","NM",35,"10",283.496799940905,299.709828077554,280.536072056055
"35","1984","NM",35,"11",279.702410948481,299.389018979679,273.185016960561
"36","1984","NM",35,"12",276.094733791843,294.263946029567,273.31885143084
"37","1985","NM",35,"01",273.597476058456,293.221548584109,268.461628761819
"38","1985","NM",35,"02",274.907751333884,295.781965111288,267.516548375726
"39","1985","NM",35,"03",280.780719246185,302.937291298054,276.668801738129
"40","1985","NM",35,"04",286.08527535575,305.12007110192,280.249430564941
"41","1985","NM",35,"05",290.14696977292,310.691695637511,285.571933492483
"42","1985","NM",35,"06",295.556250250817,311.330316902591,292.314034154785
"43","1985","NM",35,"07",296.544818773391,310.7312387499,292.61456180894
"44","1985","NM",35,"08",295.483666372806,310.223109755703,292.980335598537
"45","1985","NM",35,"09",290.809788144307,307.625127271754,285.376195086158
"46","1985","NM",35,"10",285.649590839091,305.984088107616,283.928917172725
"47","1985","NM",35,"11",280.638549243739,297.687943128432,276.23975896871
"48","1985","NM",35,"12",275.838597786006,294.526471292942,270.029513168038
"49","1986","NM",35,"01",277.802955542565,296.780033571376,271.223952582774
"50","1986","NM",35,"02",278.257248415064,301.399222911433,271.986554596463
"51","1986","NM",35,"03",282.241012924726,302.431211610477,277.128671031621
"52","1986","NM",35,"04",286.810409506281,306.388818943853,284.457573500837
"53","1986","NM",35,"05",290.48121916734,309.229263846787,284.911173140148
"54","1986","NM",35,"06",293.931103729199,311.210048297927,291.473512026773
"55","1986","NM",35,"07",294.563663563096,311.356626347311,293.969300435209
"56","1986","NM",35,"08",295.705995520014,312.073670318624,291.150644161237
"57","1986","NM",35,"09",291.211099208546,305.737140859428,287.805099223263
"58","1986","NM",35,"10",284.576797219618,302.456961808341,280.636640294589
"59","1986","NM",35,"11",278.902340722147,297.140536341483,273.727664129014
"60","1986","NM",35,"12",274.817840473161,291.970688924009,268.977743015182
"61","1987","NM",35,"01",273.852861757623,294.856341304852,266.896596911625
"62","1987","NM",35,"02",275.891474873511,296.926226200182,269.651010669979
"63","1987","NM",35,"03",277.883844812112,298.101741539361,271.51105487218
"64","1987","NM",35,"04",284.154803716225,308.538769412175,277.85720787312
"65","1987","NM",35,"05",288.456393285972,307.302135424512,286.263059327977
"66","1987","NM",35,"06",294.467228178311,312.03475610547,290.03407993945
"67","1987","NM",35,"07",296.432747591245,312.890417184248,293.856032757994
"68","1987","NM",35,"08",293.624521520485,310.65551193801,289.125449365319
"69","1987","NM",35,"09",291.498255796068,307.876650720263,288.6181645829
"70","1987","NM",35,"10",288.836974763407,306.02271838291,286.4973474805
"71","1987","NM",35,"11",280.146296647904,300.894863775088,274.80738731376
"72","1987","NM",35,"12",273.875918242204,298.708853447637,265.032478132858
"73","1988","NM",35,"01",273.05868820649,295.166106190254,270.140512874107
"74","1988","NM",35,"02",277.060425194889,298.570000922247,272.222661347595
"75","1988","NM",35,"03",280.366407705647,303.427020305909,274.770605942303
"76","1988","NM",35,"04",284.561590587601,304.002298421433,282.247230862399
"77","1988","NM",35,"05",289.968743521197,310.865824173428,285.191301218315
"78","1988","NM",35,"06",295.125219525428,311.791444670724,287.804935009606
"79","1988","NM",35,"07",295.339428179169,309.930250767559,292.291706194349
"80","1988","NM",35,"08",292.955109514055,309.502275698916,291.48552059993
"81","1988","NM",35,"09",290.710325219784,308.417408664451,286.182610912194
"82","1988","NM",35,"10",288.38096170552,306.711480135025,286.28014941621
"83","1988","NM",35,"11",281.461589002541,303.108527231571,274.081864669046
"84","1988","NM",35,"12",275.035232208177,293.310884032233,269.921548885499
"85","1989","NM",35,"01",275.11020457358,295.248706544912,271.148003179256
"86","1989","NM",35,"02",277.96299246294,300.674550133048,277.071738483934
