"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","NV",32,"01",269.986710855235,293.32929472648,269.14443688757
"2","1982","NV",32,"02",274.212606626407,296.728184367035,270.072294691744
"3","1982","NV",32,"03",275.746134474664,296.47815110612,274.391228597069
"4","1982","NV",32,"04",279.04769345188,303.727162287785,275.690229522913
"5","1982","NV",32,"05",285.980350356233,307.335064107385,284.267542403186
"6","1982","NV",32,"06",290.526435126742,311.021101321021,289.270161006324
"7","1982","NV",32,"07",295.801582872875,313.40227745426,290.743013183897
"8","1982","NV",32,"08",297.519337300464,313.232332972232,296.431269869699
"9","1982","NV",32,"09",290.201817446396,313.806628118395,286.678019309188
"10","1982","NV",32,"10",282.549799790424,303.1020791355,280.915533999053
"11","1982","NV",32,"11",275.528762498593,295.706564090017,276.647388099851
"12","1982","NV",32,"12",272.069438288874,289.863990000995,270.28130687079
"13","1983","NV",32,"01",274.00338239124,292.871129368898,271.661744216272
"14","1983","NV",32,"02",274.909074399822,295.248321093832,272.266114993798
"15","1983","NV",32,"03",276.842590857662,297.839057160157,276.204597894005
"16","1983","NV",32,"04",277.957279144571,300.123578699203,277.98144797993
"17","1983","NV",32,"05",285.210973461657,312.642112071014,280.376770828189
"18","1983","NV",32,"06",290.775357980011,310.905553370257,289.043447777904
"19","1983","NV",32,"07",295.306007286545,313.94553838121,295.715701161785
"20","1983","NV",32,"08",294.535617898854,313.119564985259,291.614038151645
"21","1983","NV",32,"09",292.065682994712,311.61468174922,288.138906180874
"22","1983","NV",32,"10",285.100890480999,302.176424773531,286.619920960027
"23","1983","NV",32,"11",277.170351818207,300.049039636642,275.731174118277
"24","1983","NV",32,"12",273.47406395046,292.925522738875,272.892646033166
"25","1984","NV",32,"01",271.997727489565,292.803575780342,271.329047762422
"26","1984","NV",32,"02",273.995015334134,293.584932908297,275.796757284984
"27","1984","NV",32,"03",277.871322520043,299.977497018113,277.530700936692
"28","1984","NV",32,"04",279.438500532539,306.854227005705,278.068006971785
"29","1984","NV",32,"05",288.173728236821,312.849224012633,286.255527506525
"30","1984","NV",32,"06",290.65102686558,313.975008086159,290.231198535413
"31","1984","NV",32,"07",297.770124471474,316.411582706834,293.553442444702
"32","1984","NV",32,"08",296.685192063944,313.664039758157,294.273786799441
"33","1984","NV",32,"09",291.977673938947,311.611255162548,290.910211656683
"34","1984","NV",32,"10",281.162003407065,304.067320977534,281.295779490288
"35","1984","NV",32,"11",276.736582438948,298.792668325346,272.614252307899
"36","1984","NV",32,"12",271.204873232201,289.367178940521,271.704965171589
"37","1985","NV",32,"01",270.359312728827,289.334460636283,270.806535326479
"38","1985","NV",32,"02",271.471935827827,295.501209013327,267.838824741695
"39","1985","NV",32,"03",275.167994272455,298.340404482848,273.598279061133
"40","1985","NV",32,"04",283.870579313168,305.539228093242,282.109934002837
