"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","NY",36,"01",263.538527775677,287.726986974118,255.083972730839
"2","1982","NY",36,"02",268.966348318872,286.61551099396,265.235713800932
"3","1982","NY",36,"03",272.984734493194,288.006321007796,267.878643504191
"4","1982","NY",36,"04",278.03457504988,295.69093701121,264.960286536956
"5","1982","NY",36,"05",287.731414346388,301.322545536336,280.141993598099
"6","1982","NY",36,"06",289.060258951957,300.591979602102,285.058663267798
"7","1982","NY",36,"07",293.713295381308,305.123832456174,285.963080453761
"8","1982","NY",36,"08",290.805239443556,302.646940465241,283.681526947918
"9","1982","NY",36,"09",288.713640111999,301.398727545521,285.433713159169
"10","1982","NY",36,"10",282.505703290145,296.751624985245,274.824880033967
"11","1982","NY",36,"11",278.331390327668,294.505232406718,269.115136114806
"12","1982","NY",36,"12",274.26501323044,291.670870988072,264.216046908766
"13","1983","NY",36,"01",268.553542052955,286.885844102138,260.714574866028
"14","1983","NY",36,"02",270.191980609798,285.382975435358,262.022030314742
"15","1983","NY",36,"03",274.879512643348,291.158745499243,269.558533910484
"16","1983","NY",36,"04",278.847525693904,297.885392253101,274.484155747316
"17","1983","NY",36,"05",284.562408264437,297.734299558719,277.481834803842
"18","1983","NY",36,"06",291.402864926293,306.499690402097,284.041272309252
"19","1983","NY",36,"07",294.636534163883,307.954209406675,287.895143300605
"20","1983","NY",36,"08",293.17120735111,305.754299776482,287.365311585642
"21","1983","NY",36,"09",289.67868303556,307.047653240386,280.826019772816
"22","1983","NY",36,"10",282.813872005593,297.663789634675,273.611847258421
"23","1983","NY",36,"11",276.655308200777,288.729174973591,272.481673904448
"24","1983","NY",36,"12",268.375602670179,287.729948621415,259.701246529044
"25","1984","NY",36,"01",266.339415046309,280.752568993271,255.605465658566
"26","1984","NY",36,"02",273.011769318199,287.910744999245,263.645374645204
"27","1984","NY",36,"03",269.998926375774,287.74935637332,257.969218582177
"28","1984","NY",36,"04",279.65721008095,297.810559491972,273.088577415801
"29","1984","NY",36,"05",284.398267368682,301.84921144805,278.09949743538
"30","1984","NY",36,"06",291.571647288528,306.226385887777,283.246220079213
"31","1984","NY",36,"07",292.812978174906,304.092906979205,287.857604841928
"32","1984","NY",36,"08",293.103942984055,303.482779247049,287.465942200963
