"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","OH",39,"01",267.873879415582,288.652891393441,248.737425350287
"2","1982","OH",39,"02",271.289275047391,288.338396432448,261.022262677555
"3","1982","OH",39,"03",277.481549444188,293.87624248473,268.181418156079
"4","1982","OH",39,"04",281.18148114528,297.46070368612,267.589542546258
"5","1982","OH",39,"05",292.440461110752,305.81337730854,282.997842250105
"6","1982","OH",39,"06",292.20307999253,304.404986831045,285.996287996226
"7","1982","OH",39,"07",296.295400100984,307.092844385875,287.09799705213
"8","1982","OH",39,"08",294.583937913076,306.006762408778,286.410405584616
"9","1982","OH",39,"09",290.954766302956,302.734842783532,282.3297846311
"10","1982","OH",39,"10",286.490068279557,299.683655646436,274.670562630747
"11","1982","OH",39,"11",280.693147335,296.87078146115,269.734359112539
"12","1982","OH",39,"12",278.219597352502,293.204278096023,267.587589161408
"13","1983","OH",39,"01",272.63557580374,284.248772942869,262.68683817002
"14","1983","OH",39,"02",274.560145779403,289.750561587609,265.910148983489
"15","1983","OH",39,"03",279.157905366335,295.564608467403,269.00251279516
"16","1983","OH",39,"04",281.826710684865,297.486507539934,270.739071495917
"17","1983","OH",39,"05",287.052971344311,300.288773378394,276.377850850229
"18","1983","OH",39,"06",293.651295297188,308.274525918763,282.661292367235
"19","1983","OH",39,"07",297.803426207098,308.884940404064,286.85764013252
"20","1983","OH",39,"08",297.765661543588,308.820474187794,289.021287516061
"21","1983","OH",39,"09",292.748397332855,308.028748469236,278.342055877187
"22","1983","OH",39,"10",286.165630950389,301.161081867289,277.099066644743
"23","1983","OH",39,"11",280.00272927148,292.049185111464,271.361573396768
"24","1983","OH",39,"12",269.608955391608,286.966426872475,255.778880182904
"25","1984","OH",39,"01",269.076748586749,282.106658927863,252.789037320774
"26","1984","OH",39,"02",276.146487581414,290.945638428228,264.241725299537
"27","1984","OH",39,"03",273.33020535135,293.75813045807,261.712647442051
"28","1984","OH",39,"04",282.723854832032,298.975706644992,273.903393161325
"29","1984","OH",39,"05",287.432545560593,302.699453965119,278.792287634473
"30","1984","OH",39,"06",295.925381951632,307.202590259226,284.72430371421
"31","1984","OH",39,"07",295.088539056128,306.346443280233,285.34427221624
"32","1984","OH",39,"08",295.437754874044,304.586913626854,287.410833889672
"33","1984","OH",39,"09",291.406356719246,305.594608461899,281.256416410794
"34","1984","OH",39,"10",288.437685725732,298.095941818303,279.943657709671
"35","1984","OH",39,"11",278.117502920194,294.578850665519,269.882454591019
"36","1984","OH",39,"12",277.209204043073,291.768326789651,262.881730903021
"37","1985","OH",39,"01",267.927765361147,288.523826832312,252.804533411447
"38","1985","OH",39,"02",270.909801357481,291.728796091429,259.647469010341
"39","1985","OH",39,"03",279.257065484778,294.985171396653,269.149678917386
"40","1985","OH",39,"04",286.127653877777,302.219583808196,269.539178574416
"41","1985","OH",39,"05",290.771101088031,303.890280306626,280.425397415071
"42","1985","OH",39,"06",292.291690727114,304.560536061617,282.851367360129
"43","1985","OH",39,"07",295.597930190646,306.345907585974,288.873783376953
"44","1985","OH",39,"08",294.755186589767,305.124025413158,287.232744212815
"45","1985","OH",39,"09",292.66523505213,304.750343001084,281.967578798237
"46","1985","OH",39,"10",287.205820273389,300.477709707466,278.703294870536
"47","1985","OH",39,"11",282.057194161274,293.980776341975,273.851354980422
"48","1985","OH",39,"12",270.493431018837,288.77887990722,258.854629606944
"49","1986","OH",39,"01",271.843653574722,286.990996813844,258.28348776348
"50","1986","OH",39,"02",273.278248391554,288.785587526577,261.385396213964
"51","1986","OH",39,"03",278.532017260418,298.536989379536,263.948531293739
"52","1986","OH",39,"04",285.425582862109,304.009896818035,272.465904433639
"53","1986","OH",39,"05",290.481931634801,302.021189229091,276.34428038897
"54","1986","OH",39,"06",294.352871483916,306.963246434684,284.552651154492
"55","1986","OH",39,"07",296.894561554683,308.167563380977,287.22671016353
"56","1986","OH",39,"08",294.17813627422,306.790918187435,282.361903551531
"57","1986","OH",39,"09",292.932307897349,302.272748854385,283.013581635956
"58","1986","OH",39,"10",286.240509229176,298.677625075567,277.932869518783
"59","1986","OH",39,"11",278.637135858335,292.751117997758,266.656263638446
"60","1986","OH",39,"12",273.992606980743,287.99129296167,266.571089907047
"61","1987","OH",39,"01",271.450256368998,282.978950616094,260.99661004462
