"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","OR",41,"01",271.68419820819,286.422125893721,268.085702298385
"2","1982","OR",41,"02",273.502867149366,287.94967284712,269.665990642758
"3","1982","OR",41,"03",275.832072568468,289.539728115747,274.695956633809
"4","1982","OR",41,"04",277.294482282027,296.366808169619,274.635401703431
"5","1982","OR",41,"05",282.989852976079,302.441835055898,277.676821916272
"6","1982","OR",41,"06",288.476686674705,306.950247291759,281.956688124579
"7","1982","OR",41,"07",290.772939179841,309.718193625475,284.933646637341
"8","1982","OR",41,"08",292.291372437682,309.241567721857,286.240461102588
"9","1982","OR",41,"09",286.870042827838,306.184520430209,281.890273039649
"10","1982","OR",41,"10",281.718579613048,299.330092988424,278.233536598776
"11","1982","OR",41,"11",275.299388323712,291.452091884772,272.967211040768
"12","1982","OR",41,"12",273.496497819497,285.648585492767,270.76379292896
"13","1983","OR",41,"01",275.627808808038,288.334319398941,273.400317486287
"14","1983","OR",41,"02",276.482203139518,290.969375988952,273.621920104713
"15","1983","OR",41,"03",277.737092281969,288.285969736739,277.14137259917
"16","1983","OR",41,"04",278.553913949496,298.308451797369,275.312143712526
"17","1983","OR",41,"05",284.588287794542,308.334962996516,278.46494460195
"18","1983","OR",41,"06",286.378727774768,304.269562233028,282.8083559231
"19","1983","OR",41,"07",289.171620595081,307.83333525117,283.694766396804
"20","1983","OR",41,"08",292.681117218234,311.723468489175,288.638519356962
"21","1983","OR",41,"09",286.88326470735,303.064849816494,281.315560102612
"22","1983","OR",41,"10",283.015208861869,295.133490646102,277.804165885189
"23","1983","OR",41,"11",277.338275852351,290.072892668955,277.79006390038
"24","1983","OR",41,"12",271.350269424818,285.002221845517,266.393645605509
"25","1984","OR",41,"01",272.959989898229,288.013089005929,270.053683986818
"26","1984","OR",41,"02",274.832211775068,289.477395563104,274.167125793935
"27","1984","OR",41,"03",277.313485164744,291.412090920231,275.570419577894
"28","1984","OR",41,"04",278.020770547446,298.04870612291,276.788706888231
"29","1984","OR",41,"05",282.325545867111,304.620372244424,277.215796300741
"30","1984","OR",41,"06",285.76672917745,307.606061824039,280.353033736408
"31","1984","OR",41,"07",292.97125967726,308.668864970376,287.702120677927
"32","1984","OR",41,"08",292.676526150539,308.908979755289,289.790332045081
"33","1984","OR",41,"09",286.685050869449,304.183442062041,280.293989117167
"34","1984","OR",41,"10",280.212968189405,299.67046499806,276.589923336787
"35","1984","OR",41,"11",276.328647251916,288.306343948159,273.257838657625
"36","1984","OR",41,"12",271.635634655178,286.328349203589,269.06173438357
"37","1985","OR",41,"01",271.695244809023,288.575232878417,271.743707090096
"38","1985","OR",41,"02",271.998219585551,288.67013634815,268.861014196947
"39","1985","OR",41,"03",274.931522575405,288.907395022484,272.311150752876
"40","1985","OR",41,"04",281.148954356444,297.322169338835,275.751401530707
"41","1985","OR",41,"05",283.854656908438,302.860182228896,276.178467144507
"42","1985","OR",41,"06",288.843602462562,308.170822222721,282.38475863394
"43","1985","OR",41,"07",295.136319628825,310.223109755703,288.67013634815
"44","1985","OR",41,"08",290.848807353349,306.262867049958,285.785466299383
"45","1985","OR",41,"09",284.496239277049,302.235401053152,281.253825619618
"46","1985","OR",41,"10",281.397960972934,301.515716407674,276.48690342114
"47","1985","OR",41,"11",271.924385428839,289.41947832792,268.556532231553
"48","1985","OR",41,"12",271.892602498714,287.388939506751,271.225692317801
