"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","SC",45,"01",279.295898515107,295.07757416803,266.460486102442
"2","1982","SC",45,"02",284.575081337471,296.911802543019,277.97959656816
"3","1982","SC",45,"03",288.466621445012,302.168361176773,277.333026182515
"4","1982","SC",45,"04",289.520340771102,299.890714440631,278.78829789643
"5","1982","SC",45,"05",294.831831002339,305.655153135617,288.410671671931
"6","1982","SC",45,"06",297.561324710217,308.161345899313,294.259105915505
"7","1982","SC",45,"07",297.858600828798,307.837084014065,294.985765080038
"8","1982","SC",45,"08",297.879741493878,306.331024294026,294.536486564332
"9","1982","SC",45,"09",295.727478873094,304.530003461503,287.164412137061
"10","1982","SC",45,"10",290.792047344482,300.730669926515,281.325744817741
"11","1982","SC",45,"11",287.448678467487,298.286985478047,279.382126891102
"12","1982","SC",45,"12",285.042957423472,297.937329589738,274.805346185459
"13","1983","SC",45,"01",279.161840068694,291.956514925576,272.477644765932
"14","1983","SC",45,"02",281.570699903023,294.934048289518,272.872500340582
"15","1983","SC",45,"03",285.944942779299,296.799539422813,276.585351483846
"16","1983","SC",45,"04",288.033412702054,300.659454121943,277.125256045102
"17","1983","SC",45,"05",294.208998314803,304.019755644984,287.580870496292
"18","1983","SC",45,"06",296.737675358503,308.216103410269,290.94520115785
"19","1983","SC",45,"07",299.573422579866,309.18309665431,294.359896050869
"20","1983","SC",45,"08",299.723386140671,310.800795768819,293.255912097256
"21","1983","SC",45,"09",296.307900583374,307.013405562993,288.253736628604
"22","1983","SC",45,"10",292.254519541577,302.637761133709,284.454259007227
"23","1983","SC",45,"11",285.904480264054,296.604126204747,276.269064110275
"24","1983","SC",45,"12",281.216770391827,296.674636128792,264.86458753837
"25","1984","SC",45,"01",279.663272307598,292.146212352793,272.594570768152
"26","1984","SC",45,"02",283.534305789452,295.011844539952,271.905716877008
"27","1984","SC",45,"03",286.029187154066,299.581898069199,274.230106721125
"28","1984","SC",45,"04",289.280782448126,303.581186945784,282.073200310293
"29","1984","SC",45,"05",294.631474976028,304.990385191667,287.113642639493
"30","1984","SC",45,"06",298.070057859988,308.220125864145,287.186464336556
"31","1984","SC",45,"07",297.459511189681,307.926870921915,294.18128356263
"32","1984","SC",45,"08",298.237535153646,307.239985184746,294.521774200253
"33","1984","SC",45,"09",295.855646819849,306.923112394819,289.485268179003
"34","1984","SC",45,"10",293.84514720114,301.219402176147,285.493851918317
"35","1984","SC",45,"11",284.779961468486,297.714119947212,275.877451597947
"36","1984","SC",45,"12",285.808952311519,297.050852057739,271.187340676243
"37","1985","SC",45,"01",277.852239218345,296.651913583843,262.294880384776
"38","1985","SC",45,"02",282.521711966937,297.672125883476,273.374860476136
"39","1985","SC",45,"03",287.91117167954,302.290761410496,278.529305176025
"40","1985","SC",45,"04",291.85005339794,304.578330462192,281.682868389037
"41","1985","SC",45,"05",294.44686154712,305.477936269039,287.165520921754
"42","1985","SC",45,"06",298.798799775068,310.772759017908,292.974404131679
"43","1985","SC",45,"07",298.189864279178,308.84700944457,294.809204546522
"44","1985","SC",45,"08",297.958305872055,305.831847124919,295.093914955722
"45","1985","SC",45,"09",295.930523641644,305.355352620633,289.405638238583
"46","1985","SC",45,"10",293.88510752168,301.836015618024,285.660905495358
"47","1985","SC",45,"11",291.117270096484,298.043831139932,283.636298141048
"48","1985","SC",45,"12",279.887669550862,296.887195102557,268.56641800965
"49","1986","SC",45,"01",279.296595595961,292.610482301727,265.249906678137
"50","1986","SC",45,"02",285.034886688063,296.966227309783,271.580493783979
"51","1986","SC",45,"03",286.360625473993,299.943346339845,275.056770495729
"52","1986","SC",45,"04",292.345998057889,306.555204837749,281.799360767408
"53","1986","SC",45,"05",294.917803329388,305.980777346919,286.277914411434
"54","1986","SC",45,"06",298.780815692203,308.373564963895,294.442707919031
"55","1986","SC",45,"07",300.648428396455,312.491615837814,295.870853508303
"56","1986","SC",45,"08",297.838113248405,308.967800299237,291.800341461211
"57","1986","SC",45,"09",296.60876449359,305.400407502735,294.038627890999
"58","1986","SC",45,"10",292.32332446555,305.168655721951,282.070728237214
"59","1986","SC",45,"11",289.102760636815,299.824499272777,278.723202514788
"60","1986","SC",45,"12",282.26424076118,295.650986434226,278.366661313583
"61","1987","SC",45,"01",280.150113584943,294.872639611114,273.968024541244
"62","1987","SC",45,"02",281.267031217776,293.849920893145,273.982285559224
"63","1987","SC",45,"03",285.959525280164,298.906470411069,276.396472174349
"64","1987","SC",45,"04",288.904038572484,302.143721492448,277.317326478177
