"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","TN",47,"01",275.198349130561,292.438551234473,254.925748557917
"2","1982","TN",47,"02",278.142432899758,295.939016887274,267.011340630394
"3","1982","TN",47,"03",284.59468360571,300.099726619677,270.035180379577
"4","1982","TN",47,"04",285.860236550051,300.771691008384,274.102127639137
"5","1982","TN",47,"05",293.275172313421,305.22345508357,284.839884164498
"6","1982","TN",47,"06",295.291737495275,308.491467939114,288.652891393441
"7","1982","TN",47,"07",297.1547626604,307.297949795218,294.200504369979
"8","1982","TN",47,"08",296.919250260349,308.346917460148,293.151536705049
"9","1982","TN",47,"09",293.211087812656,303.449781638959,283.230295047362
"10","1982","TN",47,"10",288.742109971058,303.457595178362,277.764724234562
"11","1982","TN",47,"11",283.400015251869,298.251824550731,272.420263282518
"12","1982","TN",47,"12",281.687138518604,296.616841430534,268.689298217311
"13","1983","TN",47,"01",276.294511104555,286.428536880477,268.821201561903
"14","1983","TN",47,"02",278.655647165511,292.444040686114,269.743874282258
"15","1983","TN",47,"03",282.43732858699,297.633571095799,272.608591767729
"16","1983","TN",47,"04",284.907954926958,300.190059484731,274.893113306775
"17","1983","TN",47,"05",291.108749522378,301.221518945041,282.723744014246
"18","1983","TN",47,"06",295.013631236593,306.598404295759,287.034922227261
"19","1983","TN",47,"07",298.909963186269,311.076791757223,291.100322990749
"20","1983","TN",47,"08",299.390109413537,311.302423514166,295.16169461572
"21","1983","TN",47,"09",294.625431201864,308.530376214582,282.278524208136
"22","1983","TN",47,"10",290.009870588355,303.383151759324,281.361895195556
"23","1983","TN",47,"11",282.976591109597,296.106527597918,274.016775679363
"24","1983","TN",47,"12",274.694342473278,291.581805043511,255.946089431353
"25","1984","TN",47,"01",274.504556681073,287.316362498886,262.5333676495
"26","1984","TN",47,"02",279.642990141552,293.319232121713,269.059766229596
"27","1984","TN",47,"03",281.372281776371,296.525354946494,270.081238142464
"28","1984","TN",47,"04",286.869409310151,302.248746704914,276.723757807066
"29","1984","TN",47,"05",291.506056163892,305.204913974909,282.234588936218
"30","1984","TN",47,"06",296.926712568149,306.582621757197,287.025075710631
"31","1984","TN",47,"07",296.595210303966,308.598011427287,291.203466598913
"32","1984","TN",47,"08",296.19840683071,307.110087022416,291.254638602255
"33","1984","TN",47,"09",294.24321845243,306.893590085199,285.513533458064
"34","1984","TN",47,"10",291.495908531302,300.739172606321,280.256594191648
"35","1984","TN",47,"11",281.501322192744,298.170731669341,271.439264385005
"36","1984","TN",47,"12",282.910217749713,294.252137105719,268.378784954351
"37","1985","TN",47,"01",272.008279803171,289.621148201103,257.328265468734
"38","1985","TN",47,"02",276.254118845982,296.209030725088,265.472169465221
"39","1985","TN",47,"03",284.866170432003,301.867650107935,274.962516438549
"40","1985","TN",47,"04",289.408517929129,303.504734960834,277.172976421087
"41","1985","TN",47,"05",292.586296987477,306.46849123438,285.360377841202
"42","1985","TN",47,"06",296.46453232141,308.779786153509,287.266355858346
"43","1985","TN",47,"07",296.804902200655,308.354697695329,290.23604359875
"44","1985","TN",47,"08",296.578586976377,306.298455851108,291.981872010718
"45","1985","TN",47,"09",293.716842543077,306.948940049905,283.029311365878
"46","1985","TN",47,"10",290.691848834824,300.914661099363,280.805011294005
"47","1985","TN",47,"11",287.005966293965,297.092819286979,277.776008885017
"48","1985","TN",47,"12",275.501372840509,291.958146143285,264.09013768723
"49","1986","TN",47,"01",276.323032807612,292.976927425188,264.699248600721
"50","1986","TN",47,"02",280.544806961499,297.849657174991,265.830276522321
"51","1986","TN",47,"03",283.60271946866,300.565312657503,269.520477954794
"52","1986","TN",47,"04",289.519939519061,304.475381164053,277.647636557819
"53","1986","TN",47,"05",293.270332009461,305.301368280178,284.085186024023
"54","1986","TN",47,"06",296.731718937305,308.844991663266,291.731014005421
"55","1986","TN",47,"07",299.326802330878,311.697321272907,294.547689494941
"56","1986","TN",47,"08",296.610711998732,314.615016769435,287.53967410681
"57","1986","TN",47,"09",295.386747954384,305.39248436493,289.530362480205
"58","1986","TN",47,"10",289.450673178872,304.114878393945,281.209087000968
"59","1986","TN",47,"11",284.016084157573,296.116470780244,268.530085729224
"60","1986","TN",47,"12",277.702081506779,291.253644952697,271.202163953812
"61","1987","TN",47,"01",276.282434962719,293.116497111335,266.855851145969
"62","1987","TN",47,"02",279.351186942602,291.610941070342,271.219722647739
"63","1987","TN",47,"03",283.706251579893,298.20971781835,272.442095617423
"64","1987","TN",47,"04",286.629750468723,305.95752515786,273.741885541853
"65","1987","TN",47,"05",293.951778005177,305.018335259487,289.190642590369
"66","1987","TN",47,"06",296.168554915051,307.100443884514,290.140018930156
"67","1987","TN",47,"07",297.918876660708,309.663352544284,290.490432514799
"68","1987","TN",47,"08",298.57612667175,310.001542399229,292.169158059831
"69","1987","TN",47,"09",294.50303967543,306.142918391595,287.304113640491
"70","1987","TN",47,"10",286.267873243032,299.505433166214,276.722438299598
"71","1987","TN",47,"11",284.276837185082,298.285097484814,272.242441365708
"72","1987","TN",47,"12",279.956142381752,292.283246203668,270.480187001081
"73","1988","TN",47,"01",274.460097312397,291.505426417076,259.45507023005
"74","1988","TN",47,"02",277.285473322849,292.237960488055,264.748027009213
"75","1988","TN",47,"03",283.268939735634,299.820086239026,270.40924140558
"76","1988","TN",47,"04",288.637912359399,302.636759365207,279.585823109958
"77","1988","TN",47,"05",292.686842015727,306.430808113264,284.044726150697
"78","1988","TN",47,"06",297.649334761663,312.15173996107,287.930341657627
"79","1988","TN",47,"07",297.826367039432,310.495575974509,292.590293451542
"80","1988","TN",47,"08",298.215623866784,309.175820297719,291.539266306225
"81","1988","TN",47,"09",295.107568342795,306.098380966923,286.296074069927
"82","1988","TN",47,"10",286.14977879963,300.685989284884,280.967286819901
"83","1988","TN",47,"11",284.063938950505,296.710797600796,274.88605968175
"84","1988","TN",47,"12",278.27740804118,291.240679049032,269.11536329108
"85","1989","TN",47,"01",279.898444652461,292.457376606506,272.308443715447
"86","1989","TN",47,"02",277.863826036687,296.654172532156,266.943366439172
"87","1989","TN",47,"03",284.664121700656,300.108051290211,273.960895357354
"88","1989","TN",47,"04",287.295750314753,304.985037867987,272.722046676826
"89","1989","TN",47,"05",291.390683334825,305.951418246943,282.033013816872
"90","1989","TN",47,"06",294.758094806772,305.922015192817,287.23147378643
"91","1989","TN",47,"07",296.352278342545,305.471168362878,292.492660271458
"92","1989","TN",47,"08",296.55450074545,307.839094321862,289.099547825264
"93","1989","TN",47,"09",293.677046146729,304.651803254554,283.156210484503
"94","1989","TN",47,"10",288.479824887677,300.607903210361,275.560421501834
"95","1989","TN",47,"11",282.967455582034,296.605167441946,270.603066576112
"96","1989","TN",47,"12",273.14462160956,290.295272026407,256.705222992339
"97","1990","TN",47,"01",280.511670556704,291.690515330722,270.813888176094
"98","1990","TN",47,"02",282.788297012576,294.507376913996,271.49670338674
"99","1990","TN",47,"03",284.349395594823,298.562463164972,273.592926176272
"100","1990","TN",47,"04",287.236379218547,301.962604213899,274.673884366885
"101","1990","TN",47,"05",292.532764329031,304.57840359229,282.22864741178
