"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","TX",48,"01",283.24015262439,305.098438453113,275.184302846532
"2","1982","TX",48,"02",283.251345956611,306.157173042297,278.653514341718
"3","1982","TX",48,"03",290.196660241112,309.034508927663,281.567964539251
"4","1982","TX",48,"04",293.103360509187,313.128803575135,289.205699306244
"5","1982","TX",48,"05",295.844309771423,310.110823980505,289.990960016303
"6","1982","TX",48,"06",300.180162854087,312.247827007382,297.30833966775
"7","1982","TX",48,"07",301.918032409362,312.611156589648,299.382834379399
"8","1982","TX",48,"08",301.849145173582,313.109269726626,299.230470361029
"9","1982","TX",48,"09",299.543018111664,311.339503051717,294.020792963696
"10","1982","TX",48,"10",293.571602448087,308.930979530565,287.803168983303
"11","1982","TX",48,"11",287.844090431318,306.983454834225,283.595578014479
"12","1982","TX",48,"12",283.388247886654,305.035930137884,280.411560707522
"13","1983","TX",48,"01",281.152015286176,301.404844747557,280.507717829986
"14","1983","TX",48,"02",283.703407708044,304.72485488543,281.664080584318
"15","1983","TX",48,"03",287.862345765739,306.705176466455,286.172686584658
"16","1983","TX",48,"04",291.21579196431,310.65977592073,286.748853392566
"17","1983","TX",48,"05",295.953487001058,313.729979470559,291.861830170431
"18","1983","TX",48,"06",298.775102162865,313.30893449555,294.696329117025
"19","1983","TX",48,"07",301.257946738193,313.572843068403,297.500609524743
"20","1983","TX",48,"08",300.798340072839,312.773059072811,298.181533934088
"21","1983","TX",48,"09",298.60866892881,314.104689352625,291.525397104275
"22","1983","TX",48,"10",294.050582918871,308.619017261953,288.55189287885
"23","1983","TX",48,"11",289.102416477805,306.217650705918,284.432098745385
"24","1983","TX",48,"12",279.733939200827,305.601192512842,272.147255407551
"25","1984","TX",48,"01",280.00229417811,299.9362,278.0562
"26","1984","TX",48,"02",285.141049197163,304.4295,279.3434
"27","1984","TX",48,"03",288.867659960924,312.4772,279.8905
"28","1984","TX",48,"04",293.253784650343,314.5182,287.7848
"29","1984","TX",48,"05",297.512144929681,314.4434,291.9356
"30","1984","TX",48,"06",300.189198219704,312.548096454504,296.521418638545
"31","1984","TX",48,"07",300.735533777749,312.5697,296.7104
"32","1984","TX",48,"08",300.797019501463,314.388320420846,298.1137
"33","1984","TX",48,"09",297.800915278533,312.70554877248,289.5778
"34","1984","TX",48,"10",292.872445872737,310.2099,292.6776
"35","1984","TX",48,"11",287.381687741103,304.2425,281.0399
"36","1984","TX",48,"12",286.906141307237,304.8133,278.8828
"37","1985","TX",48,"01",278.768177107077,302.322395900407,273.366951853659
"38","1985","TX",48,"02",282.184040814756,304.040544133703,276.370251239593
"39","1985","TX",48,"03",290.055646292562,309.216737545406,287.048868740207
"40","1985","TX",48,"04",293.673960139839,309.780226896948,287.507568843918
"41","1985","TX",48,"05",297.320378847379,314.262438686226,292.996152843493
"42","1985","TX",48,"06",299.724173089784,311.982778257008,296.143784589647
"43","1985","TX",48,"07",300.596015200178,311.723770870861,297.16004257804
"44","1985","TX",48,"08",302.173859885213,313.489370839023,297.90740740219
"45","1985","TX",48,"09",298.226854958438,314.135900726581,294.927833883689
"46","1985","TX",48,"10",293.409717882304,308.572184813468,290.455507872508
"47","1985","TX",48,"11",289.920407464476,306.403245098938,287.582700757457
"48","1985","TX",48,"12",281.80135834663,303.846782882998,278.40672152762
"49","1986","TX",48,"01",284.135424523451,301.642859398923,279.303572358972
"50","1986","TX",48,"02",287.046519763219,311.592339696997,282.310403155802
"51","1986","TX",48,"03",290.37448815072,309.605612892504,283.071024385039
"52","1986","TX",48,"04",294.876313872991,309.526381514458,291.344761037449
"53","1986","TX",48,"05",296.923306916557,312.081593456428,293.622663156259
"54","1986","TX",48,"06",297.921090637238,311.299183598228,297.184113599408
"55","1986","TX",48,"07",302.187903693043,314.832903059061,298.776664298124
"56","1986","TX",48,"08",300.507081670781,314.9002497304,297.304941450928
"57","1986","TX",48,"09",297.877635186172,310.758429443067,297.265325761905
