"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","UT",49,"01",268.586305604019,284.69142691583,260.203794425031
"2","1982","UT",49,"02",271.174332147714,290.211692504454,258.062884628452
"3","1982","UT",49,"03",274.958819837079,288.195799338332,269.644503409398
"4","1982","UT",49,"04",278.30179707655,297.927562665483,271.218931599218
"5","1982","UT",49,"05",284.978030430503,303.035664050569,279.077398854362
"6","1982","UT",49,"06",290.901542275431,309.304076037086,284.165966390939
"7","1982","UT",49,"07",295.341480149917,311.624697239947,286.808896094198
"8","1982","UT",49,"08",295.580828964346,309.774841786151,291.723612379046
"9","1982","UT",49,"09",289.867386984895,308.344964075297,281.218308650941
"10","1982","UT",49,"10",281.04310647452,298.136574844529,273.144969062199
"11","1982","UT",49,"11",274.786276861396,289.260394082069,270.246145943473
"12","1982","UT",49,"12",270.656587295385,284.574223824776,264.565702797076
"13","1983","UT",49,"01",272.697714346288,284.957901321832,266.883185935305
"14","1983","UT",49,"02",273.164488288612,286.771013654408,267.811902363435
"15","1983","UT",49,"03",275.736037773485,289.744517879833,270.559774831918
"16","1983","UT",49,"04",276.917121559206,294.946135705069,269.852661022213
"17","1983","UT",49,"05",283.447594123557,304.54757279069,277.546301020112
"18","1983","UT",49,"06",290.486912857339,307.307532674722,283.166949251098
"19","1983","UT",49,"07",295.156189817109,310.293124315698,288.787597482085
"20","1983","UT",49,"08",293.149799297773,310.107783943924,289.706241063923
"21","1983","UT",49,"09",291.385743232415,306.799861221601,282.564593042831
"22","1983","UT",49,"10",283.807350068826,295.876866702458,280.014148361674
"23","1983","UT",49,"11",276.025565744587,292.955741277752,269.421543200911
"24","1983","UT",49,"12",270.999809222348,283.092410188537,266.147868155982
"25","1984","UT",49,"01",268.944018774319,285.568641769355,263.44265478581
"26","1984","UT",49,"02",270.539556480866,284.66132278702,267.380930889179
"27","1984","UT",49,"03",275.118324854304,291.965142187121,269.343180401952
"28","1984","UT",49,"04",278.230658096479,299.048528342056,272.568984766481
"29","1984","UT",49,"05",287.761848963557,306.907367163022,279.069797344905
"30","1984","UT",49,"06",290.663885985874,309.568311336812,282.32315586508
"31","1984","UT",49,"07",295.704717584237,310.516961552616,291.636460473347
"32","1984","UT",49,"08",294.043252635017,309.334101013823,291.2900653738
"33","1984","UT",49,"09",290.316336396008,307.108118868441,283.250156387162
"34","1984","UT",49,"10",279.97762733496,298.302597985646,272.937029559749
"35","1984","UT",49,"11",275.749794410935,291.756517865803,267.63679090589
"36","1984","UT",49,"12",270.092018082585,283.137971610604,265.843802634941
"37","1985","UT",49,"01",269.040490096441,284.652556129441,262.70612875362
"38","1985","UT",49,"02",269.232032271266,287.319739060071,259.843207416666
"39","1985","UT",49,"03",274.622699233269,291.111923538163,268.206575686911
"40","1985","UT",49,"04",281.831356794667,299.085792151378,275.95504855951
"41","1985","UT",49,"05",287.222072861478,302.215629496957,278.556985354697
"42","1985","UT",49,"06",293.832448680706,310.606677945875,284.352028475286
"43","1985","UT",49,"07",296.949988849459,312.200265375146,290.388284581447
"44","1985","UT",49,"08",295.924437762977,309.499470798987,291.147512339313
"45","1985","UT",49,"09",288.08324502906,306.424993810752,279.881679619725
"46","1985","UT",49,"10",282.905480133833,298.840624854567,276.477017643043
"47","1985","UT",49,"11",273.726015369976,293.828535359278,266.112767885921
"48","1985","UT",49,"12",269.611609204923,284.05545513237,265.337722883099
"49","1986","UT",49,"01",272.756697279414,287.171248198898,268.646952011842
"50","1986","UT",49,"02",274.35353593936,292.515404648072,265.073616861986
"51","1986","UT",49,"03",278.925335256322,295.973854299762,271.764706737935
"52","1986","UT",49,"04",280.45907987768,298.818260771598,273.331507238787
"53","1986","UT",49,"05",286.002439658055,304.986423552446,278.733106437044
"54","1986","UT",49,"06",294.946928679023,312.063766396368,286.592859139165
"55","1986","UT",49,"07",295.661341526504,310.548466291246,291.089239843252
"56","1986","UT",49,"08",297.306236519282,309.989885076025,293.674163551989
"57","1986","UT",49,"09",288.014617906377,305.79260282406,280.002789270224
"58","1986","UT",49,"10",282.148669222242,295.157771105892,275.445004248152
"59","1986","UT",49,"11",276.259580918563,289.906711525922,270.786199219072
"60","1986","UT",49,"12",272.153320751103,285.552947302317,267.230691129277
"61","1987","UT",49,"01",269.110030298795,285.63353724859,261.797264339763
"62","1987","UT",49,"02",272.894523573401,286.395483066359,266.976051154655
"63","1987","UT",49,"03",274.911984675597,290.070751128541,269.180397076651
"64","1987","UT",49,"04",282.789948235067,301.127114639328,275.699719581629
"65","1987","UT",49,"05",286.291237541484,302.084640132246,281.232994557729
"66","1987","UT",49,"06",293.323015202598,308.734349087324,286.688852579083
"67","1987","UT",49,"07",294.71803571804,309.604271184082,288.673171366536
"68","1987","UT",49,"08",294.77421742875,309.292566076813,290.0992731645
"69","1987","UT",49,"09",291.822886961363,307.454932045722,285.4664796094
"70","1987","UT",49,"10",285.909182673834,302.047968943156,280.534204676727
"71","1987","UT",49,"11",276.080879656023,289.897581624502,269.304671661902
"72","1987","UT",49,"12",270.408978886746,286.923140731606,264.250159432261
"73","1988","UT",49,"01",268.344603577744,281.930728369775,261.967184353895
"74","1988","UT",49,"02",272.064952530615,288.567327806304,263.98762479423
"75","1988","UT",49,"03",275.13467331452,295.842903973224,269.859840852346
"76","1988","UT",49,"04",281.184548294717,299.270685685792,273.862900680438
"77","1988","UT",49,"05",286.32737678962,305.483291217107,275.095070761785
"78","1988","UT",49,"06",294.22661797368,310.889711154003,282.822508977923
"79","1988","UT",49,"07",298.537952713257,311.417215308376,294.389779321554
"80","1988","UT",49,"08",296.710485153076,310.059638579009,292.297677939493
"81","1988","UT",49,"09",290.508951730074,307.907819745509,281.28577989424
"82","1988","UT",49,"10",287.696260367681,301.605638037036,283.493335015748
"83","1988","UT",49,"11",276.727929567873,295.522420317171,269.933492375787
"84","1988","UT",49,"12",270.155926178548,287.152024207212,262.735548895737
"85","1989","UT",49,"01",267.304988147545,282.617154492184,263.563975418238
"86","1989","UT",49,"02",270.123201732041,291.52824009611,255.625150804093
"87","1989","UT",49,"03",278.166653315395,295.45060751658,268.411558941887
"88","1989","UT",49,"04",283.908745399071,302.86997817449,277.804854633487
"89","1989","UT",49,"05",286.998427785831,305.069326623149,279.978720435236
"90","1989","UT",49,"06",291.782861779707,310.25210496384,284.906672306831
