"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","WI",55,"01",259.914706489664,279.380173506251,248.971831532394
"2","1982","WI",55,"02",266.022113985488,287.05306920056,255.273451061376
"3","1982","WI",55,"03",272.543188951019,290.010493864812,261.809476772465
"4","1982","WI",55,"04",278.359089324854,296.028872590415,264.718066815445
"5","1982","WI",55,"05",289.139852383252,303.510336569336,281.704701478814
"6","1982","WI",55,"06",289.117806754878,302.850092489734,281.32379143289
"7","1982","WI",55,"07",295.219623054138,308.518815327027,286.513934981713
"8","1982","WI",55,"08",293.323685571379,307.590957522852,284.287076251695
"9","1982","WI",55,"09",288.839056566228,303.313044699396,281.310117738933
"10","1982","WI",55,"10",283.668436118796,299.556685631128,275.076866679733
"11","1982","WI",55,"11",274.354188079441,289.420571639843,267.257467121607
"12","1982","WI",55,"12",271.346534889293,291.375909875587,262.291962830636
"13","1983","WI",55,"01",267.797365007826,277.820282439257,261.093313886611
"14","1983","WI",55,"02",270.837649885814,285.729481347806,263.428199657117
"15","1983","WI",55,"03",274.283138560786,293.175329326919,266.284858865554
"16","1983","WI",55,"04",277.934808463187,295.858735579132,269.453776309046
"17","1983","WI",55,"05",283.897384407724,297.264904921508,276.269064110275
"18","1983","WI",55,"06",292.139340443393,307.174571103667,282.907069816762
"19","1983","WI",55,"07",297.70169278048,310.752446106617,285.590476068975
"20","1983","WI",55,"08",297.101452953037,310.381765363068,289.67199338653
"21","1983","WI",55,"09",290.255786458286,306.405005646951,279.552812001496
"22","1983","WI",55,"10",283.003129028031,300.137680684012,277.814238731481
"23","1983","WI",55,"11",275.759150889251,291.090250144457,268.932002871116
"24","1983","WI",55,"12",261.552447217825,275.640518501648,255.174509405379
"25","1984","WI",55,"01",263.9490608035,280.313670656914,252.033266194491
"26","1984","WI",55,"02",272.238814494873,286.723948152503,261.645730206912
"27","1984","WI",55,"03",270.346709311084,284.244074144384,261.919303609394
"28","1984","WI",55,"04",280.977861391917,299.747223003074,272.661488003292
"29","1984","WI",55,"05",285.141806312198,299.949942862467,277.875127882264
"30","1984","WI",55,"06",293.078643886427,303.386339702289,287.501368972508
"31","1984","WI",55,"07",294.389103692001,308.621629274983,285.232087439682
"32","1984","WI",55,"08",295.004301007863,309.013291915948,286.883368624453
"33","1984","WI",55,"09",288.408102975745,307.08253286677,278.703720705612
"34","1984","WI",55,"10",284.161798959358,294.683162826178,275.700317740224
"35","1984","WI",55,"11",274.768557565779,290.02454236807,268.585441121694
"36","1984","WI",55,"12",268.634568784456,288.481509651907,258.195556289268
"37","1985","WI",55,"01",263.456417571247,276.682641827465,254.265651414216
"38","1985","WI",55,"02",265.936571544513,282.950225141101,254.522681644743
"39","1985","WI",55,"03",275.788396663516,291.550852085679,265.978321303799
"40","1985","WI",55,"04",282.794864646204,301.788563883157,269.944495476402
"41","1985","WI",55,"05",289.475253250152,306.047357087439,281.305231665724
"42","1985","WI",55,"06",290.598914264845,308.24397698064,284.616967328291
"43","1985","WI",55,"07",294.682419973919,309.436201819165,288.593027278992
"44","1985","WI",55,"08",292.955308635148,304.825474914622,287.044914428968
"45","1985","WI",55,"09",289.556930186583,306.349861897213,280.174298651402
"46","1985","WI",55,"10",282.671582261081,293.850284071092,277.208565222237
"47","1985","WI",55,"11",271.995017848784,288.855988976378,263.502922468255
"48","1985","WI",55,"12",262.562191824524,276.144855498977,257.486437918289
"49","1986","WI",55,"01",266.363231888924,283.259198907898,257.825926555267
"50","1986","WI",55,"02",266.928062636294,280.490062245205,260.882276963375
"51","1986","WI",55,"03",274.726046583475,299.032185492321,261.492358574326
"52","1986","WI",55,"04",282.760456090509,302.480731221755,271.400242398926
"53","1986","WI",55,"05",288.148744026778,303.992069757974,276.203644692939
"54","1986","WI",55,"06",292.59457770302,306.367030314891,284.435784871874
"55","1986","WI",55,"07",295.752709300233,308.444873204136,288.072505124166
"56","1986","WI",55,"08",292.019547208866,304.364457234789,283.316641656981
"57","1986","WI",55,"09",289.553677413631,301.773591172698,281.811245474115
"58","1986","WI",55,"10",282.670354288089,294.51005459037,277.469365957217
"59","1986","WI",55,"11",272.714752585107,289.19164833906,262.10838253863
"60","1986","WI",55,"12",269.763986649739,277.843734218482,261.971708411502
"61","1987","WI",55,"01",268.104467784216,280.373258902385,255.408328284884
"62","1987","WI",55,"02",272.333439029668,283.643106596289,265.641627329417
"63","1987","WI",55,"03",275.923176151448,293.244846273152,265.780162932648
"64","1987","WI",55,"04",283.191539384751,302.7773181484,268.913512311603
"65","1987","WI",55,"05",289.850406352276,305.605074284935,280.481235181374
"66","1987","WI",55,"06",294.75533255179,309.775403399838,286.161194913837
"67","1987","WI",55,"07",296.27891618439,307.60569137865,287.994754368362
"68","1987","WI",55,"08",293.841783788493,308.830101636616,285.985988121515
"69","1987","WI",55,"09",289.558288238403,302.168168951841,283.63699473144
"70","1987","WI",55,"10",279.511621777977,295.901470193931,274.803312737194
"71","1987","WI",55,"11",276.765299449587,294.444809071725,266.95771556011
"72","1987","WI",55,"12",270.888063068461,283.506608281341,267.801152909191
"73","1988","WI",55,"01",263.901192630302,285.700890137257,255.256933393926
"74","1988","WI",55,"02",264.970444771497,284.683702881088,257.659565523467
"75","1988","WI",55,"03",273.909180635098,289.425268525303,267.381566617649
"76","1988","WI",55,"04",280.419067345151,298.197762141614,272.588928383084
"77","1988","WI",55,"05",289.998270314318,305.409639693666,281.87698266348
"78","1988","WI",55,"06",295.547859951483,311.749642454717,284.064631967843
"79","1988","WI",55,"07",296.745089116549,311.817322233014,286.333895122505
"80","1988","WI",55,"08",296.220620064188,310.997202566593,286.266215344208
"81","1988","WI",55,"09",290.644387025874,303.55242695393,283.620732245484
"82","1988","WI",55,"10",279.727078427125,297.98476989815,271.695157193222
"83","1988","WI",55,"11",275.490453372487,289.429249688732,271.207464673141
"84","1988","WI",55,"12",267.775005093543,282.70904582019,259.922856932985
"85","1989","WI",55,"01",269.671382890027,281.970287301402,262.542709338245
"86","1989","WI",55,"02",263.892049328957,288.829039727301,254.674452054005
"87","1989","WI",55,"03",271.633496081038,297.214790764168,262.129106376867
"88","1989","WI",55,"04",279.506903782695,299.829702377814,269.079988372362
"89","1989","WI",55,"05",286.469105286576,302.771967994069,273.553173006801
"90","1989","WI",55,"06",291.450804430563,305.700512185064,283.993217425303
"91","1989","WI",55,"07",295.879717163924,311.473311811892,290.060047593396
"92","1989","WI",55,"08",294.079917227545,308.00375142497,286.443471935841
"93","1989","WI",55,"09",288.921476395463,300.272708393319,279.373017520231
"94","1989","WI",55,"10",283.486495307667,298.326226210148,274.77830026207
"95","1989","WI",55,"11",272.772662401002,292.245674616796,263.767836593515
"96","1989","WI",55,"12",262.566945253505,280.719677399223,253.510091110597
"97","1990","WI",55,"01",270.891294913069,284.486118108199,263.957866061044
"98","1990","WI",55,"02",269.449901279545,287.157657503785,259.733569043582
"99","1990","WI",55,"03",275.362214714025,296.510036103236,268.066701614314
"100","1990","WI",55,"04",281.347769340033,302.33088647037,269.697097117284
"101","1990","WI",55,"05",284.977968105555,300.029620046154,278.145691152207
"102","1990","WI",55,"06",292.734994776749,304.69983720118,279.256510066318
"103","1990","WI",55,"07",294.369327257353,312.159045930883,287.876305582628
"104","1990","WI",55,"08",293.918391802574,307.017029344594,287.752881258838
"105","1990","WI",55,"09",290.863341217209,306.684579956321,281.058107050674
"106","1990","WI",55,"10",281.957200591865,299.356758410008,275.183507381244
"107","1990","WI",55,"11",277.223170642614,293.997753899637,270.598890966912
"108","1990","WI",55,"12",267.544825000553,282.334155301472,255.859637848492
"109","1991","WI",55,"01",263.957586119693,278.959920590526,257.270340582384
"110","1991","WI",55,"02",269.862981571601,287.14478045958,261.154714604404
"111","1991","WI",55,"03",275.016787391364,296.677524087172,265.984797319637
"112","1991","WI",55,"04",282.189118690808,300.524069761463,272.891457228601
"113","1991","WI",55,"05",288.971255971171,305.368089236386,278.963902521866
"114","1991","WI",55,"06",294.579025255324,308.043947096763,287.075096661133
"115","1991","WI",55,"07",294.687202805062,308.207206281697,287.783880439625
"116","1991","WI",55,"08",294.973502597986,307.986209092335,288.066597564755
"117","1991","WI",55,"09",288.589895238793,303.251692729258,278.496025589434
"118","1991","WI",55,"10",282.288196492704,296.157882047322,274.697263091221
"119","1991","WI",55,"11",271.680482224355,289.261176966708,264.334286779271
"120","1991","WI",55,"12",269.128328734232,285.655538138478,260.975527694111
"121","1992","WI",55,"01",268.45538445067,280.097447684266,256.701120866456
"122","1992","WI",55,"02",271.092897705626,285.18726418252,261.969012451731
"123","1992","WI",55,"03",273.51935754679,291.130275603203,264.557950255341
"124","1992","WI",55,"04",278.958221555821,295.828718283829,269.418813070282
"125","1992","WI",55,"05",287.891485773265,303.137624328035,275.408789349081
"126","1992","WI",55,"06",291.012715605584,304.96338318727,282.484827971798
"127","1992","WI",55,"07",291.961880788774,305.296050932254,287.138262663396
"128","1992","WI",55,"08",292.069934681084,307.832153270484,285.367296138629
"129","1992","WI",55,"09",288.975166979238,301.896969326154,279.531912517794
"130","1992","WI",55,"10",282.30276339683,300.544772786248,272.902040047173
"131","1992","WI",55,"11",273.635246280014,285.478837676653,269.808230018822
"132","1992","WI",55,"12",268.949216041056,278.461505126581,259.695130571311
"133","1993","WI",55,"01",266.810665050976,280.400650292647,261.983718006366
"134","1993","WI",55,"02",267.04023217803,282.334086159713,257.400609884436
"135","1993","WI",55,"03",273.079950969017,290.920875213443,262.607406995742
"136","1993","WI",55,"04",278.155660538667,295.192138840685,270.24860306558
"137","1993","WI",55,"05",286.741019989644,300.962267942395,278.44910732589
"138","1993","WI",55,"06",290.543582495148,303.869463392873,279.048653515678
"139","1993","WI",55,"07",294.314103510642,305.760649360658,289.510533337467
"140","1993","WI",55,"08",294.403179840791,305.537328464462,286.748194684521
"141","1993","WI",55,"09",286.556285135402,303.308143302435,276.897932452314
"142","1993","WI",55,"10",281.679814127524,299.322569470326,273.477702510575
"143","1993","WI",55,"11",273.737029709824,286.864884882534,267.041634520208
"144","1993","WI",55,"12",269.181365850426,283.460750140521,258.75059476144
"145","1994","WI",55,"01",260.300011429353,279.069298642377,249.443512603204
"146","1994","WI",55,"02",264.72058503204,286.807362506615,257.539078534383
"147","1994","WI",55,"03",274.368297705699,293.316635113442,267.723003534199
"148","1994","WI",55,"04",280.769203605678,301.970920121917,270.311474783913
"149","1994","WI",55,"05",287.294700905042,304.414827694288,274.294790163661
"150","1994","WI",55,"06",293.499133732332,309.644516400313,283.83208574185
"151","1994","WI",55,"07",293.964817932909,306.839199634586,287.981453994221
"152","1994","WI",55,"08",293.063366146639,305.340816654563,286.178315153854
"153","1994","WI",55,"09",291.010337618708,303.262225401963,283.798875167325
"154","1994","WI",55,"10",284.510706336451,297.516796009203,278.403133588677
"155","1994","WI",55,"11",277.252686727758,290.569925243934,270.127839842424
"156","1994","WI",55,"12",271.195692151543,285.867698603889,266.044892739102
"157","1995","WI",55,"01",267.117562269563,280.153135619985,258.241620701869
"158","1995","WI",55,"02",267.581079441258,283.118723523336,257.00562735423
"159","1995","WI",55,"03",274.835178631149,294.563106371839,260.15631571061
"160","1995","WI",55,"04",278.207968697955,293.530126424296,266.167104615388
"161","1995","WI",55,"05",286.11152005901,300.438553009888,278.170769477879
"162","1995","WI",55,"06",294.136654389042,309.343278029749,285.268277171403
"163","1995","WI",55,"07",295.956423333797,314.193706030062,286.438589713128
"164","1995","WI",55,"08",297.094816801564,308.704382917685,292.819579523963
"165","1995","WI",55,"09",288.839283984814,303.638999552565,278.716119199703
"166","1995","WI",55,"10",283.29365083492,299.298095379941,276.467049179041
"167","1995","WI",55,"11",270.985092489711,288.546346484704,265.552093432747
"168","1995","WI",55,"12",266.97385602624,284.205442312081,257.748019493794
"169","1996","WI",55,"01",264.136981240322,285.323249596743,255.214193229355
"170","1996","WI",55,"02",266.844923216657,287.558377246706,250.144791440143
"171","1996","WI",55,"03",270.476850771903,289.807121862335,259.865359644552
"172","1996","WI",55,"04",278.453309939631,296.12733921197,269.368056398312
"173","1996","WI",55,"05",285.417655329442,304.634052191333,276.240733497807
"174","1996","WI",55,"06",292.372395006283,307.793188225746,283.630855292593
"175","1996","WI",55,"07",293.138101493407,308.61215144649,286.336740898423
"176","1996","WI",55,"08",294.656910860818,306.884742087771,288.725545732327
"177","1996","WI",55,"09",289.679724341418,302.947493729612,283.490795074319
"178","1996","WI",55,"10",283.400346837633,297.378154772393,271.208292043973
"179","1996","WI",55,"11",271.702864559793,289.311075255946,267.757363888156
"180","1996","WI",55,"12",267.484399156605,279.654701318246,258.828524973159
"181","1997","WI",55,"01",264.351667931332,287.475095731351,256.482583478739
"182","1997","WI",55,"02",269.595652301211,287.281616925295,262.785604377069
"183","1997","WI",55,"03",273.791396716749,293.941676032739,262.32085631716
"184","1997","WI",55,"04",279.468753247187,295.824603794772,268.045435424188
"185","1997","WI",55,"05",283.624946846952,298.058585885319,275.9421631889
"186","1997","WI",55,"06",293.180569637375,307.806327382199,286.132711850156
"187","1997","WI",55,"07",294.56413687975,307.453278426818,285.759716626109
"188","1997","WI",55,"08",292.488266501679,306.03110947096,287.136009164036
"189","1997","WI",55,"09",290.474662154578,302.977335738257,282.699959012806
"190","1997","WI",55,"10",283.542658837287,303.067093947252,273.582519605759
"191","1997","WI",55,"11",273.555012593143,290.642563195449,267.804085573334
"192","1997","WI",55,"12",271.391950676201,281.291752445014,264.638612736103
"193","1998","WI",55,"01",268.602426080674,283.623826311725,258.493286357737
"194","1998","WI",55,"02",274.058092769846,286.149936160689,267.04487044315
"195","1998","WI",55,"03",273.719711738428,297.561939072729,262.704788212432
"196","1998","WI",55,"04",282.12514290278,297.37203574814,275.028722714427
"197","1998","WI",55,"05",291.097592042159,306.774228474943,283.659433185086
"198","1998","WI",55,"06",292.248710003293,308.708868594197,281.275750829563
"199","1998","WI",55,"07",295.786152616543,308.065966714077,290.102299103705
"200","1998","WI",55,"08",295.292410353771,305.763388903431,289.754143008624
"201","1998","WI",55,"09",292.501291315795,305.856362406095,283.412163231193
"202","1998","WI",55,"10",284.289446185329,297.358188630722,277.060292655606
"203","1998","WI",55,"11",277.042424379249,290.766960739767,272.215779718947
"204","1998","WI",55,"12",271.194170876239,290.126037019278,259.707876371256
"205","1999","WI",55,"01",264.741228651135,279.980446898542,255.081769253474
"206","1999","WI",55,"02",271.845731681934,290.515861824518,267.228806250295
"207","1999","WI",55,"03",274.167552382669,293.964850836059,264.349086910551
"208","1999","WI",55,"04",282.097865072779,297.087982035468,275.913113243498
"209","1999","WI",55,"05",289.356741598705,303.787697172855,282.014113726064
"210","1999","WI",55,"06",293.199814558795,306.524117595216,283.15069007079
"211","1999","WI",55,"07",297.812759211158,310.817196120111,288.774681828368
"212","1999","WI",55,"08",293.957407270996,305.815475003773,288.197560161098
"213","1999","WI",55,"09",289.672281600316,305.515136176928,282.033743714747
"214","1999","WI",55,"10",282.636677761759,297.757364649547,275.041541745989
"215","1999","WI",55,"11",278.746854787528,294.027666799844,271.828112598639
"216","1999","WI",55,"12",269.729283707073,285.70651459727,257.918302618116
"217","2000","WI",55,"01",265.955671028751,284.824522803253,258.904497168581
"218","2000","WI",55,"02",271.678304022227,291.607732871115,264.34078328887
"219","2000","WI",55,"03",277.405096033264,296.28017900382,269.081255883574
"220","2000","WI",55,"04",280.089546314765,296.493976455816,272.22407842791
"221","2000","WI",55,"05",288.685932586121,303.273299297278,279.001457656172
"222","2000","WI",55,"06",292.035096701093,306.301448662816,283.364869290083
"223","2000","WI",55,"07",294.243026806228,306.262576398817,287.998443158789
"224","2000","WI",55,"08",294.97678676716,306.826224226806,289.500856162358
"225","2000","WI",55,"09",290.228785736503,307.932140137583,281.493169778521
"226","2000","WI",55,"10",285.124100474381,298.554206447774,276.787682221417
"227","2000","WI",55,"11",275.018605486813,295.228684262642,268.26688195279
"228","2000","WI",55,"12",262.989854035171,276.062714497832,260.025961984958
"229","2001","WI",55,"01",268.855003472871,279.557990106363,263.852197464518
"230","2001","WI",55,"02",266.139157226717,283.32045900724,260.375434758253
"231","2001","WI",55,"03",272.478997140823,286.684548848025,266.083522604129
"232","2001","WI",55,"04",282.254532341696,299.748565197435,273.439451107663
"233","2001","WI",55,"05",288.100991502424,305.690046836093,280.473457138394
"234","2001","WI",55,"06",292.603513798169,308.080321196651,282.849647390767
"235","2001","WI",55,"07",296.316626084938,308.156777783941,285.736889568713
"236","2001","WI",55,"08",296.114132955322,309.730173869763,289.986266209704
"237","2001","WI",55,"09",289.088068976994,302.913465508173,281.382888124061
"238","2001","WI",55,"10",282.638616176212,298.867302428138,275.882037870051
"239","2001","WI",55,"11",281.065983394246,292.491225451197,274.222125119664
"240","2001","WI",55,"12",272.007914010436,291.734707640111,265.250548205753
"241","2002","WI",55,"01",270.456459982947,284.779248836114,262.634379571327
"242","2002","WI",55,"02",271.748617813493,287.359614335712,264.422596391717
"243","2002","WI",55,"03",270.747210581057,288.100783149426,258.14226911572
"244","2002","WI",55,"04",280.484686448608,302.863375737932,270.39900523881
"245","2002","WI",55,"05",284.548933905734,303.971207430388,276.575412019763
"246","2002","WI",55,"06",293.975020938739,307.794697342407,285.914531225375
"247","2002","WI",55,"07",297.562546038483,310.404474302866,289.23410477463
"248","2002","WI",55,"08",295.058214963171,307.755482061258,288.924304053553
"249","2002","WI",55,"09",291.841463459418,306.559415986216,282.792994845922
"250","2002","WI",55,"10",280.364803612318,300.739868263719,275.536207069317
"251","2002","WI",55,"11",274.193224211391,291.255652517856,269.985284022689
"252","2002","WI",55,"12",270.30951428055,284.075334539491,266.551986158102
"253","2003","WI",55,"01",264.228967055556,283.0364,257.8484
"254","2003","WI",55,"02",265.382024047619,283.2467,256.9814
"255","2003","WI",55,"03",273.17139516129,293.4858,257.9595
"256","2003","WI",55,"04",280.638109888889,301.5941,268.8017
"257","2003","WI",55,"05",286.167527258065,301.4016,279.3483
"258","2003","WI",55,"06",291.641961666667,308.8811,282.5999
"259","2003","WI",55,"07",295.341406505376,309.0576,288.4486
"260","2003","WI",55,"08",296.042495967742,308.0676,290.0416
"261","2003","WI",55,"09",290.380277277778,305.8754,279.0487
"262","2003","WI",55,"10",283.254112903226,298.4357,276.6541
"263","2003","WI",55,"11",274.890160555556,289.629,268.3216
"264","2003","WI",55,"12",271.361823924731,283.5621,265.7425
"265","2004","WI",55,"01",263.401180350722,281.962032215723,257.169194303908
"266","2004","WI",55,"02",269.503684051459,284.567033941953,261.058962388308
"267","2004","WI",55,"03",275.873816925961,294.041200583187,263.963480198038
"268","2004","WI",55,"04",281.653165012394,301.917291278905,272.099676966269
"269","2004","WI",55,"05",286.667084308325,302.02172780802,274.344077091969
"270","2004","WI",55,"06",290.814885802357,306.118398450101,284.795612005676
"271","2004","WI",55,"07",294.031971012872,305.877997383082,286.527681988548
"272","2004","WI",55,"08",291.849577030534,305.556805793539,285.193653116643
"273","2004","WI",55,"09",292.547738511836,304.605054028207,283.077335526651
"274","2004","WI",55,"10",283.791127103063,296.527972276456,277.514612475859
"275","2004","WI",55,"11",277.243063268767,289.96226444605,272.211995497581
"276","2004","WI",55,"12",268.72958708481,283.85765374419,257.803695480796
"277","2005","WI",55,"01",265.292460665967,282.446776764674,257.446287164843
"278","2005","WI",55,"02",271.239775288546,284.842566343323,263.250784789747
"279","2005","WI",55,"03",272.626088048335,293.683841014657,264.439776975352
"280","2005","WI",55,"04",283.187758057611,300.912755234628,274.228684353683
"281","2005","WI",55,"05",285.938114162484,300.083823910554,275.686733007245
"282","2005","WI",55,"06",295.623265541271,309.734246342141,287.99210970353
"283","2005","WI",55,"07",296.753660867197,311.504875304067,287.976282852474
"284","2005","WI",55,"08",295.721301325426,308.64615033202,288.59353004367
"285","2005","WI",55,"09",293.021189445406,305.641026987702,282.779140636856
"286","2005","WI",55,"10",284.816916846467,303.259085903727,278.327838777268
"287","2005","WI",55,"11",276.58774904336,291.830121084686,266.722800240226
"288","2005","WI",55,"12",267.647234059562,279.514852606492,262.190385768974
"289","2006","WI",55,"01",272.521039616919,283.970516384879,269.0951198594
"290","2006","WI",55,"02",267.794227974494,283.174672845537,255.473422539108
"291","2006","WI",55,"03",274.738348884119,293.707318205716,268.226569626341
"292","2006","WI",55,"04",283.84315849305,299.539574069339,272.266703742111
"293","2006","WI",55,"05",287.79150246813,307.665038353731,278.802445993596
"294","2006","WI",55,"06",293.244182025196,306.922251050345,283.815277768562
"295","2006","WI",55,"07",298.01212285801,311.323953588928,289.987486551459
"296","2006","WI",55,"08",295.732911690728,311.630500730008,289.686834547708
"297","2006","WI",55,"09",288.677959304081,301.626452683613,280.958101210036
"298","2006","WI",55,"10",280.993006127992,302.117714127651,274.007734299783
"299","2006","WI",55,"11",276.94398866711,292.917369803703,271.523916438726
"300","2006","WI",55,"12",272.102236805981,283.343666782286,265.129657483124
"301","2007","WI",55,"01",268.429605399949,284.363076060931,263.298625498116
"302","2007","WI",55,"02",264.238302679258,282.890955981583,254.458064169409
"303","2007","WI",55,"03",276.684135993953,297.964995142949,260.967932056912
"304","2007","WI",55,"04",280.199905666035,302.498968170288,268.050182185652
"305","2007","WI",55,"05",290.127067034815,305.831330533659,280.744522576941
"306","2007","WI",55,"06",294.430759138811,306.770272634868,285.764628466702
"307","2007","WI",55,"07",295.652180742698,310.3260992979,288.981338253932
"308","2007","WI",55,"08",295.829827694558,306.72714794546,289.643890300296
"309","2007","WI",55,"09",291.849084361279,305.488293231548,281.467841231108
"310","2007","WI",55,"10",286.375141069315,302.732233535724,278.127638015117
"311","2007","WI",55,"11",275.347979530923,290.282919788802,268.720575084636
"312","2007","WI",55,"12",267.581861969868,283.616234848905,264.178761204677
"313","2008","WI",55,"01",266.289297383929,285.486691094787,257.916337246828
"314","2008","WI",55,"02",265.702016132562,279.796605980282,256.636411108429
"315","2008","WI",55,"03",271.949766603609,287.282115815726,262.273574315221
"316","2008","WI",55,"04",280.47027355334,297.770453896234,271.076251631528
"317","2008","WI",55,"05",285.897279529966,303.391936537777,278.828331076195
"318","2008","WI",55,"06",292.693776160323,306.324202239223,286.123714058002
"319","2008","WI",55,"07",295.895863396819,306.86126159898,289.393111912288
"320","2008","WI",55,"08",294.632617881224,307.435562301202,288.391515807048
"321","2008","WI",55,"09",291.062868880971,305.079557372633,284.910430321909
"322","2008","WI",55,"10",283.342108239111,299.411033035345,275.690257955863
"323","2008","WI",55,"11",275.775208507024,294.424613286361,268.114584870241
"324","2008","WI",55,"12",265.563717304419,285.725819714824,258.65920402547
"325","2009","WI",55,"01",262.201166742114,275.50899249711,257.421983107518
"326","2009","WI",55,"02",269.374024718255,287.953556608376,260.575515563591
"327","2009","WI",55,"03",274.171148152005,294.217742834469,261.286911945833
"328","2009","WI",55,"04",280.563499525174,303.089732785053,272.57375153367
"329","2009","WI",55,"05",287.589145409568,305.496786297569,279.046484096475
"330","2009","WI",55,"06",292.363468132447,309.412389946674,283.934654306507
"331","2009","WI",55,"07",292.570189051261,304.333214680588,287.850257955612
"332","2009","WI",55,"08",293.628183954299,306.63696954034,285.28338388599
"333","2009","WI",55,"09",291.402053278279,300.733354083327,281.944693467415
"334","2009","WI",55,"10",280.157951613132,292.927484190513,275.023683732238
"335","2009","WI",55,"11",278.992173259732,292.559117296695,273.380650443938
"336","2009","WI",55,"12",267.608029791964,282.474829949524,260.715845808855
"337","2010","WI",55,"01",266.145910239079,278.854966706199,259.544742426537
"338","2010","WI",55,"02",268.490526485436,277.607876740496,262.827696926155
"339","2010","WI",55,"03",277.432221955106,294.604886825101,270.015183889371
"340","2010","WI",55,"04",284.715755171542,300.458734992186,272.841790010373
"341","2010","WI",55,"05",288.980548516591,306.523054178719,276.368654850287
"342","2010","WI",55,"06",293.362791994548,305.871970931641,286.412253217604
"343","2010","WI",55,"07",296.599774971766,307.95701093739,290.18696243556
"344","2010","WI",55,"08",296.987682726498,307.174137425798,289.081497828738
"345","2010","WI",55,"09",289.178378972192,304.581606550724,283.361406945041
"346","2010","WI",55,"10",284.847454805134,301.387167900406,276.081470094778
"347","2010","WI",55,"11",276.173687217925,291.705501005785,266.024102595347
"348","2010","WI",55,"12",266.736954465196,281.675671770581,263.720723494656
