"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","WV",54,"01",270.403100416243,287.654711734635,249.747325318199
"2","1982","WV",54,"02",275.077034746936,288.754467405688,264.382084621092
"3","1982","WV",54,"03",279.598325349606,294.044233581907,268.218532468246
"4","1982","WV",54,"04",282.118238971096,297.960770207948,268.68539144761
"5","1982","WV",54,"05",291.480487570126,305.954021017804,282.173513843028
"6","1982","WV",54,"06",292.055927537293,304.094398639753,285.736487811058
"7","1982","WV",54,"07",294.900615258583,307.413199501421,286.246321257141
"8","1982","WV",54,"08",293.613867383167,307.378038574105,286.379151427002
"9","1982","WV",54,"09",290.461349886769,301.699548812558,281.556244230146
"10","1982","WV",54,"10",285.669809219666,299.828206125402,274.473270760807
"11","1982","WV",54,"11",281.131459976601,297.011425170414,270.203171476754
"12","1982","WV",54,"12",278.866138277798,292.977685453319,267.786834416199
"13","1983","WV",54,"01",273.040228493233,285.090862892887,260.142437196638
"14","1983","WV",54,"02",274.612571455922,289.196555041544,264.681261735854
"15","1983","WV",54,"03",279.598331814212,295.562593898145,269.443703462754
"16","1983","WV",54,"04",281.86344663146,298.223839888515,270.992907222478
"17","1983","WV",54,"05",287.724412986825,301.320232838704,275.767436364928
"18","1983","WV",54,"06",292.718983604223,308.590813292335,281.335705795196
"19","1983","WV",54,"07",296.604430457875,309.227417177995,287.026863950227
"20","1983","WV",54,"08",296.283921941385,310.992179848369,288.400800184468
"21","1983","WV",54,"09",291.889148950526,307.676198849013,277.594650682314
"22","1983","WV",54,"10",285.957715502867,300.685643522302,278.025768503615
"23","1983","WV",54,"11",279.859539328223,292.796590306337,271.643613092947
"24","1983","WV",54,"12",272.372435215672,288.894369652781,252.144597240718
"25","1984","WV",54,"01",271.367477459803,284.395622000436,254.991401618461
"26","1984","WV",54,"02",276.566333253018,291.347141839066,264.816426260149
"27","1984","WV",54,"03",276.303756057551,293.783716459741,263.789049885357
"28","1984","WV",54,"04",282.607509383651,299.353592208134,272.956711099496
"29","1984","WV",54,"05",287.770480841201,302.362899635446,277.77278387558
"30","1984","WV",54,"06",294.371284972475,307.11205517639,282.620347115259
"31","1984","WV",54,"07",293.9636063102,306.055156491978,285.31081359867
"32","1984","WV",54,"08",293.867868028513,302.906110132463,286.948317705618
"33","1984","WV",54,"09",290.649127085785,305.250181516327,281.299715798237
"34","1984","WV",54,"10",288.908195044539,297.706247331313,280.833263306234
"35","1984","WV",54,"11",278.198471723895,295.279513480511,269.22509116347
"36","1984","WV",54,"12",279.525442305185,291.636460473347,264.273215763132
"37","1985","WV",54,"01",269.107071213787,290.2716323999,248.88581097371
"38","1985","WV",54,"02",273.108448385421,291.788110760013,261.163947370454
"39","1985","WV",54,"03",280.115511610858,295.621815506113,269.505566928886
"40","1985","WV",54,"04",285.690236299403,302.132588960941,269.641990666627
"41","1985","WV",54,"05",290.012248136582,303.051966323982,280.188138740738
"42","1985","WV",54,"06",291.940825061782,305.323718130722,283.06094585579
"43","1985","WV",54,"07",294.178062843756,305.12007110192,288.430900518198
"44","1985","WV",54,"08",293.820832569717,305.066687900195,287.023165717154
