"","year","state","FIPS","month","m.mean","m.max","m.min"
"1","1982","MD",24,"1",271.168045923853,290.610183014037,259.123572602487
"2","1982","MD",24,"2",276.361321864812,289.705765828073,269.009653332858
"3","1982","MD",24,"3",279.699230566058,293.30780749312,270.486412280133
"4","1982","MD",24,"4",283.679267532774,298.720636914946,268.710785450671
"5","1982","MD",24,"5",291.60003243164,303.209515302299,282.054357367124
"6","1982","MD",24,"6",293.328344079186,304.553444079713,287.558995876941
"7","1982","MD",24,"7",296.459102453203,307.184653473867,290.369916677377
"8","1982","MD",24,"8",295.207556176753,304.715575022337,287.11948428549
"9","1982","MD",24,"9",292.795343488771,303.481035796573,286.588163606047
"10","1982","MD",24,"10",286.804699467389,298.523345045006,278.305811838259
"11","1982","MD",24,"11",282.646467383127,296.017152281309,274.207610421085
"12","1982","MD",24,"12",279.810094608208,293.606675375307,266.960552624271
"13","1983","MD",24,"1",275.324090108228,286.760940808116,267.149109077416
"14","1983","MD",24,"2",275.659383503775,288.529732617007,266.810661442002
"15","1983","MD",24,"3",281.220946832182,293.892515982916,273.114248651592
"16","1983","MD",24,"4",283.803835176454,301.271883176502,275.622387378322
"17","1983","MD",24,"5",289.762135612929,302.36982342234,280.058468885359
"18","1983","MD",24,"6",294.314776414711,307.426392260969,286.057856136928
"19","1983","MD",24,"7",298.526220235593,310.591280565944,289.968135067518
"20","1983","MD",24,"8",297.760430471584,311.282277821581,290.030586714529
"21","1983","MD",24,"9",294.13733315443,309.380524441635,284.142000772173
"22","1983","MD",24,"10",287.450443383336,300.105447575878,279.111621333903
"23","1983","MD",24,"11",281.599486778662,291.620081859421,275.120759632976
"24","1983","MD",24,"12",274.875398094522,289.827115219428,258.873258563834
"25","1984","MD",24,"1",272.451453171625,284.198806602966,258.087307820659
"26","1984","MD",24,"2",278.668287147329,290.233166689388,268.711402976074
"27","1984","MD",24,"3",277.175017420162,291.543957236536,264.891216111187
"28","1984","MD",24,"4",283.634116985573,297.257508225082,275.235833402195
"29","1984","MD",24,"5",289.869051855185,305.187200589137,280.969065930488
"30","1984","MD",24,"6",295.816622700206,307.970170309358,286.38345751488
"31","1984","MD",24,"7",296.002435482069,307.911125690117,289.8277269706
"32","1984","MD",24,"8",296.053372576711,305.047461656933,290.618924868428
"33","1984","MD",24,"9",292.108614051363,305.55327722843,285.149424972745
"34","1984","MD",24,"10",290.02273293619,299.233534815678,283.015946064173
"35","1984","MD",24,"11",280.15947235351,292.858684091634,272.118277506275
"36","1984","MD",24,"12",280.385279717174,292.833098089963,271.517990543992
"37","1985","MD",24,"1",271.748768608481,293.21957142849,255.776198307471
"38","1985","MD",24,"2",275.909002017387,295.904548759694,267.208112099092
"39","1985","MD",24,"3",281.301258220721,300.588430422155,271.237555251518
"40","1985","MD",24,"4",287.86178286366,306.304387317966,273.179122069811
"41","1985","MD",24,"5",291.590471733125,304.001001021315,281.611690786738
"42","1985","MD",24,"6",294.29377984809,307.18026725738,287.592586535554
"43","1985","MD",24,"7",296.741351174977,308.412035208293,291.497468883955
"44","1985","MD",24,"8",296.255685219786,308.501007211168,290.995271356616
"45","1985","MD",24,"9",293.869324079707,307.53220095764,285.860598212921
"46","1985","MD",24,"10",288.832613894619,298.767470096648,280.281065054852
"47","1985","MD",24,"11",285.561375481475,295.321287851958,278.353338325895
"48","1985","MD",24,"12",275.117161897597,289.694302959022,266.158242465168
"49","1986","MD",24,"1",274.332991857283,288.613259279328,264.249610530312
"50","1986","MD",24,"2",275.640818939608,288.973762049435,267.96556216065
