"STATE_ABBR" "min.long" "max.long" "min.lat" "max.lat"
"1" "AL" -88.47295228 -84.89401628 30.23360436 35.01603336
"2" "AR" -94.61725728 -89.64547928 33.01015136 36.49281136
"3" "AZ" -114.8217613 -109.0456153 31.33563436 37.00392636
"4" "CA" -124.3926383 -114.1252303 32.53578136 42.00219137
"5" "CO" -109.0558613 -102.0372073 36.98899436 41.00337537
"6" "CT" -73.72523727 -71.78824926 40.99839237 42.04742837
"7" "DC" -77.12232827 -76.91090427 38.78823436 38.99354136
"8" "DE" -75.79109427 -75.04562327 38.44960236 39.84011936
"9" "FL" -87.62571128 -80.05091127 24.95637635 31.00315736
"10" "GA" -85.60896028 -80.89475327 30.36129136 35.00036636
"11" "IA" -96.64070929 -90.14279628 40.37194637 43.50145737
"12" "ID" -117.2369213 -111.0467713 41.99459937 48.99995037
"13" "IL" -91.51628428 -87.50790928 36.98682236 42.50936337
"14" "IN" -88.10149028 -84.78744628 37.77622436 41.76554037
"15" "KS" -102.0515353 -94.60122428 36.98887536 40.00298736
"16" "KY" -89.56823128 -81.95957527 36.49657036 39.14206336
"17" "LA" -94.04178528 -89.02180328 28.93965535 33.02342236
"18" "MA" -73.49884026 -69.91778026 41.23827937 42.88687737
"19" "MD" -79.48986527 -75.04562327 37.97025536 39.72546136
"20" "ME" -71.08750926 -66.96927126 43.09105037 47.45333437
"21" "MI" -90.40820028 -82.41983627 41.69749437 48.17379537
"22" "MN" -97.22943629 -89.53067328 43.49810237 49.37173037
"23" "MO" -95.76747929 -89.10503428 35.98965636 40.60978437
"24" "MS" -91.64368228 -88.09046828 30.19493536 35.00504136
"25" "MT" -116.0635313 -104.0430723 44.35363937 49.00002637
"26" "NC" -84.32377327 -75.45658027 33.88216436 36.58976736
"27" "ND" -104.0629913 -96.55193129 45.93082237 49.00002637
"28" "NE" -104.0562193 -95.30869729 39.99259536 43.00306237
"29" "NH" -72.55342826 -70.73413926 42.69860337 45.30146937
"30" "NJ" -75.57023427 -73.89614827 38.95668236 41.35057337
"31" "NM" -109.0513463 -102.9974013 31.34345336 36.99976036
"32" "NV" -119.9963243 -114.0373923 34.99891436 41.99663737
"33" "NY" -79.76323527 -71.86998626 40.50600337 45.00613837
"34" "OH" -84.81207028 -80.51999627 38.40051136 41.98687237
"35" "OK" -102.9977093 -94.42855228 33.62113636 37.00147836
"36" "OR" -124.5596173 -116.4704183 41.98767237 46.23609137
"37" "PA" -80.52604527 -74.70006227 39.71931336 42.26732737
"38" "RI" -71.86667826 -71.11713226 41.32276937 42.01371337
"39" "SC" -83.35068527 -78.57945327 32.06817336 35.20835636
"40" "SD" -104.0610363 -96.43939429 42.48845937 45.94354737
"41" "TN" -90.30544828 -81.65227227 34.98875936 36.67968336
"42" "TX" -106.6500623 -93.50738928 25.84555735 36.49391236
"43" "UT" -114.0472733 -109.0432063 36.99174636 42.00230037
"44" "VA" -83.67517727 -75.24221927 36.54162336 39.45699836
"45" "VT" -73.43600026 -71.50537226 42.72585237 45.01335137
"46" "WA" -124.7327693 -116.9191323 45.54309237 48.99993137
"47" "WI" -92.88539728 -86.96771228 42.48915237 46.95247937
"48" "WV" -82.64715827 -77.72746727 37.20491036 40.63720337
"49" "WY" -111.0534283 -104.0517053 40.99428937 45.00279337
