"","STATE_ABBR","approx.area.km2","actual.area.km2","difference"
"1","AL",165437.003573824,133666.69636899,31770.3072048336
"2","AR",167360.512907061,137538.72859344,29821.784313621
"3","AZ",316461.271574151,295022.95562199,21438.3159521607
"4","CA",939455.73695738,411012.98314023,528442.75381715
"5","CO",272334.470341015,269998.49050317,2335.97983784467
"6","CT",19640.2728417608,12973.25044299,6667.02239877078
"7","DE",10019.2969464063,5327.60554227,4691.69140413626
"8","FL",442716.393176233,151669.7037216,291046.689454633
"9","GA",211383.086612322,152488.13996436,58894.9466479616
"10","IA",196553.403045024,145790.4307119,50762.9723331241
"11","ID",419142.081025188,216411.63650727,202730.444517918
"12","IL",213962.41267315,146075.329404,67887.0832691501
"13","IN",127787.066968863,93993.25850001,33793.8084688528
"14","KS",217052.09458412,213062.78188104,3989.31270308007
"15","KY",194556.058210778,104622.56970345,89933.4885073281
"16","LA",198149.649462787,125673.99306153,72475.6564012566
"17","MA",57063.2572640196,21385.53182427,35677.7254397495
"18","MD",75397.3333757142,27394.30423947,48003.0291362442
"19","ME",173642.316076221,86026.45507365,87615.8610025715
"20","MI",500051.879227533,150778.74781176,349273.131415773
"21","MN",437076.624607621,217735.12043148,219341.504176141
"22","MO",297521.146054034,180485.91143346,117035.234620574
"23","MS",165198.539565357,123583.87265676,41614.6669085969
"24","MT",539841.94183353,381085.67052918,158756.27130435
"25","NC",232060.562123371,136197.11475246,95863.4473709114
"26","ND",222821.544054207,183021.50979315,39800.0342610572
"27","NE",254535.937503103,200017.01177097,54518.9257321329
"28","NH",45770.293373436,24097.24937544,21673.043997996
"29","NJ",38735.7822121685,20295.14682996,18440.6353822085
"30","NM",330979.912012238,315113.49339126,15866.4186209778
"31","NV",403046.699777326,286297.2856794,116749.414097926
"32","NY",343329.829819307,128401.25054136,214928.579277947
"33","OH",148782.344653088,106764.48987042,42017.8547826682
"34","OK",279981.241099211,181089.37866309,98891.8624361212
"35","OR",332172.024929442,251179.63689591,80992.3880335317
"36","PA",143483.253786139,117411.93099063,26071.3227955088
"37","RI",5005.77508938698,3144.24556554,1861.52952384698
"38","SC",144815.712279472,80432.08075605,64383.6315234219
"39","SD",254529.339924355,199550.81391117,54978.5260131852
"40","TN",141426.182251257,109411.45771884,32014.724532417
"41","TX",1352684.19900693,692404.83133929,660279.367667642
"42","UT",242347.785577037,219931.43034876,22416.3552282771
"43","VA",237631.798343523,105710.36470965,131921.433633873
"44","VT",42686.4172709039,24887.19574899,17799.2215219139
"45","WA",261073.370667776,176616.46919712,84456.9014706556
"46","WI",255294.078708983,145438.19232894,109855.886380043
"47","WV",163212.107981472,62628.50248791,100583.605493562
"48","WY",271279.788813567,253596.09580254,17683.6930110275
