"zcta","tmean","date","day","month","year"
"30165",4.23555420764086,"01/01/1981","01","01",1981
"31905",5.97800038965896,"01/01/1981","01","01",1981
"35004",5.76391021061163,"01/01/1981","01","01",1981
"35005",6.56475413762257,"01/01/1981","01","01",1981
"35006",7.10175857991336,"01/01/1981","01","01",1981
"35007",5.98911564037557,"01/01/1981","01","01",1981
"35010",5.50030953570681,"01/01/1981","01","01",1981
"35013",5.9731048411003,"01/01/1981","01","01",1981
"35014",5.52223037387288,"01/01/1981","01","01",1981
"35016",5.88928811709613,"01/01/1981","01","01",1981
"35019",6.06940673030014,"01/01/1981","01","01",1981
"35020",6.47694508248113,"01/01/1981","01","01",1981
"35022",6.42991665927614,"01/01/1981","01","01",1981
"35023",6.75269065333121,"01/01/1981","01","01",1981
"35031",5.93855119006178,"01/01/1981","01","01",1981
"35032",5.51917754259316,"01/01/1981","01","01",1981
"35033",5.66658826394421,"01/01/1981","01","01",1981
"35034",5.9792118988814,"01/01/1981","01","01",1981
"35035",6.02854052878229,"01/01/1981","01","01",1981
"35036",6.37555480506676,"01/01/1981","01","01",1981
"35040",5.77207053131384,"01/01/1981","01","01",1981
"35042",6.05861607665771,"01/01/1981","01","01",1981
"35043",5.91715422553543,"01/01/1981","01","01",1981
"35044",5.64973405002725,"01/01/1981","01","01",1981
"35045",5.61447281494859,"01/01/1981","01","01",1981
"35046",5.59911648730315,"01/01/1981","01","01",1981
"35049",6.2627389877275,"01/01/1981","01","01",1981
"35051",5.86417473548848,"01/01/1981","01","01",1981
"35052",5.61608180245656,"01/01/1981","01","01",1981
"35053",5.54697189583848,"01/01/1981","01","01",1981
"35054",5.54126170721625,"01/01/1981","01","01",1981
"35055",5.79209615495766,"01/01/1981","01","01",1981
"35057",5.62111341700001,"01/01/1981","01","01",1981
"35058",5.87883796114351,"01/01/1981","01","01",1981
"35060",6.70666124334414,"01/01/1981","01","01",1981
"35061",6.63511867610629,"01/01/1981","01","01",1981
"35062",6.10163410209349,"01/01/1981","01","01",1981
"35063",6.02804384633674,"01/01/1981","01","01",1981
"35064",6.59404923765112,"01/01/1981","01","01",1981
"35068",6.43469534776892,"01/01/1981","01","01",1981
"35070",6.18385131340251,"01/01/1981","01","01",1981
"35071",6.27436011617691,"01/01/1981","01","01",1981
"35072",5.49599142192965,"01/01/1981","01","01",1981
"35073",6.33287655369925,"01/01/1981","01","01",1981
"35074",6.65093368644392,"01/01/1981","01","01",1981
"35077",5.93286493278186,"01/01/1981","01","01",1981
"35078",5.69386122481047,"01/01/1981","01","01",1981
"35079",6.17780586559384,"01/01/1981","01","01",1981
"35080",6.18808802429534,"01/01/1981","01","01",1981
"35082",5.47942884897292,"01/01/1981","01","01",1981
"35083",5.86145057764027,"01/01/1981","01","01",1981
"35085",5.60023317731227,"01/01/1981","01","01",1981
"35087",6.03167569205188,"01/01/1981","01","01",1981
"35089",5.60569001117664,"01/01/1981","01","01",1981
"35091",6.30698624555556,"01/01/1981","01","01",1981
"35094",6.01566428024038,"01/01/1981","01","01",1981
"35096",5.45192015598782,"01/01/1981","01","01",1981
"35097",6.15345195487908,"01/01/1981","01","01",1981
"35098",5.44335087371035,"01/01/1981","01","01",1981
"35111",6.68714065728847,"01/01/1981","01","01",1981
"35112",5.62114275076413,"01/01/1981","01","01",1981
"35114",6.04397992495087,"01/01/1981","01","01",1981
"35115",5.96050030504769,"01/01/1981","01","01",1981
"35116",6.32422298778695,"01/01/1981","01","01",1981
"35117",6.32489774531283,"01/01/1981","01","01",1981
"35118",6.66065236815294,"01/01/1981","01","01",1981
"35119",6.27265531000743,"01/01/1981","01","01",1981
"35120",5.62834822175679,"01/01/1981","01","01",1981
"35121",5.84145777841665,"01/01/1981","01","01",1981
"35124",6.03501821193231,"01/01/1981","01","01",1981
"35125",5.38941248029994,"01/01/1981","01","01",1981
"35126",6.09075846175377,"01/01/1981","01","01",1981
"35127",6.69505489795368,"01/01/1981","01","01",1981
"35128",5.57208004948968,"01/01/1981","01","01",1981
"35130",6.45392148621976,"01/01/1981","01","01",1981
"35131",5.43927380937502,"01/01/1981","01","01",1981
"35133",6.02405109388577,"01/01/1981","01","01",1981
"35135",5.42921441246879,"01/01/1981","01","01",1981
"35136",5.53623153388002,"01/01/1981","01","01",1981
"35139",6.19451395856725,"01/01/1981","01","01",1981
"35143",5.75866681197794,"01/01/1981","01","01",1981
"35146",5.63279924021927,"01/01/1981","01","01",1981
"35147",5.81701102970961,"01/01/1981","01","01",1981
"35148",6.09210890356568,"01/01/1981","01","01",1981
"35149",5.5500632628865,"01/01/1981","01","01",1981
"35150",5.54050435081742,"01/01/1981","01","01",1981
"35151",5.71921512550712,"01/01/1981","01","01",1981
"35160",5.46782116200275,"01/01/1981","01","01",1981
"35171",5.5594915477446,"01/01/1981","01","01",1981
"35172",6.24691029954899,"01/01/1981","01","01",1981
"35173",5.87812935482771,"01/01/1981","01","01",1981
"35175",5.90148489958905,"01/01/1981","01","01",1981
"35176",5.8391091787114,"01/01/1981","01","01",1981
"35178",5.65559207744916,"01/01/1981","01","01",1981
"35179",5.62569849537385,"01/01/1981","01","01",1981
"35180",6.16847980424829,"01/01/1981","01","01",1981
"35183",5.67535856530428,"01/01/1981","01","01",1981
"35184",6.32100228622061,"01/01/1981","01","01",1981
"35186",5.79839173651604,"01/01/1981","01","01",1981
"35187",5.91997688133928,"01/01/1981","01","01",1981
"35188",6.52528235931453,"01/01/1981","01","01",1981
"35203",6.5511857163395,"01/01/1981","01","01",1981
"35204",6.5418836567172,"01/01/1981","01","01",1981
"35205",6.63056244625663,"01/01/1981","01","01",1981
"35206",6.41863144393495,"01/01/1981","01","01",1981
"35207",6.49957435544387,"01/01/1981","01","01",1981
"35208",6.56747649174436,"01/01/1981","01","01",1981
"35209",6.62817752755649,"01/01/1981","01","01",1981
"35210",6.36452602586926,"01/01/1981","01","01",1981
"35211",6.54460053486772,"01/01/1981","01","01",1981
"35212",6.52930831093339,"01/01/1981","01","01",1981
"35213",6.59796316272763,"01/01/1981","01","01",1981
"35214",6.5516904316814,"01/01/1981","01","01",1981
"35215",6.16124792237348,"01/01/1981","01","01",1981
"35216",6.415396679971,"01/01/1981","01","01",1981
"35217",6.33862728357701,"01/01/1981","01","01",1981
"35218",6.57424040867571,"01/01/1981","01","01",1981
"35221",6.54865708207116,"01/01/1981","01","01",1981
"35222",6.57171338079592,"01/01/1981","01","01",1981
"35223",6.57300739726177,"01/01/1981","01","01",1981
"35224",6.67193720730485,"01/01/1981","01","01",1981
"35226",6.45007205986544,"01/01/1981","01","01",1981
"35228",6.55054335009388,"01/01/1981","01","01",1981
"35229",6.6361627436051,"01/01/1981","01","01",1981
"35233",6.59718478734123,"01/01/1981","01","01",1981
"35234",6.54315557227094,"01/01/1981","01","01",1981
"35235",6.02635486940847,"01/01/1981","01","01",1981
"35242",6.13999648035619,"01/01/1981","01","01",1981
"35243",6.3668702906011,"01/01/1981","01","01",1981
"35244",6.22490249226284,"01/01/1981","01","01",1981
"35254",6.54315196403241,"01/01/1981","01","01",1981
"35401",6.94708834004433,"01/01/1981","01","01",1981
"35404",6.84684752868632,"01/01/1981","01","01",1981
"35405",6.79921814311538,"01/01/1981","01","01",1981
"35406",6.96888671309995,"01/01/1981","01","01",1981
"35441",6.85772184941499,"01/01/1981","01","01",1981
"35442",7.21066150088555,"01/01/1981","01","01",1981
"35443",7.3590826946709,"01/01/1981","01","01",1981
"35444",7.15500597260563,"01/01/1981","01","01",1981
"35446",6.90112312895551,"01/01/1981","01","01",1981
"35447",7.06813023782695,"01/01/1981","01","01",1981
"35452",6.91085385653078,"01/01/1981","01","01",1981
